comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Menteri kewangan ANWAR.. MOHON kepada Perdana Menteri ANWAR.. MAKA.. LULUSLAH WANG ANWAR KEPADA ANWA,@syafie7689,syafie7689 ,154,44,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/5141519bdce49628201693920910b3ed~c5_100x100.jpg?x-expires=1677520800&x-signature=HYd58h9USYcnqqGW%2FIwQQdadUXs%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
"Wahhh... Lps ni tauke² penyeludup bleh la buat pengakuan secara sukarela, byr cukai settle 😁 tanpa kena tgkp tanpa ada rmpsn, ikut apa yg aku fhm le",@kuba_balar,Kuba_Balar ,106,13,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677520800&x-signature=CF%2F96kNXTXyNILyYSm7vKX%2F9PIY%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
wahhh... ini bahaya... dah nampak proses kroni dia dpt percuma dlm lari pembayaran cukai sebelum ni.. bnyk kes boleh tutup sng2,@aretoynub,ドラえもん ,98,17,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/aca4c7277de0528ed87374c1821b07a7~c5_100x100.jpg?x-expires=1677520800&x-signature=JA7D3Dtu4ft8JkCEVD47jJu0zeg%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
denda je xde...cukai tetap bayar,@addinnuha,ANAS SHOP 4U ,50,15,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7035150929041031195.jpg?x-expires=1677520800&x-signature=z0OiRjxTb%2FZV8Zv3S5iIiSSnYAI%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
cantik najib dh boleh keluar🥰,@dato_iym8055,Dato_iym8055 ,28,4,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/6974453084818767873.jpg?x-expires=1677520800&x-signature=y2WEzAA%2BwJ3uVBtHzzgkfxqmZso%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
dah start dah.. kutip duit rakyat.,@irwansyahhussein,irwansyahhussein ,15,8,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/6955425738107387905.jpg?x-expires=1677520800&x-signature=k%2BfOyk2TvmE%2F30%2FpULndPK7dX20%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
kalau lulus KWSP... Apple senyum lebar...pasal rata² beli iPhone 😂😂,@jasnirahman74,Jasni Rahman JR ,97,44,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1689395618380802.jpg?x-expires=1677520800&x-signature=82MWde92eJCRhUtqgC9DQWQAvO8%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
berapa kali keluar kwsp x juga pandai kaya dan senang.sampai skrg msh mengharap.,@130308ar,yuzuu ,76,13,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/934f9048fd688c5e9b72a549716e1784~c5_100x100.jpg?x-expires=1677520800&x-signature=jIsT7%2FOlz6ZeP%2FsJ%2BLHcBNaf%2FoQ%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
anak2 abah kecewa sbn xleh kluar kwsp🥺🥺,@meceh1,meceh ,73,14,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/bbd1861ea65ce28480d1b3d24d94d416~c5_100x100.jpg?x-expires=1677520800&x-signature=PHsSCWSh9iNwDDwu78kEINNpAJs%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
ape punya bajet laa,@purbarasa,prabu siliwangi ,39,16,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c149606c27a7034850377f5224ee1341~c5_100x100.jpg?x-expires=1677520800&x-signature=Uue5dlEnli7X4UVZRmXobjVV7kw%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203653791533583618,8229,572,1411,2023-02-25,451.3K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/c9a8639230b84ec6b9ae0dc861745a80_1677231495?x-expires=1677448800&x-signature=c68b%2BuSMIg1QVWcJ%2FF6zHymoAts%3D,Lembaga Hasil Dalam Negeri (LHDN) dan Jabatan Kastam Diraja Malaysia (JKDM) akan melaksanakan semula program pengakuan secara sukarela.
