comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
malaysia bukan tak ada duit. Tapi habis dicuri oleh pemimpin2 yg terdahulu. Terbaik DSAI,@daisyleo11111,daisyleo1111 ,556,37,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
"Agak2nya DSA jd pm selepas Tun pd tahun 2012 , msia dah maju dr skng.",@jid_ali,Jidli ,261,43,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
klau Dsai jadi PM selepas DSN maka rakyat senang sbb kerajaan masih banyak aset2 dan kewangan kukuh .. tapi jatuh pada singa lapar habis,@sazz1683,Sazz ,105,6,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
DSAI secara jelas & terang menyatakan bhw adalah menjadi tanggungjawab beliau melaksanakan apa yg telah dijanjikan.,@rmdrazak,rmdrazak ,84,0,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
Sarawak Sabah terus maju,@nonie4181,Nie Nie ,59,5,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
Mendapat PM seperti Datuk Anwar Adalah tidak mudah jadi lindungi Beliau Dan bersatulah sebagai Satu Malaysia Dan berilah sokongan supaya Malaysia maju,@spicychillicurry,My problem is myself ♏ ,80,0,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
good job PMX,@nickjohnathan941,Nick Johnathan941 ,29,0,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
takde yang mengantuk bila DS Anwar Ibrahim bercakap.tepuk tangan pun dgr ikhlas dari pendengar,@hermanhassan485,hermanhassan485 ,78,1,1-21,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
"pmx dah beri lampu hijau ,kita tunggu apa yg pemimpin sabahaarawak buat .ingat perjanjian ma63 harus di ikut Tampa tertinggal satu pun",@edwardjaner,edwardjaner ,75,8,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
"betul tu DS.selebih nya jgk,trpulang pada menteri2 di srwak,untuk majukan negeri sendri.jgn ada alasan lagi.klau tak maju lg,mmg ada yg tak kena lh tu",@jjoni.1,user987117455485 ,14,6,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
"sukungg PMX nga, perlu kana pantau juga tu pemimpin2 di Sabah ni.. silap2, kana bikin pomoduk tu rm10juta kalau tiada pemantauan, palis2.",@kupiguring,𝓣𝓱𝓮𝓸𝓯𝓮𝓵𝓶𝓪𝓰𝓱 ☕ ,11,2,1-20,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
hebat DSAI terbaik,@usmanbasirun,taiko ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
Persekutuan Tanah Melayu + Sabah + Sarawak,@kretok_tolel,Tolel ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
🥰🥰🥰,@suratkhamkeo,suratkhamkeo ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
KWSP bila??,@don_carlo_corleone,Don Carlo ,0,0,8h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
Kena berhati hati dgn kuasa baru melahir jerung sakau duit. Adakan peraturan ketat supaya tiada penyelewengan. Ada pemimpin yg sakau tapi tiada hukuma,@user185753833,user2194489090128 ,0,0,9h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,1-20
