comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"blh kuaq 10k pun jadila, lpas utk sttle hutang, dgn urusan persekolaan anak, org anak sekolah 2 org sek mngah dan akan masuk asrama, 3 sekolah rendah.",@suhaimi.1983,putra lang merah ,91,8,2d ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
betul ka ni. harap2 blh la kelarkan. jgn main hati perasaan rakyat,@norshafarahshaari5,norshafarahshaari5 ,38,1,1d ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
benar kan je la ...xpyh susahkan rakyat,@kalaivanykallapuri,kalaivanykallapuri ,27,0,1d ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
bilo buleh tue.. Dah lulus ko,@ejeakhan,Jaiii khan ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
betul ke ramai yang berharap,@atomen_wsnf,Atomen_Wsnf ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
Alhamdulillah..semoga dipermudahkan,@norhamizah70,norhamizah70 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
semoga dipermudahkan..,@zally010,Razally Zally ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
😂😂😂😂game over,@hafizdarmyc,Hafiez Hussin827 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
"Assalamulaikom betul ke
kwsp Bersasar... sehingga 30 k",@jersyah73,Jersyah73 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
BERJIWA RAKYAT LH.. KITA KN JNJI.. TOLONG LH SUSAH SNGT NI😭😭😭,@anoi__,hi you ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
betul ke ni leh kuar kan,@ahmadkhusairi28,khusairi ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
"jgn dok melawak Aku dok tunggu lama dah ni,hareyyy😂😂",@jebon469,jebon469 ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
harap sangat...ngn kwsp,@shahrinabas793,shahrinabas793 ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
"semoga menjadi kenyataan pengeluaran kwsp keluar,,",@rafidahrahman7,Rafidah Rahman ,2,0,7h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
semoga dipermudahkan,@aziziautopilot2,Azizi ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
Alhamdulillah,@mazira__,Mazira Mohamed ,0,0,9h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
"semuga dipermudahkan utk pengeluran kwsp kali nii ,2.0 ,",@roselawatyyus,Roselawaty Yus ,0,0,10h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
betul ke ni.....,@mohdzaki720,Mohd Zaki ,0,0,10h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
minta2 lulus kluar duit KWSP blh Sya byr htng.....,@eina826,eina ,1,0,13h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
"Harap betul lah ni,jngn buat kmi brharap",@sittealman,AlmanQalbeh ,1,0,16h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
hrp betullh diluluskan,@maznoradzimamazelan,Maznoradzima Mazelan ,1,0,17h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
"kalau bukan dari PM umum di tv , masih belum pasti tu",@tonywintonywin,tonywintonywin ,1,0,18h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
kalau betul alhamdulillah,@kesumaema,Kesuma Ema ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
kb kna game lagi kan😅😂,@khaieyrul82,Kh@iey®uL8288 ,1,0,20h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
semoga dipermudahkn urusan pengeluaran one off wang kwsp 10k- 30k,@pudin87429,SyaifudinSa'ari ,1,0,20h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
betul ke nie .kalau betul Alhamdulilah amiin .semoga di percepatkan,@1982naen2,Mohd zul82 ,0,0,21h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
"Alhamdulillah... semoga berita ini benar! utk rakyat yg memerlukan,termaksudlah saya..",@kokon095,Kokon 86 ,0,0,21h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
"Kalau betul, Alhamdulillah,,",@penddykerry,𝑷𝒆𝒏𝒅𝒅𝒚 𝒌𝒆𝒓𝒓𝒚 ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
"""Berfikir yg baik2,Bercakap yg baik2,Berdoa yg baik2 InsyaAllah semuanya akan mnjadi yg TERBAIK """,@amryjohari,AmRi JoHaRi ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@en_nobody/video/7194356893555477786,3554,416,676,2023-1-30
