comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"Moga nurul izzah byk sabarrrr..
🤲🤲🤲",@fithrahahmad,Fithrah Ahmad ,309,0,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
YB Izzah dah jiwa kental sejak 1998,@kuliajeboh,MakEcah ,382,18,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
Buktikn ko boleh Nurul Izzah.,@marlynpeter75,Marlynpeter75 ,37,2,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
Terbaik nurul izzah.. pedulikn anak2 abah yg koyak rabak dhhh hari2 😂😂😂🤣🤣🤣,@izzz090,Chananur99 ,28,0,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
YB Nurul Izzah we support you 💯 🙌 ❤️,@pawrentsoffour,ⓇⓄⓎ ⓇⒾⒸⒽ ,39,0,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
Semoga Yb Nurul Izzah dalam lindungan Allah selalu,@fourqr,FourQ ,41,0,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
Good luck Nurul Izzah,@satiktok2021,Lily701 ,21,0,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
"di saat pmx mengharungi politik yg diwarisi sblm ini yg pnuh noda & pkhianatan , hanya keluarga yg bisa dipercaya sbagai pnasihat.😥",@married_am,married 🥰 ,46,1,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
🙂,@parlimentambunofficial,parlimentambunofficial ,22,0,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
jalan terus.. perkara baik untuk negara jgn pandang belakang . abaikan serangan dari musuh yang nak menjatuhkan . 💪,@hasjan74,Ommi Has ,21,0,11h ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
Terus Melangkah Ke Depan Demi Malaysia💪 Abaikan Mulut-Mulut Jahat DiLuar Sana. DSAI Terbaik 🥰,@anwaruntukrakyatmalaysia,Anak Malaysia 🇲🇾 ,11,0,12h ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
1998 dlu melalak atok kroni mcmna pulak,@ghaniishak592,ghaniishak592 ,34,29,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
teruskan bertugas demi rakyat..🥰🥰🥰 lembah pantai setuju 100%,@aidakasim2,Aida Kasim ,42,0,1d ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
"congrats yb nurul izah, betul yb fahmi ckp berkenaan sekolah assunta coz isteri sy pun sekolah di sekolah assunta junior yb nurul izah.",@neezam_73k,Teguhharapan_73 ,0,0,16m ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
Depa ni Apapun tak setuju fahmi😂,@najihahmansor,Kak J ,0,0,19m ago ,2023-02-01,https://www.tiktok.com/@jason.yew/video/7194744673112542491,11.3K,1330,615,2023-1-31
