comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
Cakap siang pandang² bang Uar,@ustazstembai,Mualim Ujaz ,10,0,2d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
manusia paling boleh dipercayai nuar dgn piji 😂,@_.xzuan,𝚁𝚘𝚜𝚎 ♥️ ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
Rakyat dah xcya😅ph/bn ja yg terpksa caya😅,@abhlan95,Pokteh95 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
tukar jadi madanon,@maillangsi,mai tokek ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
😂😂😂sampai skrg tiada kepercayaan kpd BMX klau cakap tak bohong mesti tipu 🙉🙊🙈,@ismailabdullah8881,ismailabdullah8881 ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
😂😂😂😂😂 bagai2 byg jer,@taurusfiz,TaurusFiz ,1,0,2d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
😜,@wansaiful.office,SOSMed WSO ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
kena dh kat diri sendiri🤣🤣🤣tugas cai la plk utern apa yg patut 🤣🤣🤣,@angler781,bro ,3,0,2d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
oh billion skrg anak dia masuk,@jbselva6,JBselva6 ,2,0,2d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
kerajaan ank dan bapak😁😁,@matyus_5077,matyus ,2,0,2d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
anak dia x bergaji. lantik utk cari pengalama mungkin. nti kedepan hari ada yg boleh gnti pmx,@syakirinshaari,Syakirin Store ,1,3,2d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
salam 3 januari,@dunhill9799,John JDB ,2,0,2d ago ,2023-02-01,https://www.tiktok.com/@mohamadfaruqbakri/video/7194093542149606683,118,56,19,2023-1-30
