comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
kami sentiasa bersama YB... do your best 👍,@user693282791800,user 2270 ,25,1,6d ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
kerajaan perpaduan terbaek,@roynazreeali,roynazreeali ,11,0,6d ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
Terbaik RR. Teruskan usaha & persetankan suara2 sumbang yg tak membantu👍🏼👍🏼👍🏼,@atras_studio,atras501 ,15,0,6d ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
Saya yakin YB Rafizi akan buat terbaik untuk negara yang penting usaha kerja keras bukan pandai cakap je hasil kerja rakyat marhaen tak nampak,@hystergreen,HysterGreen ,7,2,5d ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
inflasi ni kemungkinan akan naik.?,@kamenrider2001,KAMEN RIDER ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
terbaik YB RR...,@aztraban,aztraban ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
"modus operandi ph bn = iklan gempak produk tiada. Pattern sama dsai, rr. walanon kagum 😂",@rotijohnjonny,rotijohnjonny ,1,0,3d ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
🥰,@user268104877744,user268104877744 ,0,0,5d ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
👍👍👍,@hambaallah_429,👉MASTER👈 ,0,0,5d ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
portfolio dia menteri kewangan 👍🏻,@ayam_pizza,robin chan ,0,0,5d ago ,2023-02-01,https://www.tiktok.com/@parti.keadilan.rakyat/video/7192822976847367451,635,37,18,2023-1-26
