comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
tu trbang ada makna tu...dok intai mana lg nk tarah,@abemikaberiaelelelele,wansemailgolok ,201,8,3d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
ni baru betul pelakon,@zainulariff10,zainulariff10 ,79,2,3d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
terbaik Datuk Sri ZH..walaon teruskn koyak tu😅😅😅,@johnyenglishengli,walaun anak abag ,50,22,3d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
bqgan dato pun menang 300 lebih undi.tu sbb anak nya dok nyanyi undi pak dia😂,@budak_kampung1923,Fadell Ahmad1923 ,289,30,3d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
Terus tak sakit2 penyamun ni..bila dah menang,@fakaruddinahmadofficial,K A R®️ ,26,2,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
"kita rakyat ni,kalau rasuah pecah amanah sah2 dok dlm lokap....masuk mahkamah tgn bgari....hampeh..",@zekk6255,😊Kaki Gelak😊 ,7,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
gi Langkawi saja ya.uar Negara... tunggu mahkamah bagi pasport..hehe,@kucing6364,Othman ,99,4,3d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
buat buat .busy,@zanizan115,zanizan115 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
bis tu nak kena naik sampan ke,@omrron1,omron ,0,1,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
hahaha hiburan cai2 pN..maka un2 pun begumbire 🥰😂😅,@kawaii_catemoji,RainHaizi ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂😂,@riduanatoh,riduanatoh ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂😂,@mandou_77,Mandou_77 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂😂,@farid47877,Mohd Farid ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂😂😂😂,@anaskama88,AnasKama ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂😂😂😂😂,@kulanlf,Kulan LF ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
tak boleh kena air nnti kecut...,@__ikmalfritz96,丨Ҝ爪卂ㄥ . 千尺丨ㄒ乙 🇲🇾 ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
segar bugar lps jd tpm😂..,@qamarulannuuni,Barli Suam ,3,1,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
x kenal 🤭,@zidzwan,hasryismail ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
Zuhud Komersial mmg TPM yg mntap,@nizulfazliahmad,Ada Maneh Maneh ,2,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
terbaik.. DS Presiden yg tegas..buang je yg mana mesra ppbm..biar la depa ke ppbm,@sufiansyariman,Sufian Syariman ,1,1,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂😂😂,@sahs1686,sahs306 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
terbaik TPM. masa beliau turun padang ke kawsan banjir walaun xtunjuk...,@pembelakebenaran376,pembelakebenaran376 ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
🤣🤣🤣,@mummysporting_6446,Mummy Sporting 🙋‍♀️ ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂😂😂,@intan.ghazali,intan.ghazali ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😅,@munawwarah_farmhouse,Homestay Munawwarah ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
mentri main tunjuk2 je dah la😅😅😂😂,@kamparlohan,kamparlohan ,2,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
Org² besar masih x nmpk lagi apa yg dia buat..semua org dibuang sbb takut rahsia dia bocor...kasi jalan puas² dulu..,@sagon6128,MR Azuan6128 ,3,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
satu utk kau..satu utk aku🤭,@annzackjamal,Annzack ,1,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
Passport Ooo Passport,@luludaisy07,L E O  L U L U  D A Z Y ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
Syoknya dapat pasport,@taufiqramli3,Taufiq Ramli ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
adeh,@hafisamri92,Hafis Amri ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
sepa suruh undi dia 😂😂,@kykyrulezz,kykyrulezz ,4,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
Org ni ke@AnasDaytona,@nazmiboyka,NAZMIZAKARIA ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
org2 ilmu tinggi...,@kucingnugget,Che long ,1,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂😂😂,@aripjohnjenin,user5925010385045 ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
pilot maw terjun ja time ni🤣🤣,@khairulhaniff,khairulhaniff ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
Ni ceo syarikat sendirian berhad kan,@yiemega83,yiemega83 ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
habis semua dia buang,@ceomaybank_,CEO MayBank ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
"Wow naik Blackhawk!!! Bukan ke heli tu utk PM, Agong dan Raja-raja shj.",@papanamanya,kadir5642 ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
"""Ooo banjir...oooo tenggelam..yelaa..kesian tu..mmm..ok jom la balik""
-pak jahit-",@bromuha95,ahmadmuhaimin486 ,3,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂😂,@riez5801,riez77 ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
walaun dah insaffffff hidupppp dsai,@user7634149305097,user7634149305097 ,0,5,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
😂,@inn_law77,Inn_LAW77 ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,8947,787,320,2023-1-29
