comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
kahkahkahkahkah😂😂😂😂😂😂😂😂..adoiiiiii sakit mulut aku dok gelak🤣🤣🤣🤣🤣bang mat paling win😆😆😆😆😆,@usermie_85,fahmisaad ,1,2,1-23,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
😂😂😂,@udmkampungmusa,UDM Kampung Musa ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
😁😁💪💪,@yaziz84,Yaziz ban khuan ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
😂😂,@mohamat_faizal,Mohamat Faizal405 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
🤣🤣🤣,@mattazamutalib,mattazamutalib ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
🥰🥰🥰,@potongtangancakar,Potongtgn Cakarimau ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
🤣🤣🤣🤣🤣🤣🤣🤣🤣,@yahyahassancahya,yahyahassancahya ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
😂😂😂,@hafizrudin5931,hafizrudin5931 ,0,0,2d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
🥰🥰🥰,@jueitachinta,JueitaChinta ,0,0,3d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
🥰🥰🥰,@caplosrobertocarl,caplosrobertocarl ,0,0,4d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
Hadir support,@mizimohdtarmizimr,Mizi Mohd Tarmizi Mr ,1,0,5d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
😂😂😂😂,@zulafiffairuz,Zul Afif Fairuz ,1,0,6d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
kunun nya la😂😂😂,@tupat_sotong,@jeput pisang ,1,0,6d ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
😂😂😂,@rajaunggas67,ℝ𝕒𝕛𝕒 𝕌𝕟𝕘𝕘𝕒𝕤 ,1,0,1w ago ,2023-02-01,https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,373,68,13,1-22
