comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,sentiment
🥰🥰🥰,@pelaminbytomey,Cik Tomey❤️ ,0,0,5h ago ,1/2/2023,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,1/2/2023,negative
Alhamdulillah🥰,@terataibungaindah88,terataibungaindah88 ,2,0,6h ago ,1/2/2023,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,1/2/2023,negative
alhamdulilah.. teringat zaman asrama hahaha,@trueseekersi,trueseeker1 ,3,1,6h ago ,1/2/2023,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,1/2/2023,neutral
🥰🥰🥰,@farishallauddin,farishallauddin ,3,0,8h ago ,1/2/2023,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,1/2/2023,negative
😂😂😂,@ammarakula,SaadAbuWaqa ,2,0,6h ago ,1/2/2023,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,1/2/2023,negative
🥰🥰🥰,@amy_95__,Zulhilmi95 ,3,0,8h ago ,1/2/2023,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,1/2/2023,negative
Alhamdulillah. terima kasih mydin. terbaik kerajaan perpaduan,@amierasuhaily,NorAmiera Mohd Rashdan ,6,0,11h ago ,1/2/2023,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,1/2/2023,positive
"Bagus, ini time Najib byk buat mcm nih kedai 1M, klinik 1M, BRIM dll. Harap jgn stop di sini saja, byk lagi boleh buat bantu rakyat !!",@sokwemzuri,sokwemzuri ,2,0,6h ago ,1/2/2023,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,1/2/2023,negative
malaysia bukan tak ada duit. Tapi habis dicuri oleh pemimpin2 yg terdahulu. Terbaik DSAI,@daisyleo11111,daisyleo1111 ,556,37,Jan-20,1/2/2023,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,Jan-23,positive
"Agak2nya DSA jd pm selepas Tun pd tahun 2012 , msia dah maju dr skng.",@jid_ali,Jidli ,261,43,Jan-20,1/2/2023,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,Jan-23,negative
klau Dsai jadi PM selepas DSN maka rakyat senang sbb kerajaan masih banyak aset2 dan kewangan kukuh .. tapi jatuh pada singa lapar habis,@sazz1683,Sazz ,105,6,Jan-20,1/2/2023,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,Jan-23,negative
DSAI secara jelas & terang menyatakan bhw adalah menjadi tanggungjawab beliau melaksanakan apa yg telah dijanjikan.,@rmdrazak,rmdrazak ,84,0,Jan-20,1/2/2023,https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,19.2K,579,512,Jan-23,neutral
