tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@en_nobody/video/7194356893555477786,Pengertian maksud KERAJAAN MADANI,#,en_nobody,143.4K,2023-1-30,2023-02-01
https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,Alhamdulillah.. Syukur. Menu RAHMAH di seluruh MYDIN. Terimakasih MYDIN kerana bersama² #kerajaanmadani  Kedai² lain akan ikut berperingkat² spt kedai² mamak..  #Mydin  #jalanterus  #buatkebaikan  #kerajaanperpaduan  #kerajaanmadani ,#kerajaanmadani #Mydin #jalanterus #buatkebaikan #kerajaanperpaduan #kerajaanmadani,cikbunga_csi,1095,2023-2-1,2023-02-01
https://www.tiktok.com/@penipuan_pak_menteri/video/7193744142432767259,untungnya !! 🥰#pakatanharapan  #telur  #kerajaanmadani  #kerajaanperpaduan  #kerajaangagalphbn  #fypmalaysia🇲🇾  #zahidhamidi  ,#pakatanharapan #telur #kerajaanmadani #kerajaanperpaduan #kerajaangagalphbn #fypmalaysia #zahidhamidi,penipuan_pak_menteri,561.5K,2023-1-29,2023-02-01
https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,Nurul Izzah tidak dibayar elaun/gaji Sebagai Penasihat kanan PM - DSAI #pmx  #anwaribrahim  #malaysiamadani  #fyp  #kerajaanperpaduan  #fypシ  ,#pmx #anwaribrahim #malaysiamadani #fyp #kerajaanperpaduan #fyp,dsai.pmx,345.8K,2023-1-30,2023-02-01
https://www.tiktok.com/@parti.keadilan.rakyat/video/7194677390046514458,Memudahkan proses melintasi sempadan untuk pekerja Malaysia di Singapore - Perdana Menteri @anwaribrahimofficial  #MalaysiaMADANI  #AnwarIbrahim  #kerajaanperpaduan  #harapan  #keadilan  ,#MalaysiaMADANI #AnwarIbrahim #kerajaanperpaduan #harapan #keadilan,parti.keadilan.rakyat,152.5K,2023-1-31,2023-02-01
https://www.tiktok.com/@dsai.pmx/video/7190589718713617691,DSAI - TAKKAN SABAH  & SARAWAK TAK BOLEH  LULUSKAN PROJEK  10 JUTA SENDIRI   #kerajaanperpaduan  #malaysiamadani  #anwaribrahim  #pmx  #fyp  #fypシ  ,#kerajaanperpaduan #malaysiamadani #anwaribrahim #pmx #fyp #fyp,dsai.pmx,406.3K,1-20,2023-02-01
https://www.tiktok.com/@jason.yew/video/7194744673112542491,"""Saya simpati dengan Nurul Izzah, buat apa pun kena serang"" - Fahmi #MalaysiaMADANI  #KerajaanPerpaduan  #kkd  #menterikkd  #fahmifadzil  #KEADILANuntukSemua  #foryou  ",#MalaysiaMADANI #KerajaanPerpaduan #kkd #menterikkd #fahmifadzil #KEADILANuntukSemua #foryou,jason.yew,281.5K,2023-1-31,2023-02-01
https://www.tiktok.com/@jason.yew/video/7194320116778077467,"Dari @anwaribrahimofficial   Tiba di Istana bagi mengadakan kunjungan hormat kepada Presiden Singapura Halimah Yacob dan bertemu Perdana Menteri Lee Hsien Loong. Sebaik tiba, saya diberikan sambutan rasmi oleh PM Lee di Ceremonial Plaza, The Istana. Saya turut diberi penghargaan oleh PM Lee yang menamakan spesies orkid hibrid atas nama 'Dendrobium Anwar Azizah' sempena kunjungan rasmi saya ke Singapura. #🇲🇾🇸🇬  #PMX  #MalaysiaMADANI  #KerajaanPerpaduan  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ",#PMX #MalaysiaMADANI #KerajaanPerpaduan #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,534.8K,2023-1-30,2023-02-01
https://www.tiktok.com/@jason.yew/video/7192850141705964826,"""Bakar al Quran tindakan biadab, 'barbaric' "" #PMX  #MalaysiaMADANI  #KerajaanPerpaduan  #DemiPertiwi  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ",#PMX #MalaysiaMADANI #KerajaanPerpaduan #DemiPertiwi #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,151.3K,2023-1-26,2023-02-01
https://www.tiktok.com/@rockerzmalaya/video/7191490430939286811,"Membalas kepada @han9_m  MaDoNat....Cerakah,WeweKang..😆😜",#,rockerzmalaya,3292,1-22,2023-02-01
