comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Dsai so handsome today 🥰🥰🥰,@hiroshi9851,Hiroshi ,58,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/a2fb2335f23e028aec464a6205fece06~c5_100x100.jpg?x-expires=1677520800&x-signature=WZdblyC8PsCkQNNzkO0dpLz7jv4%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
sblm menang mcm2 jnji dia buat..jga kebajikan org miskin rakyat diutamakan..last2 bls demdam je yg diutamakan,@kitatiadabeza,Khairul Hanifa ,28,7,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c4702e2b49675c3201ec365465962b8f~c5_100x100.jpg?x-expires=1677520800&x-signature=rp3TQFsuSiC62GVxfz96HFfUoyU%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
Semoga ada berita baik untuk seluruh rakyat Malaysia 🇲🇾🇲🇾🇲🇾🇲🇾🇲🇾,@khalid.azbpj16jpj3,Khalid Ahmad Zahari ,92,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/87ea3febe2ceed8c2bf47c543ffeaf64~c5_100x100.jpg?x-expires=1677520800&x-signature=gzOilWezAQR9UfyOPEWXQSRjjag%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
kerajaan gagal letak jawatan,@ab131684,D13 ,12,4,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/55dd07c78b474b35d2f8035050536453~c5_100x100.jpg?x-expires=1677520800&x-signature=6u5QXFkc9CHy8QoCNcbeh9%2BzU5Q%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
kaki mangampu si pun ade...😂😂,@khairulriz83,KhairulRiz83 ,65,8,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7146963901216161819~c5_100x100.jpg?x-expires=1677520800&x-signature=Kb74RUU7o68EYrcbbvNOVOZlNkk%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
tolong luluskan kwsp 🥺,@mageskannan695,Mages Kannan695 ,70,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7072754720196001818~c5_100x100.jpg?x-expires=1677520800&x-signature=fu5Fnt3YPBHhzd9%2Bmc7I0MjXvII%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
lulus kan kwsp pmx suara rakyat,@73alibanitamin,user1385048211052 ,27,15,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/a1d8640b86b1e809327e1f5f5de26e68~c5_100x100.jpg?x-expires=1677520800&x-signature=TIyrPCmf5vUKFKOcjft1uzqLoRk%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
luluksan kwsp,@akooalim,akooalim ,49,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/e142f582c943685d4b6d0d2da4618a8d~c5_100x100.jpg?x-expires=1677520800&x-signature=9cvtbmjhoVb33KiJKqlNPs192XI%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
.PM11 cepat lah hadir,@kapakcangku,kapakcangkul ,5,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/6efde0521e58541db5dbd286be1b129a~c5_100x100.jpg?x-expires=1677520800&x-signature=ZpDznb7G41Hlxcyv1qa8B7EDeDM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
kerajaan gagal,@razlam86,Razlam86 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7aecc88964deacb72d01d4bf14ccdbc1~c5_100x100.jpg?x-expires=1677520800&x-signature=EM%2FeC0%2FwyuJ3Ru3mFU7xNeWEPF8%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
bukan ke baju warna putih?,@nddpgshopp,nddpgshopp ,0,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677520800&x-signature=CF%2F96kNXTXyNILyYSm7vKX%2F9PIY%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@501awani/video/7203617379648163074,9000,788,348,2023-02-25,316K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/d57bc7cd849b4186805320b98effa9dc_1677223023?x-expires=1677448800&x-signature=eMLctixhJeWnnPiocQctucVYGV0%3D,Anwar berbaju Melayu warna biru muda turun dari pejabatnya dengan beg fail bercorak tenunan songket Sarawak berisi dokumen #Belanjawan2023  #AWANInews 
