comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
ckp nak tlng org ssh .makin ssh kan org di buat pm ke10 ni.makin tdak dapat apa bagus lagi bosku,@fiqximfnz._,nana💖 ,115,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/01dd65adf6757c6a2fb1d07848366020~c5_100x100.jpg?x-expires=1677517200&x-signature=k%2B2%2F0Y%2FNjOuc6%2FTb4jM0WKqxj5g%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
"Dah call lhdn , buat masa sekarang xde buka lagi kemaskini.. Baru smlm kerajaan umum, tgu dia buka kemaskini bru buleh pergi",@sugaarr_baby922,MuMy⚧️ ,57,22,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/59ff6a40e8034de44561413cafaa7e82~c5_100x100.jpg?x-expires=1677517200&x-signature=ur3emTKBXNTpMbFT2EXfjEWvo2U%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
Abah dgn bosku jgk bgus 😌,@jiehaanajiha,Jiehaa 🕊 ,102,10,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/d4689138840aa0ec75d12787785d4797~c5_100x100.jpg?x-expires=1677517200&x-signature=GBYBnI3%2FHAaJo8ZXwcmq9a8TrAo%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
sebelom ni tengku zafrul erkk yg umum ibu tunggal yg ada tanggungan dpt 3000😏,@dikrahjurrr__,dikrahjurrr__ ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/9c45bace3985e3aa992f2e8c49d9090d~c5_100x100.jpg?x-expires=1677517200&x-signature=42GkwVnhtxjkdQC4QyQfGoIVV08%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
fasa 2 bln bpe,@madammis91,mis ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/4306e81aa6815e7b2b940ecf678aa4d2~c5_100x100.jpg?x-expires=1677517200&x-signature=SuuCJd2y7q2AU9LLmxBlDQkhf84%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
srs laa nie🥺,@matminnn_17,M/A-🔥💦 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/01d57e8fb8cf72c230844e3ae163c859~c5_100x100.jpg?x-expires=1677517200&x-signature=j0ezTNetCZtMSYlwjoLkRBZ1%2BrQ%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
"belanjawan 2023....swasta mcm kami duk nganga jelah....masuk angin kluar asap....redha jelah .,",@umieis4,Umieis4 ,1,1,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677517200&x-signature=9Aw9ZnDZypeWdSQCQxK5egvwxY0%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
sy x layak,@epulrxzy15,Bapak Aliah ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/634d67bd1eec3cd484f853a2e5bdb771~c5_100x100.jpg?x-expires=1677517200&x-signature=GJB0QEJzAIMoZoGY6z0BA1tDvP4%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
ibu tunggal dapat juga ko,@emahazma,Ema Hazma ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/f33dcf7130f4961ba636feb0c3804bf2.jpg?x-expires=1677517200&x-signature=UAoilNVFXz4Ssepg3qzOiIL2EQA%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
hahaha nasib kwn x pakah en ph😂😂,@eyzafaiza96,Ummi qayla&qarizh ,3,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/093103f3adee72fc14dda16506ce2ff5~c5_100x100.jpg?x-expires=1677517200&x-signature=xdKOiKDnjPrx4cRE5xDNC3FlIVk%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@blogrojak/video/7203930070187035931,13K,676,2206,2023-02-26,731.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/og5GgenDXQHUefq9nebErlxHEXFKgXEjADGCvI?x-expires=1677448800&x-signature=CdM5zb801piCrEULwTDxkJJLCmQ%3D,Tarikh & Jumlah Bayaran STR Fasa 2 (Kemaskini 24 Februari 2023) #bantuankerajaanmalaysia  #bantuankerajaan  #fyp  #fypシ  #foryou  #strfasa2  #sumbangantunairahmah  #str2023  #sumbangantunairahmah2023  #strfasa3  #strfasa4  #bajet2023  #belanjawan2023  
