comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Tengku Zafrul the best menteri kewangan👍,@syaleelawati,Watie ,105,6,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/641afcb167747739a65c4c307feaf172~c5_100x100.jpg?x-expires=1677520800&x-signature=yJs67gCoaFxvYIIikXg0hhliVbM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
"Tak per lah mereka kejap je pegang jawatan tu,ALLAH nk bagi kita sedikit ujian di bawah pemimpin yg ZALIM.",@drciut,PhD_Dr_Belajar Sampai Mati ,255,81,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/81fd39312a8fed9d9f42d23d06ab31e8~c5_100x100.jpg?x-expires=1677520800&x-signature=ErIgHDCZ40%2F6lxrgfPhzW9L3ZnQ%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
Dlu ramai anak muda suka Tengki Zafrul. skrg???... sy dah xminat... kekal bersama PN/PAS inshaAllah kami bersma anda,@gor_g0ne,m3nAtaNG4P4 ,245,21,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/1a5b5cdc346a341e53008a6cf8406f37~c5_100x100.jpg?x-expires=1677520800&x-signature=JZBQVUdTKMLJFsf4AnbOsPCDdvY%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
smoga Allah jga PN n tetap tenang wlu ditekan,@nayz1172,asmah_zahari ,98,6,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/22b4aa69ba8f35af06c0d9462ff1ec92~c5_100x100.jpg?x-expires=1677520800&x-signature=%2FNHM9NGlwi2OqvvpnoqVHQuCoGM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
sampai harini aku asyik duk ckp kt laki aku syg nyaa tengku zafrul join bn.. knp laa tak di PN,@nuyuanuar,NuyuDayah ,76,14,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e77efe4799de65d63194fe7a74e30488~c5_100x100.jpg?x-expires=1677520800&x-signature=SE3e9RlxD0J042HiJOaugOEwrGU%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
Tuhan nak tunjukkan cara ph jadi kerajaan supaya rakyat tahu perangai sebenar mereka yg zalim dan pendendam,@amr_2883,amryyy ,119,9,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7022618013086318594.jpg?x-expires=1677520800&x-signature=lLBQ2dUglmexioTIcT1onMIynVA%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
lagu mmg win kena dgn menteri kewangan..😅,@kayuarang,kayuarang ,46,1,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/70f93d20dbdfc0f8d907b2082c6ee21b.jpg?x-expires=1677520800&x-signature=UC%2F2lMrrJQqbMMHeZ%2BLLGY6qPjs%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
"YB punya kelayakan akademik paling tinggi antara bekas2 menteri kewangan tu..insyallah, ada rezeki YB boleh buat lebih baik dr mereka",@yesfaizah,yesfaizah ,41,7,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/948414a900c83092816bf64d64d5b126~c5_100x100.jpg?x-expires=1677520800&x-signature=vd7fYQAbQw%2FKC1cXm1%2FVA0SqQQE%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
aku respect sbb dlm dewan semua bertikam lidah....dekat luar duduk mkn satu meja....👍👍,@hasbi8618,mohamad hasbi ,25,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/ea6ac7e12649d2c5024595594885f1b8~c5_100x100.jpg?x-expires=1677520800&x-signature=brrgIsYTTynCGDQadUgQstYqzd8%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
arau x nak salam tu. 😅😅😅. terbaik arau,@hamadidc,Hamadi Dc ,206,21,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/c6d51aa63584c50fb1ecf02964ccb2f1.jpg?x-expires=1677520800&x-signature=nlEILgbQ9BA6qXWE72WyRyFmLpA%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@drradzijidin/video/7203717612235164955,12.1K,453,125,2023-02-25,276.3K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/bf931ed2becc4adbb0a42d715a11c21c_1677246217~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/42c9480dafba4bacbf36b831df200225.image?x-expires=1677448800&x-signature=RZtVb6%2BDeVzNhp2F15hlZHVffko%3D,Terserempak dengan dua bekas Menteri Kewangan selepas perbentangan Belanjawan 2023. Agak-agak apa yang kami sembangkan ya? #Belanjawan2023  #foryourpage  #fyp  
