comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Zaman abah Muhyiddin jgak BEST 🥰🥰🥰🥰🥰,@nurhidayahmerang30,Nurhidayah30 ,153,62,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/b3aeabe6a9e208cfb881d4de35538da0~c5_100x100.jpg?x-expires=1677517200&x-signature=byqFDVSztPS%2FZDi5Nq6TE2HDf7E%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
hahhha😂baik zaman abah dn najib lebih bnyak rasanya😂,@mrshinchan94,DaddyShin ,142,18,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e083b7d425b3349d1e9dc65ab883cc0e~c5_100x100.jpg?x-expires=1677517200&x-signature=fGKGj%2FVzv7C5exwwwDhN5h6W4Y0%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
"next pru mana yg bujang masih muda xpyah mengundi dh, kerajaan perlukan kita",@kelingatinuan92,𝓡𝓸𝓶𝓮𝓸𝓶𝓮𝓸 ,63,15,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/6a03d54fd9a9bc7ef20733a4ca9fdc70~c5_100x100.jpg?x-expires=1677517200&x-signature=tj%2FTbGJkLe8rwc9e6iB2GtZxBao%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
Nak puas ati semua pihak mmg xleh la ade kurang ade yg lebih. Sama je bajet mana2 mesti ade complaint gak,@call_me_adal,A.Azdal ,22,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e94ce5b51bf69404bdcb646453606028~c5_100x100.jpg?x-expires=1677517200&x-signature=lcNLCEaHQOgdNqMwltCV810s4lk%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
bila boleh kemaskini ? 🤔,@ainshahahmad,Ainshah Ahmad ,20,26,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/884740733577ed37c3e328563ac8ea25~c5_100x100.jpg?x-expires=1677517200&x-signature=xL%2BPAqyXmwn6aiHA4ZaGceHJUmA%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
Menyesal mengundi anwar😂,@skybirddd_airwayyy,KiNg🥷CoBrA▄︻̷̿┻̿═━一 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/ca5d1c7237efffaf60fc13e34e636b95~c5_100x100.jpg?x-expires=1677517200&x-signature=35nCK1ggsmBv0UZLHxIRT5e84o8%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
bila dapat ye,@alineddy,norlinnapiah83 ,1,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/18a232672fd917fb998ce962a6578c13~c5_100x100.jpg?x-expires=1677517200&x-signature=T%2BSjlq4C%2B996nu0CC1jNH%2FHhg%2FM%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
sama je mcm hat lepas takda penambahan pun,@puterafmahkota,Putera ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1665398743622657.jpg?x-expires=1677517200&x-signature=G2qGpdjpfG9G8mKVo44n8llVm%2BU%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
Hm dlu ibu tunggal dapat duit tambahan.. skrg🥺🥺 sabar jela ye,@nisa.azman_,Nisha.Azman ,0,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/175ef86a63f0c20a066fc83a7acdb683~c5_100x100.jpg?x-expires=1677517200&x-signature=QBPqLE0rPsNlyYLC2J%2FKkoRSyOg%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
sabar saja lah untuk 5 tahun ni...,@alphonsusahboy910,alphonsusahboy910 ,1,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2014b0d74b33fd4e3dcde067a7778269~c5_100x100.jpg?x-expires=1677517200&x-signature=SwmsxaLnjV0GBMToWk8dNog7tVE%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@emma.advisera/video/7203708286133079323,7333,774,2204,2023-02-25,527.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/os32DIregZJrAIloHqQfIcePEDG4eLbtEFDAni?x-expires=1677448800&x-signature=z78OGRwqTZxLgvBzarkzW1Cqd%2Bs%3D,Sumbangan Tunai Rahmah (STR) dikemaskini selepas #belanjawan2023 . Ok tak ok? #bajet2023  #malaysiamadani  #str2023  #sumbangantunairahmah  
