comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
"lebih membahagiakan bagi yg pekerja kerajaan ,bagi pekerja kilang / swasta/peniaga kecil kecilan takde apa2..kesiann",@ctieyqueen,💎💎💎 ,120,47,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e631a6adbb897feff64ef67edeac283d~c5_100x100.jpg?x-expires=1677517200&x-signature=NefHyCEVV%2FJUIzoDWM2Td3rjiTk%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
kene kecing belake,@mohdzaidialias40,Zaidi4104 ,37,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7f31b2c0e6fc2e7ccaacf0a40b5b95a5~c5_100x100.jpg?x-expires=1677517200&x-signature=x4Zs3dowjwl6mg%2BLIbVQKIN0XcQ%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
Hanya org yg tak bersyukur dgn apa yg ada akan merasa tak cukup sepanjang hidupnya. Sy suri rumah lg tak dpt apa2.. relax jer,@cili_pedasss,♥️MiniLove🫰🏻🫰🏻 ,50,14,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/b7d5acd0afd25b784f08b7f2bd3b458d~c5_100x100.jpg?x-expires=1677517200&x-signature=JGrMhMbu0KhqVrfnj%2BT8p2Uyv4E%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
biasa2 ja baik perikatan ok lgi rasa😂😂😂,@m_farhan000,m_farhan000 ,22,12,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677517200&x-signature=9Aw9ZnDZypeWdSQCQxK5egvwxY0%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
x leh lawan kerajaan sblum ni de best ..,@halizasaad,halizasaad ,79,23,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/4cc6ab283ac8c57f3ce765de8f61daa2~c5_100x100.jpg?x-expires=1677517200&x-signature=PNJjfZQz60BMKTe2fEY0npcA5xc%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
hebat lagi kerajaan sebelum² ini..,@fairuz_awan,#ctyindah85 ❤️STF❤️ ,78,19,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/01acff346c4c9dc40011fd3bd7af8a65~c5_100x100.jpg?x-expires=1677517200&x-signature=LvHLsnhAaT7970TrwOSzcY%2Fd1mQ%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
"syoknyaa,blnjwan kli ni,ptptn tangguh,tol lupus,hrga myk trun,hrga brg trun..😁",@lilostitch91,yenyen ,67,10,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/efb69887cf5cfaf84b17ca49f7636ad2~c5_100x100.jpg?x-expires=1677517200&x-signature=WwJad6Ig7AFpsYnAj0EhZz9ez78%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
kerajaan terpaksa cut banyok bajet tahun ni sebab nk pulihkan ekonomi,@farhanjoe341,farhanjoe341 ,26,12,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/6989676437045248026.jpg?x-expires=1677517200&x-signature=Mmee5mWJWR16kM67xCeb0NsXtfU%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
Alhamdulillahh..utk cikgu2 kafa sy tumpg gembira utk anda semua🥰,@shud700,Shud ,48,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f02c9084004e041d499d8d141f090a34~c5_100x100.jpg?x-expires=1677517200&x-signature=Rdg8aK9FAu%2BqesUpp22uEBSHxvk%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
smua untung gov..kite y kje kilang nie mmg xde pape..sedihhh dohhh...😏😏,@misspanda343,Mrs_IjaT 🌺 ,18,23,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c8e2456d0b3d92f40012dfc9e2013434~c5_100x100.jpg?x-expires=1677517200&x-signature=4eWmz9hx8CdT5khjs2MQEiZPS8w%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@emmaqhuzaimah/video/7203668981692108058,7945,573,2262,2023-02-25,711.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEeOBBEIDT7pjeGSkHE4nsE8QBUe8wbgAse3r?x-expires=1677448800&x-signature=0sE%2Fg8RVToVU%2BSJwEqemGE%2FmPgs%3D,#belanjawan2023  #pmx  #anwaribrahim  #belanjawanmalaysia  
