comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Kalo ikut logik hang.. Patut kwsp dibenarkan keluar tiap bulan😂,@hafizzismaaail,hafizmail ,109,17,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/3a35157a4d44c743c87d3410cf6332eb~c5_100x100.jpg?x-expires=1677520800&x-signature=1S9GF1NYMzY6psoml%2B0zbd%2BsWjk%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
Ramai je yg dah takde kwsp tu habis ditarah Pastu kena la kerja jd cleaner guard Sbb saving usia tua dah habis,@fassyi99,Fassyi99 ,43,23,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/82e1aa0bb4df211fd2259d0a60cb2d03~c5_100x100.jpg?x-expires=1677520800&x-signature=8kH5Om1Xs75DBP%2BKCKe46QCmH8s%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
Sy ramai jmpa org yg acc bawah 10k umur dah 40 🥺 ini bebetol bukan tipu2.. semua dah keluarkan masa pkp.. Nk buat ivest melalui acc 1 pon xlepas 🥺🥺,@alyalaloya,alyalaloya ,332,161,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e5682c191a49a90eb42a733498ad02fb~c5_100x100.jpg?x-expires=1677520800&x-signature=WEZJMl6z8FAkMFakU%2BNyD5Ioye0%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
"mestilah ada data, ingat belanjawan kedai kopi ke 😅",@azrynakmal,changdidiwang ,163,43,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/1129840b8211a6c0b9a09ab41e3e7070~c5_100x100.jpg?x-expires=1677520800&x-signature=NhWvCTSduyV9%2FR5bNcAqU0EhXEk%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
ramai ja yg xdk 10k dlm acc1.. cthnya surirumah yg dlu penah kerja..,@n0asayura,n0asayura ,133,36,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/46065be239687c1059a62723ed440f42~c5_100x100.jpg?x-expires=1677520800&x-signature=AlcpMrw7QA%2F6JfwQ0KLZN2Feogk%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
sy antara yg x sampai 10k.. dulu kerja sekejap .. start 2008 dah x kerja.. berniaga .. masa mco 2 bisnes tutup.. bln 6 tahun baru start kerja semula,@norazylabintisazali,Norazyla Binti Sazali ,91,29,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1620028519691265.jpg?x-expires=1677520800&x-signature=quuQo6163Lb%2Bq2oddhOqYcArcUE%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
manusia tidal Akan pernah puas sampai bila pun,@firdausshaari2,firdaus86 ,0,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677520800&x-signature=CF%2F96kNXTXyNILyYSm7vKX%2F9PIY%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
bagi lh kami yg surirumah ni,@pn.nurseha,nurfasihah ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/8b334a53258788c9baf5329b7454d754.jpg?x-expires=1677520800&x-signature=GRHAGPcFu0Kd6Zny0jMokDyRPYo%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
𝑡𝑘 𝑝𝑎ℎ𝑎𝑚 𝑘𝑒𝑟𝑎𝑗𝑎𝑎𝑛 𝑠𝑒𝑘𝑎𝑟𝑎𝑛𝑔..😅,@evanisputry,EvaPutri ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/e0c4f850684e1aa680a4e260e517a955.jpg?x-expires=1677520800&x-signature=2tpjDFXN8G3PVVFO5DF6Gb6jd9E%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
kami xmo rm500 duit kerajaan. kami nk duit kami sndiri.. 😢,@sha.alshahab,𝓢𝓱𝓪 𝓐𝓵 𝓢𝓱𝓪𝓱𝓪𝓫 🌹 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f2d8a1007ac16a262075b814ec7742a6~c5_100x100.jpg?x-expires=1677520800&x-signature=7bWUVPIEfJEklcx2slPmJtrCngA%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@forensik_hartanah/video/7204003582977363227,3792,1868,167,2023-02-26,317.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQAC5eMTe86xnwTQrbjE3RELgeDPGncIfHohEu~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1e3573c0df6c4437bf1c75489309ead8.image?x-expires=1677448800&x-signature=J95ls4LcqSmL8BGVbBpkgiSvzYc%3D,belanjawan 2023. ntah apa2. betul ke?#fyp  #pmx  #kwsp 
