comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
tahniah pmx buat keputusan yg sukar tapi demi masa depan..itu yg terbaik....#bagipehankbetis #perangainamanye,@sempoider,seMpoiDeR ,73,21,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c0751daac95abe5dca502e6734235113~c5_100x100.jpg?x-expires=1677520800&x-signature=RPqTXvHVcc3i2KknYfk%2Bdif1L7I%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
anuar niey banyak putar belit,@azreecoway681583,MD AZREE ,217,71,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/ca5610f143ade3e8a06aa60be7fb5078~c5_100x100.jpg?x-expires=1677520800&x-signature=cuX9yIVG7DYiUC%2FGtqWdPN6Nrxg%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
ape2 pn senyuman tu tetap hensom💞🤭,@zurainaaziz,Zuraina123 ,13,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/3e4eb6b7a4cf69991536d49923b58b8e~c5_100x100.jpg?x-expires=1677520800&x-signature=mt7%2FGKExhBeC2C9rw9pUK8NfANY%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
So handsome although 70s wow,@user7669516246251,user7669516246251 ,113,9,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677520800&x-signature=CF%2F96kNXTXyNILyYSm7vKX%2F9PIY%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
comel bapak ku,@winnniesolomon2110,Winnie@Annie ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/488fd2eb17a0e2e16916ff7b1f89c5a5~c5_100x100.jpg?x-expires=1677520800&x-signature=k3Ve1rroz31sw2OUhpMUd8W%2BFCs%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
"carum sekail ke
carum setiap bulan,",@mrdd735,mrDd ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7002296151026171930.jpg?x-expires=1677520800&x-signature=M6KO4OSu6FvQ1HdbTuLhWpDP3yM%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
punya la lama berjuang nak jadi pm...dah jadi pm...emmmm,@payikzs,payikzs ,2,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/4398e9210eee7935bcf9c15e2c604ee2~c5_100x100.jpg?x-expires=1677520800&x-signature=LZb9OWRJsOYWf8C8k7S5Kb%2B75U4%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
tringt kataw dia dlu tnpa perlu kluar kwsp kerajaan pkir cra lain kalau cmnilah pkir rakyat trus sengsara,@tokuban88,TOK UBAN ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/f8b8a0f34c3056a45187092e6db4b2ed.jpg?x-expires=1677520800&x-signature=z2Gdi1RlZxadzsA9oWXg8k%2F4oO0%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
byk sgt spin😏,@qalisya2703,Ieyra Azmieyra ,1,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/67b37d302d577ebf5bbd8dc797684376~c5_100x100.jpg?x-expires=1677520800&x-signature=PhuR8R%2FGBbg3CZOk1kHmMNGoxZo%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
pmx die cuba nk uruskan dengan pengurangan masalah hutang negara dengan global ekonomi tahun 2023 ni..tggu pembntgn kewangan 2024,@anwardgreat7,user9062741720191 ,1,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1659244960750593.jpg?x-expires=1677520800&x-signature=K3eJ4AY8OQtjLSxAfj43AqOmCKA%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@jason.yew/video/7203668286792305947,7304,1655,700,2023-02-25,316K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/38959773dae348a3bf3fafe47930f4a6_1677234764?x-expires=1677448800&x-signature=xX%2FTfX6CZ6WphwvwnUhxsEwIwkc%3D,Kerajaan carum RM500 jika simpanan KWSP kurang daripada RM10k bagi pencarum berumur 40-54 tahun #kwsp  #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  
