comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
"Bagi yang tanya ""21+ keatas mana?"" Dah tersedia dah pun, bantuan bujang. hanya umur 21 keatas yg layak memohon. Itu laa sebab dia bagi 18-20 bantuan",@nothing_nouse,Dokai ,1803,92,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f897cf236316b99922bda70c236d4d22~c5_100x100.jpg?x-expires=1677517200&x-signature=gXDUjXZA2aaCQRgm1AqM7SQK%2F6I%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
"ni KAMI dah tau , yang KAMI nak tau ,BILA BOLE DAPAT , LAMA DAH TUNGGU NI 🤣",@haqimiqal_,Qimilo ,896,36,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/a881fd7c37feb99b479e22d5027ca2d8~c5_100x100.jpg?x-expires=1677517200&x-signature=Ybs7dctkh%2BgcIYB84T8Ezv4EASA%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
dpt 200 simpan lagi 34800 dpt beli keta 🥹 yeay,@fakkedus,03 ,1657,27,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/1e67b46c79d7930528a217ffc85de717~c5_100x100.jpg?x-expires=1677517200&x-signature=4MWN3i1uMuDMpcVdu4sQ80lVZ4M%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
"25, keja swasta, level b40 tapi tak layak any bantuan. Saya rasa saya tersakiti 🥲",@namasayameoww,Meow 🐈 ,463,31,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2f4a0fc88efc3d5fc9516597328e996f~c5_100x100.jpg?x-expires=1677517200&x-signature=XYgSD7ygQjRXP2UxSN5eiKxxd98%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
kami yg bujang ni tkdpt mcm mana ? check tp tak layak 🫠 walaupun bukan student dah . 😅,@adra.malaiqa,adra_ ,77,11,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/865e19a5fced11056af9c6bdfd577ca3~c5_100x100.jpg?x-expires=1677517200&x-signature=cr0YMub0IPvItehDY0%2BeNuDpygo%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
Lah yg kami student berumur 23 ni hmm,@aajjaai,Ajjaaii ,191,26,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/def57ad6e6832b053f68fa8f0d329741.jpg?x-expires=1677517200&x-signature=6gHz%2BCx3RGCpcMB4hQKf2JwHBos%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
21 ni tak wujud ke🥰,@nhnnsyqn,r𝒾𝑒𝓏'𝓈 𝑔𝒻 ,166,34,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/91810b04100765fd05c18229e5596b31~c5_100x100.jpg?x-expires=1677517200&x-signature=tTSPsIIY55n7BLEF5GjUWScaQLM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
Mcm mana nk claim nye ada link tak,@nrzuerh,〽️ister potato🍟 ,98,76,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/1dffaa67966d5053a31012568539bac3~c5_100x100.jpg?x-expires=1677517200&x-signature=BRmAT0XaWYHdmzlvv17OMYleWOk%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
"uishhhh nasib baik gua 20😳😳,so tahun dpn TK DPT Ler ni 😭",@mysteriofunz,Mysteriofunz ☑️ ,157,9,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f5cda23d4597111cdc381cc5b8037d96~c5_100x100.jpg?x-expires=1677517200&x-signature=SZTXCXwoKrNuW0Koh5EV3HWeYj0%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
kalau student 22 tahun?,@nxrxdxyx05,Last Kitsune ,10,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/3f61cd5ecae7930775faedffc45f33e2~c5_100x100.jpg?x-expires=1677517200&x-signature=N5IFKZUxajOYcinAGrwAqe0prRI%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,94.4K,2656,6113,2023-02-25,1.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  
