comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Kami nak kwsp bersasar luluskan segera #kwspsasar.,@fairuz731,Fairuz Izzwan ,210,7,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/a9b4651e6afb56b229c17e8446bcf1da~c5_100x100.jpg?x-expires=1677520800&x-signature=NM%2BnS3qxTIbLf%2BdNNeq5wGtfnFQ%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
org mintak keluarkan kwsp,@amr_2883,amryyy ,98,1,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7022618013086318594.jpg?x-expires=1677520800&x-signature=lLBQ2dUglmexioTIcT1onMIynVA%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
lulus kn kwsp bersasar terkesan sgt keidopan memerlukn sgt 😭😭,@ungku73,YM Ungku73 ,40,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/934203db64bf99f17859f65a84af7422~c5_100x100.jpg?x-expires=1677520800&x-signature=8ih3gQDpr0lzK7W5u5FSmFnjfU4%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
kita bukan minta benambahan tapi pegeluaran,@asonoasono,As yunos ,102,7,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2ca6cc90be6ebaae2670399fa6c327e3~c5_100x100.jpg?x-expires=1677520800&x-signature=Z%2BzOdJRhC9ekkONf%2FzJk97zg6i8%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
ini spin bukan bantu.,@is_boss8,IS ,18,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/cfad8d13eba550aad1639ecef2ccca38~c5_100x100.jpg?x-expires=1677520800&x-signature=pmgxf00sQXT3JrNUMW0%2FYHdowDw%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
x mbantu langsung....,@loqsiasat,Khairul amri33 ,15,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/10e6f726005cf443efb24fa8b0107430~c5_100x100.jpg?x-expires=1677520800&x-signature=Zf11z1HinQkswJGzS46WEEV3Hh0%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
tak tau nak cakap apa... peninglaa...,@rajsingam60,Raj6257 ,46,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7170930297184682010~c5_100x100.jpg?x-expires=1677520800&x-signature=9b%2FckSuSrUvbbW2XrFVwEDIm%2BFM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
"ate kita nak KWSP dikeluarkan,aduhhhh..pening kepala teman..",@pedih_apa_ke,Pedih Apa Ke Musz ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f771cdd686311bbebae71ba77934fcf7~c5_100x100.jpg?x-expires=1677520800&x-signature=wkwS1USftOiR1iHO4gnaZ4NfZYA%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
bukan lima ratus ribu ka..😁😁,@ani.norraini,ani.norraini ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/aa5cbbb66cf3d4e3f28ed19015f1f297~c5_100x100.jpg?x-expires=1677520800&x-signature=AuzGsIYgMoSDUTSJ7EOwlEI5ri4%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
🤲🤲,@cintapilip,Angelina  Filipina🇵🇭I ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/98360c36deda893ad0af43e7bf0903b0~c5_100x100.jpg?x-expires=1677520800&x-signature=2baRvMwKiphbjhavjqQPQKbjnwI%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@saje_sembang/video/7203657046678342938,6324,1248,707,2023-02-25,243.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  
