comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Atm hina dia ramai tapi tula anwar ni pemimpin yg adil 🥰,@itsdidiazri,WAJDI AZRI ,132,36,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/870cd5a005ceb01ef19d18e87daa9e0c~c5_100x100.jpg?x-expires=1677520800&x-signature=W74ODf8Fx9vgkZ9r1KYGYoK2F0k%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
dsai xlupa atm kita🥰,@rizdwan00,kaki spark ,120,8,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/ba4510a882e11d500ff02a7b7d1deb1d~c5_100x100.jpg?x-expires=1677520800&x-signature=N093qO5LjgpPc3639XoWiiTu3U4%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
skrg nie utk rakyat bukan keje kerajaan nie xmau bantu ka???,@vampiresarangheo_ruby94,RubyS_vampiremengilai ,12,10,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/969d7786f94a33bc5db64aceaa52c437~c5_100x100.jpg?x-expires=1677520800&x-signature=caV%2F%2BFzAXOGHJ%2FL0TzkJIuFX2vE%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
"tq papa bantu kami kakitangan kerajaan ni. swasta jgn risau, tak bantu pun diorg tetap undi PH...",@petakbulat111,💚💙 ,42,16,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/57b8e459c0b7482d25ceef38a2331301~c5_100x100.jpg?x-expires=1677520800&x-signature=%2B%2B4%2FQzo%2FHkPj4WU8FQivS%2BUO3%2Fc%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
kening bergerak2 tu ada tanda2 mampu lihat je😂,@mr.mina93,Mr. Mina🦉 ,23,17,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/65f87c6455499bca72b5b4a99dc213a4~c5_100x100.jpg?x-expires=1677520800&x-signature=EqKKWS70%2FzWjX%2FcMqI7cWnGHQkc%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
😇,@user5170704161445,Harry ,0,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677520800&x-signature=CF%2F96kNXTXyNILyYSm7vKX%2F9PIY%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
amboihhh...krajaan dlu yg buat dia ambik buat nma plk😂😂😂,@yunusyunus348,🦅🌑DaRk KnIgHt🌑🦅 ,0,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/390a52730393f4697d7b49ec4fa075dd~c5_100x100.jpg?x-expires=1677520800&x-signature=Q%2B%2Fxi9jFjKqJ93jyirk0jNwrsFU%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
BYK JGK ANGOTA ATM PELEKEH ANWAR,@abdulrahimrahi3220,abdulrahimrahi3220 ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7013690458253557786.jpg?x-expires=1677520800&x-signature=Bcy65kwJC7gxjnvtwnUgcBYvcyQ%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
kl je la,@pengejarbulan223,LonelyRanger01 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/fa02fa6ee8d7836494cd034b399e3b52~c5_100x100.jpg?x-expires=1677520800&x-signature=dUnzdhBxE78lwtksx33ZZpwIrtE%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
kebanyakkan atm hari tu silap p pangkah PN,@sentiasakaya,sentiasa kaya ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/5d1edf94e5e2d7d5302268dc89e8801f~c5_100x100.jpg?x-expires=1677520800&x-signature=vTuyHfr1Q%2F9Gi9A9hyaHoiorjNM%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@selangortv/video/7203735171835677978,6823,467,238,2023-02-25,246.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oIHso46DMVI8eevHAMCQrzI8XbrH6uEeGnSEgf~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fa11897d5b714f12b886cd71e1e3c4a6.image?x-expires=1677448800&x-signature=OPfTAL%2FNmQI8DICSUQ36aVTpyJA%3D,Kerajaan akan membina lebih 7 ribu unit rumah mampu milik di bawah Program Satu Anggota Satu Rumah (SASaR) di Kuala Lumpur - PM Anwar Ibrahim #MalaysiaMadani  #Belanjawan2023  #pmx  #anuaribrahim  #MediaSelangor  
