comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
puas hati...terbaik belanjawan..,@neohaf1zul,HafizulHelmi ,401,52,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/42c73b8192e3dcf01a07440958aba301~c5_100x100.jpg?x-expires=1677517200&x-signature=krcyoZ1Fjecz1%2FI803gEOd1NCJw%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
Kami ni swasta belanjawan tade dlm list sbb golongan pertengahan tiada sebarang bantuan.,@psfazz,Mama Faz ,85,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e9896efba02db37db3056821fbad5345~c5_100x100.jpg?x-expires=1677517200&x-signature=TnIZj%2FRK28K524VrMNw34oowEs4%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
Istiqomah la dalam membayar cukai kawan2..dunia ini keras huhu,@arenie84,arenie84 ,93,14,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/4574b354686e90820c0a0d16bad89969~c5_100x100.jpg?x-expires=1677517200&x-signature=%2Bev81hHhWIeah8xsuDrxh0ZdQ0o%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
"swasta gaji besor drp menteri, jd x de peruntukan yer, kwsp x de..utang byr sndri klux blh along ada, sdg menanti",@sulianor,suliaNor ,78,9,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/d9ed87f2c9c29ee639bfa26a4844d629~c5_100x100.jpg?x-expires=1677517200&x-signature=JuYC%2FBXXlQKrBbzP6oNpx1I4Z7c%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
depa kata kita selalu dah dpt bonus... depa baru pertama kali dpt... dpt bonus kita tolak bayaq cukai depa xkira ... xpa anggap rezeki dr Allah,@honey2miez,ᵀᴸ Honeyda2miez🌹🌹 ,6,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/14f55e1a5484b421e41eadbc4472d4c2~c5_100x100.jpg?x-expires=1677517200&x-signature=MXJRWP9PMuVk0G3ReahCcOpGLZA%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
"PAPA ni mmg mempunyai ciri² papa,memPAPA kedanakan rakyat..",@baba_khalish21,Khalish Anuar 🍿 ,1951,105,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/a131ecc5e33ce64d9e40ddb34fce5aca~c5_100x100.jpg?x-expires=1677517200&x-signature=rP2st%2FGNHKZswe3ouPXIt6fRw88%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
Bonus mmglah bgi dkt depa penjawat awam sbb bos diorang gov.Bonus raya yg swasta nanti bos bagi la tu.Depa gov senyap jek bila kita swasta dpt bonus😂,@nnabiela8,Nurul Nabilah ,87,21,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/d56364d6994bda2417d1c807c9d91e4c.jpg?x-expires=1677517200&x-signature=edqxomVOu8%2BVpwSGJJdW9Yv311I%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
saya ulang PRN ni kita kena pastikan,@arizalzubairiahmad,Arizal Zubairi Ahmad ,591,85,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7051593333956673563.jpg?x-expires=1677517200&x-signature=grmZTiz8BblKS33o97PGcgvKqzA%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
tak sape nak bagi bantuan.. keja siang mlm. simpanan KWSP byk mcmna pun dia blh Kata nnt Hari tua tak Ada duit.,@sitinurhaili,Siti Nurhaili_NOIR ,521,111,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/1ee25069b506beb7cb981eeb4f947b8e.jpg?x-expires=1677517200&x-signature=InnrnKH%2FKFqpKkYipWzncrZlMDM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
tak kesah..masih bekerja pun dah bersyukur sangat,@sittiisme,Sittiisme ,315,15,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/3040225d967c50b6144c938164e00f38~c5_100x100.jpg?x-expires=1677517200&x-signature=stecj2vDdTRV4%2FgWZHD3Q0GNLkg%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,49.9K,4418,2655,2023-02-25,1.4M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta 
