comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
#bajethampa,@tiktokybviral,tiktokybviral ,263,13,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/fc309b10f9c230345ca7e1808a477ca5~c5_100x100.jpg?x-expires=1677517200&x-signature=vIZkn6kThG8lrRrOsQt9ZfH4o3Q%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
"trbaik kak,kami d kencing lg",@apih8840,JACK8840 ,178,12,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/eabf99a06a41e8623fee034504b78ac3~c5_100x100.jpg?x-expires=1677517200&x-signature=R4Vg6L3QZZqEQCroofJmGLltoAI%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
x abis² mroyan org PN,@hakimjaelany,hakim jaelany ,154,56,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2636b54d2a0aee4f0d06990ea7e22794~c5_100x100.jpg?x-expires=1677517200&x-signature=gkntky%2F7zH9DzyHLcG792Ft9AwM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
DULU KAMI PH..SKG DAH TUKAR PNPAS,@mr.kaunselor.haha,Mr.Kaunselor.haha ,874,73,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/2e4df6e4f676edd88ddaffdba839bc97.jpg?x-expires=1677517200&x-signature=nA%2BFZX3sdndZawhGCffjmNM6Sk4%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
Haprak Anwar tu...,@alanzsarawak,AlanSARAWAK ,453,20,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/29ed4a359db1c88b72278095585367db~c5_100x100.jpg?x-expires=1677517200&x-signature=a7kLdI29d6Q%2FGdbAWnY%2FxKLHl0Q%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
PRN nnt kasi ajar 😂😂😂,@hilmiz93,Hilmi ,374,20,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/299af08676026f9d6e91d04839fec914~c5_100x100.jpg?x-expires=1677517200&x-signature=rvlASrvtCAka58o2CW%2F6RhPVPjk%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
tu baru btol madah berhelah.....kencing kuat,@langkawi744,RoslanSaridan74 ,112,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/bfdb9b198684c81861b0e627cc2f150d~c5_100x100.jpg?x-expires=1677517200&x-signature=pPV9LR5p7ua4Mni8zAs%2FmAAtYog%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
Rindu belanjawan zaman DSNR 😳😳,@suhaimisaid3,Suhaimi Said ,56,3,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1642950378263553.jpg?x-expires=1677517200&x-signature=Fq8ZO1xpXMEMJJ0u1K3HOzya4Ys%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
"kita nak keluarkan KWSP,hampeh betul",@lanlinda81,𝓐𝓩𝓛𝓐𝓝🔰 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e8aaacbc7c520ab3009657f870f0503d~c5_100x100.jpg?x-expires=1677517200&x-signature=%2F1qBK%2FE8KAxp7xAD1vVT12kyVQY%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
betul tu sokong💪💪anuar kencing banyak ..dari ckp politik baik kerja perbetulkan keadaan negara,@boybanzai21,☠️BoYBanzai☠️ ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/a681bc09bb7cefabcdd441d78a5e010b~c5_100x100.jpg?x-expires=1677517200&x-signature=lV%2FXAns3RM4l4EGwSfotMtL89Os%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@szo_official/video/7203695251729567002,23.5K,4665,3964,2023-02-25,479.7K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o8BwSW2NVjhQTPDYBhz4UKfFCqYfQACEI6qlIC~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/dc2d846abe4c40c0b3cb1a0802b72cf0.image?x-expires=1677448800&x-signature=XlGLrPNQ6CH%2FwhfHGiHn0lT1CX4%3D,BAJET HAMPA 2023 #bajethampa2023  #szoofficial  #bajethampa  #anwaribrahim  #belanjawanmadani  #belanjawan2023  
