comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
ckp lain buat lain indah kabar dari rupa,@irwanwanirwanwan,irwanwan ,175,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/099e1ebe48ffbd644f41d5639cbb1ea5~c5_100x100.jpg?x-expires=1677520800&x-signature=lrbNum%2F31GIChYcEdjGB%2BwIkHUA%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
ini la menteri terbaik di dunia Spin....😅😅,@noorazri80,azri.... ,173,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/dc5b10f0c1b935dfd647b72c5181e933~c5_100x100.jpg?x-expires=1677520800&x-signature=pQ8A4%2Fzs0yOYX9U0hfcCi2gVzC0%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
baik tutup KWSP bg rakyat duit mereka balik,@khalifah20233,khalifah20233 ,293,15,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677520800&x-signature=CF%2F96kNXTXyNILyYSm7vKX%2F9PIY%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
tulah kuat sgt spin sblum ni😂,@musafirkhan_30,Musafir ,236,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/009242684dc0af9d68b0530e97498ce4~c5_100x100.jpg?x-expires=1677520800&x-signature=wL4GfMsSb%2F1ZVEx2GcyadcI3lSo%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
perdana ke.... pelawak 😂😂😂,@abdullahzakariaab35,abdullahzakariaab35 ,160,10,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7195843694402043930~c5_100x100.jpg?x-expires=1677520800&x-signature=EoliAhXzhTIXZOJwliMIAh3K1co%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
boleh masuk raja lawak lepas 😂😂😂😂,@syuk92rancak,syuk92 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7ae484403f89ca9c7d253f6d800ef936~c5_100x100.jpg?x-expires=1677520800&x-signature=n5hwQsumSruWqaIaFh6iXksgSZY%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
yg ni macai2 dok tunggu😂😂😂,@hasbullahraihan,hasbullah raihan ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/9934a71103e9a334a99e061a0d572660~c5_100x100.jpg?x-expires=1677520800&x-signature=MNab9F%2B03sLfT3%2F%2Bv92OMITj2LQ%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
rm500juta pakcik kayoooo...🤣🤣,@mr.arein6708,RoRonoaZoro ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/02f23b95b0e866a2a121d667986418ee~c5_100x100.jpg?x-expires=1677520800&x-signature=bjpLMdWWa2j%2FybXyhAIwgQMBU0w%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
😂😂😂😂,@cahaya19847,cahaya ziela🌼 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/0ded76302d75e033dd2fc33ebcbe065b~c5_100x100.jpg?x-expires=1677520800&x-signature=tlIXhGVc6Aly%2B66SAFdLwEvy43M%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
klau hidup....😅😅😁,@wandanial459,wandanial459 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7122841649595547675~c5_100x100.jpg?x-expires=1677520800&x-signature=mv8JWxoDTuteLXpNNbC3N9ZYBxg%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokmari135/video/7203711876524461339,8782,3670,2917,2023-02-25,332.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUZ4VFL2jEP1CTDGuBffubwhIYzAvuAyQQtvcN?x-expires=1677448800&x-signature=RiU%2BytYRXGu9LaD%2FQO4yEig5Ilw%3D,Membalas kepada @muhamadaliffirdau3  Anak papa nangis ke hahaha.. #kwsp  #anwar  #pakatanharapan  #dap  #barisannasional  #umno  #zahidhamidi  ##kerajaangagal  #matsabu  #belanjawan2023  
