comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
belanjawan ni..Najib Ngan abah ja yang terbaik,@hisamsyam57,hisamsyam57 ,8065,165,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7032912109079887899.jpg?x-expires=1677513600&x-signature=AcWeGsoq1a6G8WaeEkVsKwEM65A%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
segala janji masa pru15 hilang tanpa dpt dikesan..itulah anwar.,@user1257685417708,user1257685417708 ,2932,62,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677513600&x-signature=iYtSv%2BwJrmWaQe50JU0UhX1r7Ew%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
rm500 kwsp tu paling kelakorr 😂,@wilzanomilan,N°oah ,2414,153,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f0d705e20eff4377331b2119363ef2c1~c5_100x100.jpg?x-expires=1677513600&x-signature=dyz3WfUTQvTaRcxPErabDHu%2Byn0%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
"Kesianla kat peneroka felda, nape pmx mansuhkan pelupusan pinjaman dorg yg dulu dibuat oleh Abah dan pak mail... Kesian org felda",@camelqaswa7,camelqaswa ,1568,71,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/a41c1d92de97fb3dba348df899e5f547~c5_100x100.jpg?x-expires=1677513600&x-signature=DVJVf%2Fz1%2BehZZ%2BgX1V4pWxbsFf0%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
apa jadi pada kami m40 ni? bantuan kami tak dpt padahal atas sikit je dr b40! kami nak kwsp sbb byk nak bayar!!!,@_cikpuanlili_,_cikpuanlili_ ,1658,138,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/ab58b35fc84279b48edb5df415b05c9d~c5_100x100.jpg?x-expires=1677513600&x-signature=0AP%2BACGF4M8IUinXuKrDeONhMiM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
org yg dpt mengundi PRN nnti tlg undi dgn btl...,@aciengkol,aciengkol ,736,54,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/d93752940bce87605ac2e3aadbfe5b54~c5_100x100.jpg?x-expires=1677513600&x-signature=ArBbpayAH1w7bXiyrnJf094xK6A%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
mcm mana tmbhn rm500 dlm akaun 1 kwsp dpt membantu rakyat yg terdesak sekrang ni?,@jun_isme,June Basri ,613,58,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2f12feb7f02a1b71a1823a10a28c47e6~c5_100x100.jpg?x-expires=1677513600&x-signature=vtGbAWwlOw7NFaKhdYcx3Pxq9fI%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
harga barang mesti kena turun.......baru kos sara hidup terjamin,@shamser02,shamser ramle ,449,14,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/e90753174c9296e4e4a3d1a2f94e337b.jpg?x-expires=1677513600&x-signature=RsDw0OLfawB1w5Wt68MVzpsg6Xo%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
belanjawan sangat teruk sangat ....tak faham,@ninaisa7,Nina Isa ,300,5,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1684597628478466.jpg?x-expires=1677513600&x-signature=xzMpAzIPlX6bNziBqkFxgbCA49w%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
yess.. ini yg aku tggu..analisa ringkas paling aku percaya.. terbaik tuan..,@bigjoul,BIGJouL ,288,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/53c9e716ec051bf5dc84de3cb4bef6e7~c5_100x100.jpg?x-expires=1677513600&x-signature=6cuVQ1Yi4zq%2F6QAppxEBom%2B160o%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
sebagai rakyat kita tengok muka dia pun dah tahu nak jadi apa,@mustaffa2158,mustaffa2158 ,308,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/6991838097658871834.jpg?x-expires=1677513600&x-signature=fxX8XpfstR6%2Bp9%2Fgcml0hKM3ZVE%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
teruk sgt² kali ni..ikhlas kata..nampak utk org atasan n bukan utk bumi.utk rakyat 2p% paling byk,@mohd_bc,Mohd Bc ,115,4,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/56261c5f276a9419347a1a84fc79f326~c5_100x100.jpg?x-expires=1677513600&x-signature=FOdkm1JJyyiAa%2FwNV5mqfY46K0Q%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
sedih sgt belanjawan tahun ini,@adurawan,dura ,17,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/fb68bc8a5eb02a0a96e3acc04ecc11cb~c5_100x100.jpg?x-expires=1677513600&x-signature=QZgaaLsHHS6UlqhbpMDuykeo%2FZs%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
ada ke rm10K akuan 1 untuk umur 40 keatas ni?,@zaliexarmy,zaliexarmy ,99,33,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/d53e9861370fcbc8a141590b5a8ffe06~c5_100x100.jpg?x-expires=1677513600&x-signature=iaRJNGqsaW%2BkbTbqHMT4at1XT70%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
sume x ok....menyakitkan hati...,@_shuhaiza,insan terpilih ,139,2,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/smg667fadbeec4351a357d9b6beb9c05231.jpg?x-expires=1677513600&x-signature=pma8UP4m%2BOUSUs7XZjfKL6guCrI%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
PN pasti bawa bajet ke parlimen,@fidah5854,fidah5854 ,98,3,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1677513600&x-signature=iYtSv%2BwJrmWaQe50JU0UhX1r7Ew%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
str tuk bujang b40 xde ke..,@murtadzazaharim,moose ,42,15,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1690384474964994.jpg?x-expires=1677513600&x-signature=FvucxiyhP1HBhwtFMUXLeG4Axb4%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
lg tertekan la rakyat,@adyza73,Ady73 ,77,8,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/9b0a5c4faffb4acaa5c7f1b250534b83~c5_100x100.jpg?x-expires=1677513600&x-signature=IyoTxlhSqomlnsqfAp%2B0ksGXRT8%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
Macai bising nanti bang 😂😂,@duitrm1,💲♓️🅰️Ⓜ️ ,57,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/1c07a08cfbc888fee119c5428fa78a13~c5_100x100.jpg?x-expires=1677513600&x-signature=r73PqRBk3U9Xw0jdv18FLv66Sdk%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
PH bye2,@faridzainproperty,Farid Zain ,115,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7adba5ab92293635a77b177ab0cbe3c2~c5_100x100.jpg?x-expires=1677513600&x-signature=RmoTJqjScqOlEj68yzDuqpRobDM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
"Seharus nya Rkyt sblum mengundi dhlu berfikir hbs sblm nk memilih dia yg tkda gna nya ni hnya pntng kkroni2 dia Dr dlu lgi,skg nsi SDH mnjdi bubur",@elsandraamora,elsandraamora ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7149521295104573466~c5_100x100.jpg?x-expires=1677513600&x-signature=Z040EA33KJDNagSHYDM2i68A4c8%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
Setuju bapa yg abg sampai kan,@misslucc8,Miss Lucc ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/bbccabf260b741759c2a361c74b23514~c5_100x100.jpg?x-expires=1677513600&x-signature=Z0VSavA7DFuxENvnocIRLq%2FI2Xk%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
Setuju,@lemonpanas819,LemonPanas819 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e84362551aee4ece3119e679c8a54053~c5_100x100.jpg?x-expires=1677513600&x-signature=6R7h%2FAEMGpAsf3Cj2Tg2E1YCq9c%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
Hbs smua kena game,@paklang_9901,Paklang ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c4f902f3794c971e7ebc017f55dc23d4~c5_100x100.jpg?x-expires=1677513600&x-signature=l38QMYxytRy6vNS%2FxNZzZKEf3EU%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
terbaik....,@paktam_ku,Nourul Aswan ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/96a4a71768eb0b7ab0d6cfb1f2a4b89f~c5_100x100.jpg?x-expires=1677513600&x-signature=QaHgD30Iu4mfCFdIjuf90yQFJMQ%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
Inggatkan jep sepah tu.. 😂😂,@pakudin224,Sallehuddin udin ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c323cdf220ec96e83c1287319cf35d2a~c5_100x100.jpg?x-expires=1677513600&x-signature=phUpwUH40ZtNOBFB1UApQSMthQ8%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,186.7K,15200,16.8K,2023-02-25,3.6M,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  "
