comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
"Aku b40 apa yg diberi aku terima je , selebihnya aku usaha sendiri , smpi bila nak harapkan kerajaan",@danishmohamed_,danishmohamed_ ,762,94,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/d0300fefb9dbd44af726a0ee5d9409b5.jpg?x-expires=1677517200&x-signature=0GQRgnFp2g36Heja5mMbIz7tk9s%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
Itu dari kerajaan. Kami nak duit kami sendiri. PENGELUARAN KWSP TERDESAK,@mrba2795,Mohamad Ridzwan ,205,61,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2abef8c0142dc3486f990c98223dff58~c5_100x100.jpg?x-expires=1677517200&x-signature=vUBa5qqx9GarNrl%2BpbPPmkhbaEk%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
Belanjawan byknya utk B40 and miskin tegar. Habis M40 takdpt pape? Mtk pengeluaran kwsp taknak bg. Bantuan tak bagi. Takleh harap betul,@aimeemaziah,Aimee🌻 ,173,100,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c35fe99edb2dfed9f56bb8f1f4f306fa~c5_100x100.jpg?x-expires=1677517200&x-signature=TOT6I%2Ba3TEYzI9r6YqHAkmsvqmU%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
najib bossku terbaik semua dpt bantuan 😁,@putrahary5,Putra Hary ,99,9,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1661334178376705.jpg?x-expires=1677517200&x-signature=ZZPGhKjz7Ku1C2FmLKEULVUpNws%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
"hari ini saya menang...esok minyak turun
..",@shahdanatikah,LAYANG LAYANG ,278,56,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e814a8bf94cbf4c87b417c80706963c8~c5_100x100.jpg?x-expires=1677517200&x-signature=ekPNpP3mE%2BwosLcSCOgEmOLt44c%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
next PRU undi PN,@mohdsabri083,Mohd Sabri ,73,15,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1631687151417346.jpg?x-expires=1677517200&x-signature=hIglfCRVZxCYGbAVgaIxHnF9lks%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
X penah dpt pon.... Baik kwsp 10k,@alehseret,Alehseret83 ,22,2,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/e6c48eb95ecb2aeb0f55e8070b4dc41a.jpg?x-expires=1677517200&x-signature=MWPB4ZbKZbL9EkyyP6Yq4qN6ahM%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
M40 apa cerita? income tax potong jee setiap tahun,@madisxn_10,AbeMadi1022 ,67,28,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/fdc0331314773779b3c2a0c26251853d~c5_100x100.jpg?x-expires=1677517200&x-signature=FsqKMfGBXYJFI1keOz%2F%2FGwm3HgI%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
nk update pun x DPT lagi nk DPT ke,@hankvoight42,hankvoight42 ,11,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/487fc21d554ee1aa91ba1b62caad2319~c5_100x100.jpg?x-expires=1677517200&x-signature=CzWgV%2B66TzUEtPDbbjHLvDXwPlE%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
itu bukan semua rakyat dapat lah.,@nanamardiyana7,Nana Mardiyana440 ,16,1,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1688506504140801.jpg?x-expires=1677517200&x-signature=uJaIlx2OIONz%2F5ywbme%2FoS%2BHhLw%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@utusantvofficial/video/7203654574475840795,22.5K,1653,3524,2023-02-25,749.3K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/49d9352a787247f4a95f6f695bc55084_1677231540?x-expires=1677448800&x-signature=Vm62o3ky0FKWnPNszD57cQkMEok%3D,"#belanjawan2023  Sumbangan sehingga RM2,500 itu bergantung kepada bilangan anak. #belanjawanmadani  #trendingnewsmalaysia  #fyp  #beritaditiktok  "
