comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
"kami keja kilang tak ada bantuaan....
kami nak kwsp duit kami...",@pudar2020,pudar.com2020 ,322,32,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1665765997377537.jpg?x-expires=1677520800&x-signature=%2Fgsyd2llVzwIcPwWv%2F5AmFSzJD4%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
pekerja swasta dipinggirkan,@sammarris,Sue ,153,17,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/726e167b7e04d5d09172532e6fda978b~c5_100x100.jpg?x-expires=1677520800&x-signature=TovpSIYbfQqSgo1BJTLvRc62hEU%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
Terima kasih pengundi PH..anda semua hebat👏👏,@ida_jazmi,ℂ𝔸𝕃𝕃 𝕄𝔼🇮 🇩 🇦 🦋 ,22,8,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e5135b2baa42f0fc2e72d50cf0907ffa~c5_100x100.jpg?x-expires=1677520800&x-signature=Kx%2FBFmMUiShT3sCVvypr5zERk9Q%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
lepas ni time mengundi..pkerja swasta d kecualikn lahh..sbb time mengundi x kire swasta@kerjaan.time bntuan swasta d pinggirkn,@eidaahadii,eidaahadii ,56,7,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/63e328e615e92d9c81d899c29301a8cf~c5_100x100.jpg?x-expires=1677520800&x-signature=paIK7JtGbUs1vb9gNUzjKBoMisM%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
"kami pekerja swasta,xdak untung apa pn bajet 2023",@zakaria.din,Zakaria Din591 ,49,12,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7051752410695335962.jpg?x-expires=1677520800&x-signature=MIGM%2FCZcl%2FutDwhtmShxfRsRMDo%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
"satu pengal jer lar Dato' seri,teman org Ipoh ...lepas tu tumpo Ler pkr",@ringgoo6,user7214705889527 ,30,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/b7e1adf1e7140e886ad5d38ee6753a2e~c5_100x100.jpg?x-expires=1677520800&x-signature=8GWiulmQSxmGT14F01iuam3hyeY%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
Kwsp 10K,@izanto88,Izanto ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/06e257f4d44cf25b729dba4671b44c26~c5_100x100.jpg?x-expires=1677520800&x-signature=Da4aUwKE4ig7YcO7maPtxoQ1tGY%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
😂😂😂😂😂,@ayumie09,ayumie ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/888dd855a4d219c8cc924a95aad8fb5d~c5_100x100.jpg?x-expires=1677520800&x-signature=eA5qvBJN0bQXk2WL4UXH31%2FtYuo%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
Manifesto kelaut.,@zharifdaniel,زاريف ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c0fcfff44aea017cdfc335e59179d8bb~c5_100x100.jpg?x-expires=1677520800&x-signature=ehGf%2B1ByOX4GJIDUw5usuUOuVTw%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
x ok kami nk keluar KWSP jgk,@cococabana20,Saipul Rizal122 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/1c7cd20a6f8c15a3e12f3946ffca5653~c5_100x100.jpg?x-expires=1677520800&x-signature=4P%2B%2BiS685j9aGxqFnxSHW4kAbUE%3D,2023-02-27,2023-02-27,https://www.tiktok.com/@www.mdeva21/video/7203923699047746843,3408,1321,876,2023-02-26,413.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAXDHGbDHgenH0MeDgEpjyAlyCQj8YI0n7fXey?x-expires=1677448800&x-signature=B6%2FBQRDZLZEnRWnl7kdyZhDXnwY%3D,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
