comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Ujian pertama Rm17..ke dua Rm20..tu je kerajaan support..kelas memandu beratus tu still kita bayar,@ri2uanshah,RIZUAN MUSANG KING ,245,58,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/12251632b80fe729a7b8481484f825de~c5_100x100.jpg?x-expires=1677517200&x-signature=8KqgjAWAvCqx6DufVGYxXpQZ0UA%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
@rms76drivingteacher mcm litar @Institut Memandu Sinar ja😂😂,@azlia624,𝓘𝓷𝓽𝓪𝓷/𝓐𝔃𝓵𝓲𝓪 ,8,6,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/ee93a6e2dc5ae0cdfbadf76356aeda49~c5_100x100.jpg?x-expires=1677517200&x-signature=OEnC0uCrkB7QlOa9b7dVa7S0Jf0%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
Aku skrg kompius..dia tnggung byaran untuk ujian ke atau byran untuk lesen,@zackzahar,zackzahar ,221,37,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f5396f7c1bfa02ce2306f0dbc35fd05a~c5_100x100.jpg?x-expires=1677517200&x-signature=OLPhYKKEuzsX96cIHSGx6%2BkontA%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
kalau nak semua free jahanam nagara oiii...😂😂,@incikewan,𒆜1NC1K EWAN™𒆜 ,7,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/1f5f6f48cd3559bc8a45d204167e48a2~c5_100x100.jpg?x-expires=1677517200&x-signature=IGHtgUDuHFovhyB93qID58Dy1Ig%3D,2023-02-25,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
tanggung mcmane 2...nk kne tau jgk 2,@mdhizamejam,mdhizamejam ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f16c1dd20ac337fa134722f272df402c~c5_100x100.jpg?x-expires=1677517200&x-signature=OskwkW52Q%2Fn%2FdQLvSlPODrmvOtU%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
Lau kerajaan bg separuh bayaran pon ok,@katrinabatrisya2022,hishamismail84 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/12ef0ea8d4eb489b3be1dffd246f7b4c~c5_100x100.jpg?x-expires=1677517200&x-signature=146utBieUAcGKkmP111Z%2BM6YbiA%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
bunyi macam hebat tapi😁😁😁😁😁,@cwahisyam76,CWAHisyam76 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c180854a82ca04c3684688230aebcd37~c5_100x100.jpg?x-expires=1677517200&x-signature=xT8g%2BLuQ6Z%2FP7PqClImuTBq3irY%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
aku yg panas baca tajuk...... ujian je....,@sakinahrahman436,kiena ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/6d94ec25f1e90b458ea4723b475e052f~c5_100x100.jpg?x-expires=1677517200&x-signature=jr4XTwA9dkGMjRzt9C3GTKSP8tc%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
e hailing ni apa ya?,@alongren96,Ren X Gaming ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/67e5b235276835e2e4f838032cee3049~c5_100x100.jpg?x-expires=1677517200&x-signature=x7Kw6a8R6L5%2FI1qkloI%2BgrUStO0%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
sat g kata limit..dh full hahhaha,@nurulhudazaiss,nurulhudazaiss ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/ed12389dcdc4ebe3a4bdd80d369ae3cf~c5_100x100.jpg?x-expires=1677517200&x-signature=gzUzToIx1IS5MYYT8uwLWD%2BekTw%3D,2023-02-26,2023-02-27,https://www.tiktok.com/@xtra_my/video/7203644840725302554,17.7K,819,2867,2023-02-25,688.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/fe8527e9435840789bc8a277c75f8e0d_1677229275?x-expires=1677448800&x-signature=2BJvUrD7GVEijmCK57pW%2BbQiWoE%3D,"Kerajaan akan menanggung bayaran ujian memandu untuk lesen motosikal kelas B2 dan lesen teksi, bas dan e-hailing. Lulus elok elok eh nanti bawak elok elok tau atas jalan raya. #Belanjawan2023  #belanjawan2023tv3  #xtra  #xtramy  #fyp  #ujianmemandu  "
