tiktok_link,tiktok_description,tiktok_hashtag,username,tiktok_views,tiktok_views_full,posted_date_original,posted_date,tiktok_image,extracted_date
https://www.tiktok.com/@utusantvofficial/video/7203644501573897498,Jom! semua 😁. #beritaditiktok  #fyp  #trendingnewsmalaysia  #belanjawan2023  #belanjawanmadani  ,#beritaditiktok #fyp #trendingnewsmalaysia #belanjawan2023 #belanjawanmadani,utusantvofficial,5.2M,5200000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/574630b20f6843f2b5104604101369d0_1677229196?x-expires=1677448800&x-signature=Xbub%2BwGxo%2FDOl5QVodTaYPonCrk%3D,2023-02-27
https://www.tiktok.com/@tiktokybviral/video/7203684711628115226,"Aduhai Anwar Ibrahim, Apasal Belanjawan 2023 Teruk Sangat? #bajethampa  #barisannasional  #pru15  #ybviral  #anwaribrahim  #rafiziramli  #muhyiddinyassin  #pakatanharapan  #perikatannasional  #umno  ",#bajethampa #barisannasional #pru15 #ybviral #anwaribrahim #rafiziramli #muhyiddinyassin #pakatanharapan #perikatannasional #umno,tiktokybviral,3.6M,3600000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/5b1b1fe7915a49f987d2db7fdeed2210_1677238561?x-expires=1677448800&x-signature=d1vh61Xq8p%2FvVbwv%2FR8gPlV5iG4%3D,2023-02-27
https://www.tiktok.com/@utusantvofficial/video/7203667613526920474,#belanjawan2023   RM500 ye 😁 bukan 500 jota. #trendingnewsmalaysia  #fyp  #beritaditiktok  #belanjawanmadani  ,#belanjawan2023 #trendingnewsmalaysia #fyp #beritaditiktok #belanjawanmadani,utusantvofficial,3.1M,3100000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/87613c93260a41529da3c46eb0eb4974_1677234576?x-expires=1677448800&x-signature=FrgGlEXP3wFNrVCW1FOmKGm3RsE%3D,2023-02-27
https://www.tiktok.com/@utusantvofficial/video/7203662812818754842,#belanjawan2023  Boleh settle cepat² 😁. #trendingnewsmalaysia  #fyp  #beritaditiktok  #belanjawanmadani  ,#belanjawan2023 #trendingnewsmalaysia #fyp #beritaditiktok #belanjawanmadani,utusantvofficial,1.9M,1900000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/0cc433a8acbb42adb7326644f32e66df_1677233457?x-expires=1677448800&x-signature=q9xnWxGQ%2F%2BvI1%2FmprwBG2Ti6l%2B4%3D,2023-02-27
https://www.tiktok.com/@utusantvofficial/video/7203641904540503323,Boleh dah pakai barang buatan #Gombak  😁 dan berhenti #vape . #trendingnewsmalaysia  #fyp  #beritaditiktok  #barangmewah  ,#Gombak #vape #trendingnewsmalaysia #fyp #beritaditiktok #barangmewah,utusantvofficial,1.7M,1700000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/760cfd7cd61b4a17ae5dc14a9f386383_1677228588?x-expires=1677448800&x-signature=nuKuShEczY4UJzA45%2BVfUg9zgbk%3D,2023-02-27
https://www.tiktok.com/@ohbulanofficial/video/7203672701746089242,Kredit e-Tunai Belia Rahmah RM200 kopada 2 juta belia (18 hingga 20 tahun) #Belanjawan2023TV3  #OhBulan  ,#Belanjawan2023TV3 #OhBulan,ohbulanofficial,1.6M,1600000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0wrfeDTS3m9t4eiEIYblggEnbAl8GAieEDHJI?x-expires=1677448800&x-signature=ulfDw%2FvxyJCvXBr1KZNq70ERcoM%3D,2023-02-27
https://www.tiktok.com/@sinarharianonline/video/7203667528466304283,Adakah korang berpuas hati dengan keputusan Belanjawan 2023? Jom komen kat bawah! #Belanjawan2023  #PMX  #AnwarIbrahim  #Bajet  #PekerjaSwasta ,#Belanjawan2023 #PMX #AnwarIbrahim #Bajet #PekerjaSwasta,sinarharianonline,1.4M,1400000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oMuGQU8eUSeVcKzxGDnAgDeor0HgIEXEeJDSbo?x-expires=1677448800&x-signature=39NuOZMWvegJKU%2FCHQIN9hXoqHc%3D,2023-02-27
https://www.tiktok.com/@utusantvofficial/video/7203664653187058971,#belanjawan2023  Duit raya 😁. #belanjawanmadani  #beritaditiktok  #fyp  #trendingnewsmalaysia  ,#belanjawan2023 #belanjawanmadani #beritaditiktok #fyp #trendingnewsmalaysia,utusantvofficial,1.3M,1300000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/458ef69daeda4bb9bddc5036d2f62357_1677233886?x-expires=1677448800&x-signature=lmmBZVTTyQ9A3XGhcDA39ZyClZA%3D,2023-02-27
https://www.tiktok.com/@selangortv/video/7203716394486074650,"Beberapa ahli parlimen akan dinaikkan kadar cukai"" - PM Anwar Ibrahim  #MediaSelangor  #anuaribrahim  #pmx  #cukai  #Belanjawan2023  #MalaysiaMadani ",#MediaSelangor #anuaribrahim #pmx #cukai #Belanjawan2023 #MalaysiaMadani,selangortv,1.1M,1100000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/o0eEY2XiLgirPFXAMuwHA4EeeG85hVRxHBuX0f~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81c1745e03fd4a67808d1e52f9be95df.image?x-expires=1677448800&x-signature=oh9K5IclqLdJspubmqgSnC25Yo8%3D,2023-02-27
https://www.tiktok.com/@radiotelevisyenmalaysia/video/7203643998643277061,Berita baik bagi pencarum ASB #MalaysiaMadani  #Belanjawan2023RTM  ,#MalaysiaMadani #Belanjawan2023RTM,radiotelevisyenmalaysia,942.8K,942800,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/f583115e4f584c969f71ce5a9b30b576_1677229079?x-expires=1677448800&x-signature=%2BQL%2FjqYd9%2FK6Jhka0EEW%2FH2h7Ac%3D,2023-02-27
