comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
Walanon panas ooii.. Dpt menteri kosong.. Sembang ja kemaih.. Tp kosong.. 😂 😂,@5zalyus,5zal ,109,3,4d ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
ok jer cadangan tu.. byk manfaat pada yg memerlukan.. skurang2 nmpk la jgk dari 33bulan..,@taufikhnazri,taufikhnazri ,52,1,21h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
Alhamdulliah menu rahmah utk Bantu rakyat..sgt2 better ada jgk tindakan utk menolong dari takde buat apa2. Mcm dulu tu 😭,@user3853184442011,Mohd ,71,0,8h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
rindunya zaman harga minyak masak rm42,@muizz_ila,Muizz3335 ,67,4,22h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
abg ada idea ke? tolongla bg formula..,@jrolzairul,jrolzairul ,11,0,21h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
walaun pa ni..dgr suara ja..org x nmpak...😂😂😂,@azmanazmy0,Azman Azmy ,53,9,22h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
kami walaun dah insaffffff hidupppp dsai,@user7634149305097,user7634149305097 ,70,8,4d ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
ajaib betul...baju boleh bercakap...,@farrezfadzil,Farrez Fadzil ,17,3,19h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
sbb Tu lah aku tak jd mana2 ahli parti politik.. kdg2 sbb nak perjuang kan parti benda yg ada usaha utk rakyat pun di kondemkan..,@pawistark,PawiStark ,24,2,22h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
baguih tu ...hari2 beli nasi rahmah utk keluarga 10 org...sorang sebungkuis. kenyang tu baguih...baguih.,@ummiummi108,ummiummi ,8,0,11h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
Lebih baik dri menteri2 pas dulu xbuat apa2😁,@aidiey997,Aidi ,16,0,21h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
jarang xpadu😁😁,@_amirul40,Amirul40 ,87,8,4d ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
#sedekah,@pakupayung6060,Paku Payung ,5,0,12h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
"alhamdulillah, dgn skim ni banyak membantu org miskin untuk mkn. peniaga yg ikut semoga dimurahkn rezki.",@khairulannuar83,☺️☺️ ,7,0,15h ago ,2023-02-01,https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,9206,2500,865,2023-1-28
