comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,sentiment
🥰🥰🥰,@pelaminbytomey,Cik Tomey❤️ ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,2023-2-1,negative
Alhamdulillah🥰,@terataibungaindah88,terataibungaindah88 ,2,0,5h ago ,2023-02-01,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,2023-2-1,negative
alhamdulilah.. teringat zaman asrama hahaha,@trueseekersi,trueseeker1 ,3,1,5h ago ,2023-02-01,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,2023-2-1,neutral
🥰🥰🥰,@farishallauddin,farishallauddin ,3,0,7h ago ,2023-02-01,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,2023-2-1,negative
😂😂😂,@ammarakula,SaadAbuWaqa ,2,0,5h ago ,2023-02-01,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,2023-2-1,negative
🥰🥰🥰,@amy_95__,Zulhilmi95 ,3,0,7h ago ,2023-02-01,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,2023-2-1,negative
Alhamdulillah. terima kasih mydin. terbaik kerajaan perpaduan,@amierasuhaily,NorAmiera Mohd Rashdan ,6,0,10h ago ,2023-02-01,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,2023-2-1,positive
"Bagus, ini time Najib byk buat mcm nih kedai 1M, klinik 1M, BRIM dll. Harap jgn stop di sini saja, byk lagi boleh buat bantu rakyat !!",@sokwemzuri,sokwemzuri ,2,0,5h ago ,2023-02-01,https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,77,10,22,2023-2-1,negative
"Alhamdulillah,setakat ni dh 15,000 kedai sudah mendaftarkan...lpas ni byk kedai akan jual menu rahmah ni...🥰
xperlu order nasi bujang lagi lepas ni😂",@hafiz_ap15,Mohd Hafiz ,204,9,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31,positive
yg baik kita sokong.jujur krajaan skarang lebih cpt buat keja,@abeliee60,abeliee60 ,142,14,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31,positive
Alhamdulillah.. semoga ramai lg perniaga yg boleh buat mcm ni... sesiapa yg bersedekah moga di balas di akhirat nt..🥰,@ladyanaqirana,Ladyana Qirana ❤️ ,20,1,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31,positive
Mydin bijak ambil peluang bersama sama dgn kerajaan utk rakyat 👍🏼👍🏼☺️☺️,@fajieyana,Jieeeeeeeeee ✿ ,125,2,1d ago ,2023-02-01,https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,3331,379,163,2023-1-31,negative
