tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@sembangkedaikopi/video/7193548747475864859,,#,sembangkedaikopi,330.4K,2023-1-28,2023-02-01
https://www.tiktok.com/@thesiakapkeli/video/7195013066327723291,"Waa lepasni min nak try jugak la menu rahmah ni! Jimat banyak ni ,😁 #TrendingNewsMalaysia  #BeritaDiTikTok  #NewsAtTikTok  #menu  #rahmah  #government  #program  #b40  #costofliving  #viral  #2023  ",#TrendingNewsMalaysia #BeritaDiTikTok #NewsAtTikTok #menu #rahmah #government #program #b40 #costofliving #viral #2023,thesiakapkeli,194.3K,2023-2-1,2023-02-01
https://www.tiktok.com/@pokcikku/video/7194852489722678534,ini baru jujur... terus ke point... tak perlu guna sangat perkataan rakyat Tu🤣🤣.. #mydin  #makananpercuma  #salahudinayub  #kpdnhep  #menurahmah  #hargabarangnaik  #kerajaanperpaduan  #perutrakyat  #kempen  #kpdn  #menterikossarahidup  ,#mydin #makananpercuma #salahudinayub #kpdnhep #menurahmah #hargabarangnaik #kerajaanperpaduan #perutrakyat #kempen #kpdn #menterikossarahidup,pokcikku,181.4K,2023-2-1,2023-02-01
https://www.tiktok.com/@mydinmalaysia/video/7194726882032536859,Dapatkan Menu Rahmah di pasaraya dan medan selera MYDIN bermula hari ini! @kpdnlamanrasmi  #MYDINMalaysia  #MenuRahmah  #KPDN  #PRESMA  #PRIMAS  #MCSPGA  #BRO  #MRCA  #MRA  ,#MYDINMalaysia #MenuRahmah #KPDN #PRESMA #PRIMAS #MCSPGA #BRO #MRCA #MRA,mydinmalaysia,64K,2023-1-31,2023-02-01
https://www.tiktok.com/@pokwiejebond/video/7194971508056296731,#stitch  with @Sembang Kedai Kopi  #MalaysiaMADANI  #amanahdeminegara  #pakatanharapan  #barisannasional  #anwaribrahim  @Salahuddin Ayub  @KPDN  ,#stitch #MalaysiaMADANI #amanahdeminegara #pakatanharapan #barisannasional #anwaribrahim,pokwiejebond,10K,2023-2-1,2023-02-01
https://www.tiktok.com/@cikbunga_csi/video/7195017669848894747,Alhamdulillah.. Syukur. Menu RAHMAH di seluruh MYDIN. Terimakasih MYDIN kerana bersama² #kerajaanmadani  Kedai² lain akan ikut berperingkat² spt kedai² mamak..  #Mydin  #jalanterus  #buatkebaikan  #kerajaanperpaduan  #kerajaanmadani ,#kerajaanmadani #Mydin #jalanterus #buatkebaikan #kerajaanperpaduan #kerajaanmadani,cikbunga_csi,1085,2023-2-1,2023-02-01
https://www.tiktok.com/@nikahyuk_organizer/video/7149143826181950747,Harus bagaimana? Pelajaran buat yang masih jomblo,#,nikahyuk_organizer,39.3K,2022-9-30,2023-02-01
https://www.tiktok.com/@amiapria_24/video/7181669639770934555,menurut kalian ini kerjaan nya siapa nihhh😅✌#wattpadspritual  #jodohjabalrahmah  #wattpadromansa  #wattpadreligi  #wattpadmedis  #wattpaddokter  #wattpadislami  #Aish  #Athar  #foryoupage  ,#wattpadspritual #jodohjabalrahmah #wattpadromansa #wattpadreligi #wattpadmedis #wattpaddokter #wattpadislami #Aish #Athar #foryoupage,amiapria_24,8680,2022-12-27,2023-02-01
https://www.tiktok.com/@masakantj/video/6986095197390261530,Reply to @ipunk835  @hifziahrahmah  @mbasap ..Kita ikutan numis bgonoanny depanan kaya PokMak @joanakania  mksh yak PokMak Joh!😁 #lontongsayur #menuviral ,#lontongsayur #menuviral,masakantj,85K,2021-7-18,2023-02-01
https://www.tiktok.com/@honeyarristra_/video/7088530863519976731,Balas @rahmahsolichatun   Gas warung padang ga nih? #menububer  #fyp  #menubekal  #racuntiktok ,#menububer #fyp #menubekal #racuntiktok,honeyarristra_,135.5K,2022-4-20,2023-02-01
