comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
jgn risau..mak cik..dorg xmitak duit makcik buat bayor gaji..relek je..santai..😁,@samsampoji,sampoji ,11,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
brg dapuf lg melambung tggi lg.ayam sekor pun 19 rgt.dulu 15 rgt,@noriezaaaa,norieza ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
kesiannya mak cik ni..,@rohanahnaim836,rohanahnaim836 ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
kesian mk sapa la ni...jgn brsangka buruk..brsangka baik la..semoga d lindungi Allah semua ye..,@salasyunus,Salas Yunus ,2,0,6h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Dah kluar dh mk cik ni,@bibyjean,BiByJean ,0,0,13h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
anwar sepatutnya melantik makcuk ni,@_master999,user1093706309490 ,0,0,13h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
ow😳😳,@kinjoanphilip,Kin Joan Philip ,0,0,17h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣kn,@nurkartini3,Nur Kartini ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Betuldah tu nak cik…sebap dah tak Ada yang nak di harapkan,@2517loh,@nama kucing ku@ABU ,1,0,21h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
mantapp makcik kantin,@user1918326772195,user1918326772195 ,2,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
setuju sngt kta acik ni😂😂,@zulsham8,zulsham373 ,2,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Husnozon makcik...😳😳,@malaysian129,user1723681426839 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
pesan pd diri sndri pd semua. Biasa yg takut sbb Ada buat salah & risau tercungkil Salah dulu,@mickeytakata,Mickeytakata ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Takut kedaptn ambil billion2 nt..,@user5578800918430,user5578800918430 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
saya ok je,@amri.az2022,aaz ,0,0,22m ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
aku sokong DSA niii bukan nya boleh percaya selain anak nyaaa..,@awievee,Awie Vee ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
klu letak hang lagi nggnga,@muradosman151,muradosman151 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
oddo..bg bntuan ambik,@bungersempoi,burgersempoi ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
mulut nya Tu Nye nyel nyo,@mariawangsa715,Maria Wangsa715 ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Temuramah insan yg x suka kpd insan tersebut maka itulah kata2 yg akan keluar drp mulutnya.,@user8080233630207,user8080233630207 ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
jgn orng mempergunakan kita mkcik.biaq pi la pm.nk lantik sapa pun,@nanabrik64,nana ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
risau tgk. muka makcik ni npk dia sgt bermslh btl,@sofeafifi,Elwa ,0,0,13h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Mak sapa ni?,@hamzahahm,OKB87 ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
koyak terus walaun,@matsaad987,matsaad987 ,0,0,19h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
aduuuhhh Para Welaon Welaon tit nih knp bising Sangat dgn Urusan orang lain Pm mau melantik anaknya ke mau melantik isterinya knp Welaon yg sibuk..😂,@achsabillah,Achsabillah ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
lau x mkcik je la jdi pelakon handalan..compom gempak..,@ienajoe,ienajoe ,2,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
mkcik tk ckp pun pawaz tu sapa ngan mkcik .........tk pula mnggelupor,@spiderbaby69,spiderbaby69 ,1,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
btoi makcik..,@user164324229901,ahmad ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
"knpa lah manusia skrng hina menghina kutuk mengutuk,tahu tak TUHAN sedang memerhatikan kita",@soundbass007,user2119388152590 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Ya Allah dah2lah apalah takut sy tgk,@user8922402652826,3130 ,0,0,1m ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
😂😂😂😂😂,@chezuriyati,chezuriyati ,0,0,13h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
😳😳😳😳,@yahayaawang939,yahaya bin Awang ,0,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
dsai terbaik x da gaji pun .dari pn perasuah pengundi,@MS4wLjABAAAAo73lpphEf2FJTmDiZQLALMoWKMjRlLc9DffsNBdELKruU9U11TntM7k4JCO6IgRm,user1718201284899 ,1,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
istigfar...tok😁,@papacool43,Papacool44 ,2,0,23h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
iya,@makciktiktok_1,Makcik Tiktok ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
panggil makcik ni jadi penasihat,@ruslanothman716,ruslanothman716 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
mak cik pon pelakon handalan jg..cer cite apa yg dh membangun dlm tempoh 2bulan spls pilihan Raya dkt tmpt mak cik,@carriejunior1585,#Carrie Junior# ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
mkcik ni akan keluar utk PRU16 nti… percaya lah..,@violet_ungu67,violet.ungu ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
janji dia bukan macam TGHH Yang makan gaji buta saja...,@paullth1127,PaulLTH1127 ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
pelakon handalan mantap tengok orang tua cakap aper patot tak menang,@awiee77,awiee77 ,0,0,8h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
klau Anwar lantik midin apa ka makcik nie pulak😂,@lang4943,ucukakiincat@lang ,0,0,10h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
"knp makcik salah ke kalau jadi pelakun handalan, ada je",@rz623,user178984424820 ,0,0,17h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
alah drg pegang duit..bila bila masa nk shopping boleh je,@nurkartini3,Nur Kartini ,0,0,20h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Mkcik koyak ke?,@mihandey,nani ,0,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
mak cik pun sama jugak,@yobizam79,Yobizam79 ,0,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
puas hati makcik kan.dapat ustaz😂😂😂😂😂😂,@azlan_508,azlanzainalabid34 ,0,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
mak cik lagi pandai pelakon,@ananthakumararumugam,Anantha Kumar Arumug ,2,0,22h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
"Kesian mak cik, pru lps dpt brpa duit?",@tokadam__,Tok Adam ,2,0,23h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
x ipak2 org tuo yo ow😂,@ridzuanazwan_faaeq,ridzuanazwan_faaeq ,0,0,23h ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
"tak mai dh la mak cik..,dia dh syok dok Putrajaya. katanya Putrajaya tmpt org belajar tinggi.",@imranmdsaad1,Kassim ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Tu rezeki nurul izah biarla,@wahida696,Waherda Amir ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
X mintak duit mokcik utk bayar gaji Anak nya,@rosmanhjahmad,Jejai ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
BM Kelantan nik amar pun Lantik anak juga x bising2 pun ni Mak cik x tau ke,@umiesue77,UmieSue ,1,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
"ya kaa..
ish ish ish
kesian ank abhlembo nii",@zenyallow,Im not alone ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
Adik beradik sepusat sepusing jer smua tu..,@hamzahmdsom,hamzahmdsom ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
tah la Madani ke kroni,@ujangku73,ujangku73 ,0,0,1d ago ,2023-02-01,https://www.tiktok.com/@edirich769/video/7194481455081213210,219,59,23,2023-1-31
