comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
x amek gaji...Tapi ada Kuasa...dgn Kuasa yg ada boleh dapat apa saja termasuk wang...,@ayuariesar,ariesayu💞 ,150,17,1d ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
baitulmal yg byr gaji,@letop82,letop82 ,55,10,1d ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
papa non kn hri ni ckp lain esok ckp lain plk ckp x mbik gji tpi bkn ade htam ptih pn bkti yg dia xambk n x bg ank2 dia gji,@itaita1648,che ta ,51,0,1d ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
Bila kantoi baru nak umum kat media ckp x dibyr gaji sdgkan jawatan tu dh mula awal January lg .. terus penyokongnya impressed,@roses1125,roses ,57,5,1d ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
kera jaan anak bini😂🤣,@zulaszulas66,zulas6670 ,45,3,1d ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
kerajaan anak beranak kak 😂😂😂spin slagi boleh,@wanierazalbetta,wanierazalbetta ,26,0,1d ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
kannn.. secara logik nak pakai APA bayaq gaji pegawai 😂😂,@wr_atiqueen,WR@WATIE RAMLI ,15,0,1d ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
😂😂😂...lawak mereka nie,@takrawchampionsleague,TCL ,13,0,1d ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
Bingo!,@oja_beatusman300,Beatus Online Gallery Shop ,0,0,5m ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
Nak jadi anak angkat papa boleh???,@yatierich01,Yatt01 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
suka tengok....senyum lawa....,@paparykarlmia,Hass Ahmad Hassan ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
sya caya kak naga...sbb tu keja pn ada aset jota2...siap xambik gaji lg...,@adamdani3l,adam_DanieL ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
Atok Family 2.0,@mrtipsotv,MrTipso ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
Cantik permainan diaorg kn? 😁,@aizahsweet,MamaZah71 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
hahaha.. dia bayar pegawai.. pasti tu pegawai bayar dia😁😁,@zakiahzainuddin1,ZAKIAH ZAINUDDIN|| FacialHome ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
😂😂😂,@bywaniesexclusive2,ByWanies Exclusive ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
tahniah kpd pgundi PHancing...,@mohamadnajib125,AJIB ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
kena bljar dri jokowi pm kita ni.kan kkak cntik.😅,@comcom67_,Kalsom ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
zakat bayar gaji,@aziz5297,Aziz5297 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
Sedekah macai PH,@21tahun1,Selan82 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
"pegawai tak ambil gaji juga,pefawai tulung saja",@izran_ann,Izran@Ann ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
papa je blh..walanon cai byak yg backup😂😂,@rayzack84,rayjack ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
"@datomeletop
cuba dengar",@azs82azs,°°°N∀I⊥N∀NƎԀ°°° ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
"Biar le kak, machai ikut je haha",@nuggetdinorawr,Nugget dinosaur ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
suka2 je kan… kalu lantik aku pn ok juga…😄,@hefu68,Hefu ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
bayar pakai daun pisang je🤣,@eekey1900,@namakuadalah ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
"jgn kak, cai dia ramai.😁",@pisangchot,Wan Bana ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
lps ni lantik bini jd punasihat juga,@okayketuuu,user221683249972 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
dia dh jd (kononnya) menteri kewangan terhebat suatu ketika dulu..tp msh perlu penasihat yg setahun jagung🤣,@bun7185,BUN7185 ,0,0,3h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
keluarga dia je yg boleh buat. nnt habis seluruh keluarga terlibat dlm pengurusan negara. teruknyalah,@izam21feb,Izam212 ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
😂😂amal jariah..sbb tu duit negara jimat..anakbapak😁,@hizagee,hizagee ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
ABIS KENA PUTAR..... SAYA PUTAR HALIM... RODA IMPIAN 😂😂😂😂,@along4242,naseri ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
waalaikummusalam betul kata,@broktnptt,BRO KTN PTT ,1,0,4h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
kerajaan keluarga 😂😂,@nananana25115,nananana25115 ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
👍👍👍,@rockkapak313,CDEE TCM ,0,0,4h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
relak je @Ratu Naga | Queen sekolahkan...walaupun,@jendelahati67,Jendelahati ,0,0,5h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
setuju dgn penjelasan,@18.8.79wann,wann ,2,0,5h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
pn best banyak sedekah 🤣🤣🤣🤣,@hantulaut1982,azwan hantu laut ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
lps ni lantik Wan Azizah pgang jawatan besar kerajaan.,@muhdiiskandar7079,MdIskandar7079 ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
sukarela pun ada elaun..nk masuk tandas pun kena duit,@6135549kpl,rosna wati ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
hadiah dari papa lps klah pru..😂😂,@adfx99,@adfx ,1,0,5h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
Ini soal nk jaga kewangan negara dgn jujur. Yg lain tak bolih percaya semua laki sakau... Perlantikan nurul tepat. 👍,@fazi5454,Kanda Fazi ,3,0,5h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
ada2 saja yg penting tak rompak duit negara n rakyat,@ritussilverrels,Ritus Silver Rels ,2,0,5h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
X pyah la asik cri slh org.. Biarla PM menguruskan negara 5 thun dlu..,@shah8648,shah8648 ,2,0,5h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
yes...I seconded you Sis.,@alishaariffin19,alishaariffin19 ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
waalaikumussalam,@kumbangg1234,kumbangg1234 ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
JKM KAN ADA....,@user8110278881318,manna ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
min pandai pushing...😅,@__jo.e__,Jo.e ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
sy setuju dgn ratu...👌✌,@aj72821969,Aj ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
xpa...esok lusa ank yg lain plak dpt jawatan..bang non kan ade anak lain lg...,@emadon83,EmaDon83 ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
Setuju.. Bangkit ... dan Sedar,@vanilavader,VanilaVader ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
Siasat letak jawatan,@ahmadhisham808,Ahmad Hisham808 ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
"biaqlah , asalkan urusan kewangan negara terjamin baik, kita ini sebagai orang islam doa yg baik2 , untuk kebaikan semua,",@mohdrazakmohdali,mohdrazakmohdali ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
"ckp guna mulut xd gaji...hakikat nya dlm akaun bank puluh ribu masuk sbulan...ingat nk mkn, nk byr apa2 nk ambik duit gaji tang mana..",@kazan4481,K@Z@N ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
pakai kroni aja betul x ratu,@user039416370,Abdul Hamid ,0,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
😂😂😂,@red127rocket,red27rocket.2 ,1,0,6h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
respect DSAI...beliau tk korup dan dia lantik pegawai yg dia kenal tk korup untuk duduk di kerusi yg paling korup,@aboyiena,aboy ,0,1,7h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
sokong. mna ada keja tak nak gaji.,@abangtalapia,abang talapia ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
😂😂😂😂😂😂😂,@jejaiturbo,jejaiturbo ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
ank dia dpt bantuan JKM tu yg x amik gaji😂😂😂,@jujaihziraq,Jujai Hziraq ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
dia buat semua boleh..😂😂,@puteraadam62,puteraadam62 ,1,0,7h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
stujuuuuu dgn sis 👍,@lt_1329,Madam ,0,0,7h ago ,2023-02-01,https://www.tiktok.com/@ratunaga/video/7194729114736151834,7097,914,505,2023-1-31
