comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
arini Pembeku Nasional sepi.....🤣🤣🤣🤣🤣🤣,@mr.jenglot,MR.Jojet ,36,3,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
hidupppp dsai,@user7634149305097,user7634149305097 ,20,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
x kisah pn kte tgk kje die lh yer lpz nie agong dh bg kje tu😁,@eiza1102,EIZA ,13,92,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
nie HERO N HEROINE MALAYSIA,@haslynnchintapadilah,Haslynn Chinta Padil ,27,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Nth yg aq tahu popcorn bnyak lgi ni,@9kechiks,Kechik ,0,0,2m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Segak pmx pki bju tu... Syukur,@yamica_jeva,yamica jeva ,1,0,6m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
hidup famly sdn bhd😅,@kyrullnaim,khairulnaim ,0,0,14m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
DSAI KESAYANGAN SELURUH NEGARA...,@user3161990745287,user3161990745287 ,0,0,30m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
"madani
masuk anak bini🤭",@yurieayurie,yurie ,0,3,47m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Unn tu ape,@rosazlinda5,rosazlinda5 ,0,0,49m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
🥰🥰 alhamdullilah,@hadisamsuddin,Hadi Samsuddin ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
family dsai hebat ♥️♥️alhamdulillah ♥️,@kedondong90,tembikai laici ,2,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
😂😂😂😂😂😂😂😂,@its010400,Who ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
tgh fikir benda nk burukkan apa lagi lah tu mesti ada nk pertikaikan ...xkn nk pertikaikan agong lagiii,@mhmdnazry_,mhmdnazry_ ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Unn tgk cari menu rahmah 😂,@wanmuhammadqq,N “ Y “ C ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
😂😂😂,@samzymenual,Sam  ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
tngh ratib mat sabu pulk 😂 yg ni dia tk leh dh agong dh kerajaan perpaduan,@shahmiiii20,IMBA ,1,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Acc kena beku payment takmasuk lagi,@cruz_zar,Cruzz ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
depa seronok sbb ada point haha,@kakmin_my,Merah∆15 ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
"Kita boleh lihat perbezaan DSAI dgn pemimpin terdahulu,jauh panggang dari api...",@umizainal25,Dapor nanny ,4,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Dorang tengah pikir HSR cne leh sangkut tu...project batal pun ada hasil 😅😅,@joenai91,Joe Nai145 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Saalam keluarga PMX 😂,@fkj_andes,Andes ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
DSAI TERBAIKKKKKKK,@chemat1979,chemat lgkawi ,4,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
🥰,@jaa.amg,jaa ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
non celik2 mata qatib dah😂😂,@mohdkhairulfaisol,🔰mohdkhairulfaisol🔰 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
salam keluarga madani😂,@kuihakokkedut,superman ,1,5,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
😂😂😂😂,@eimboss,E I M ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Dsai 🥰,@eikarusli07,Atikah Rusli ,0,0,23m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
PMX 🥰🥰,@lineclear85,@p!$85 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
DSAI ♥️,@qillasyuhadah,Qilla Syuhadah ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
happy madani famili😅,@jordaxdmax,pisang cheese ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
aamiin,@azmansamicho,azmansamicho ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
"Tuanku dah ucap, krajaan beta, krajaan perpaduan pimpinan DSAI, maka dah diiktiraf oleh YDPA. Apa lagi ditikaikan? Jgn derhaka plak😁😁😁",@user52026757266278,user52026757266278 ,6,4,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
terbaik DSAI jaga negara drp rasuah,@ahmadgb235,ahmadgb235 ,7,1,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Dsai Terbaik🥰,@eddyyoku,Eddy Yoku ,5,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
terbaik PM10,@yusof5355,yusoframli785 ,5,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Harini gaji xmasuk acc boss kena beku ahahhahaha,@nurulmaeey,𝒩𝓊𝓇𝓊𝓁 ❤️ 𝒫𝒶𝒹𝑒𝓃 ,0,0,9m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
🥰🥰kerajaan Perpaduan Kerajaan Tuanku.. sapa nk pertikai. nk jd derhaka,@mzsoidxxr,Zus Othman ,0,0,17m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Nampak kegembiraan dr Wan Azizah..Wahai Dsai sayangi dan cintailah isterimu krna berjuang utkmu malah sabar tabah menunggumu selama ni.syukur pd Allah,@muhamadhakim808,muhamadhakim808 ,0,0,19m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
biar lh pe walaun dn puak rider nk ckp pe.meroyan sana sini...asalkn kerja jln..mantap trbaik dsai.,@_wantoo3,WanToo3 ,0,0,36m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Nampak mcm tak lama kerajaan kononnya perpaduan ni 😏 Tunggu prn nnt..kami senyap bukan tanda kalah ye 😁,@milurv3,Zulhilmi ,0,0,53m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
walaun terkedu 🤣,@user3917368790379,user3917368790379 ,1,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
🥰🥰🥰,@user5979970443953,Mylady ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
yaaa.. biar adil n saksama.. knapa acc bersatu kna beku sdgkn semua info tepat dgn defisit nyata? cover kje jahat dlm diam kaa,@ayieariessha,I'am ልꪗ𝖎𝖊 ,0,1,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Terbaik PMX Dsai 🇲🇾🥰,@kissbuwau,peace bro ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Tak habis2 busuk hati dengki Dsai terbaik,@abgajak76,Abdul Razak Azmi ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
ape heran hari pertama jadi pm dah sembang rakyat,@hakimmmmhaa,hakimmmm haa ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Terbaik PMX 🔥,@triple.yb.shop,PENJUAL BAJU PMX ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Walaun xabis2 busuk hati je. Nk bentangkan kehebatan pas mmg xde,@ceoofdalil,Ceo Dalil ,3,1,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
tngh cari menu rahmahhh un.,@rakyat_kelat,Fineey Hai ,0,0,41m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
Ade hati yg koyak tak tu..haha,@mohamadezhamsah,Mohamad Ezhamsah ,0,0,42m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
"Walaun burukkan walanon tak boleh , walanon burukkan walaun boleh 🤣",@alff6116,. ,1,0,53m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
😂😂😂,@malikson52,malik son ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
🥰🥰🥰🥰,@__nurfauziah,__nurfauziah ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
🥰🥰🥰🥰🥰🥰,@chemat1979,chemat lgkawi ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
🥰,@russidawahid,Russida ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
kalau cai ph walanon blh la digula² dgn pangkat dan popular.tengok jasa la dlm masa 5 tahun kalau sama je slmt tinggal la🤣,@angler781,bro ,0,0,20m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
"WALAUN WALAUNTIT ,ANAK ABAH MEROYAN TAK JADI KERAJAAAN ,KESIAN , RASUAH SEDEKAH",@adikhansome,adikhansome ,0,0,21m ago ,2023-02-01,https://www.tiktok.com/@sampoisgt/video/7195123409401941275,857,189,12,2023-2-1
