comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,sentiment
"Assalamualaikum selamat petang Datuk,
alhamdulillah tu lah yg terbaik sebab negara kita sudah lama hanyut kerana Rasuah!!",@buangbruno327,ct khadeeja ,200,4,2d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,negative
keep going DSAI..pedulik kan lalat..,@izzrizizz,has ,221,5,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
Terbaik,@saharuddino79,Haziqi Saharuddino 267 ,54,0,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
DSAI terbaik utk hindar pembaziran.Walaun tetap hati hitam.,@krtcendana,CENDANA KRT ,119,11,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
"woww, Nurul professional Dan berpelajaran tinggi, terbaik💪💪💪😍",@zebbaismail,Zebba99 ,110,0,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
Nurul ini kecerdikan dia lain daripada lain. Cuba menonton youtube video2 lama atau pun baru semasa Nurul on the stage.👍👍👍,@kalai1969,KALAI ,16,1,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,neutral
saya sokong Anuar chakap semua,@tehahhuat,uncle teh ah huat ,76,1,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,negative
jgn dok dgr puok tu dsai....buat yg terbaik utk negata....zaman kita perintah ikut kita,@pokjoe38,pokjoe38 ,59,0,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
Alhamdullilah DSAI Pilihan Yang Terbaik Demi Negara. Semoga Allah Mudahkan Segala Urusan AMIN. 🥰🥰🥰🥰🥰🥰,@farahmohdtaib,farahmohdtaib ,34,1,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
"Alhamdulilah semoga 🇲🇾 terus di pimpin oleh pemimpin yang bertanggungjawab, Semoga DSAI Sentiasa di lindungi Allah SWT 🤲",@wuwysh,Ati ,76,2,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
"walaun xpernah knl erti lelah untuk memburukkkan kita,kita kasi deme panas lagi.",@cikartciko,Art Ciko ,48,2,1d ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
🥰🥰🥰terus kan..baru Negera Kita boleh lebih maju..you are the best...🥰🥰🥰,@iazhee,Iazhee ,5,0,23h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
terbaik,@motilin,mo ,0,0,45m ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,positive
😂😂😂😂😂,@dinwaney83,DINWANEY83 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,negative
🥰,@user6742517521383,user6742517521383 ,0,0,1h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,negative
"terus kan pm10
janji rakyat di utamakan
memang macam ni memerintah....sebelum2 ni pun kena kritik",@fahan_ann30,fahan_ann30 ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,negative
Sokong dsai🥰,@wongkenq,Wong Kenq ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,negative
🥰🥰🥰,@mayasa702,mayasa702 ,0,0,2h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,negative
walaun menggelupur sekarang ni.,@meowrosak_,𝕄𝕖𝕠𝕨 ℝ𝕠𝕤𝕒𝕜 🐈 ,2,1,2h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,neutral
anak beranak,@qwertyuiop1com,𓁹𓁹 ,1,0,2h ago ,2023-02-01,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,11.4K,1013,1013,2023-1-30,neutral
