comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
keep going DSAI..pedulik kan lalat..,@izzrizizz,has ,200,4,1d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
Terbaik,@saharuddino79,Haziqi Saharuddino 267 ,53,0,1d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
DSAI terbaik utk hindar pembaziran.Walaun tetap hati hitam.,@krtcendana,CENDANA KRT ,103,11,1d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
"woww, Nurul professional Dan berpelajaran tinggi, terbaik💪💪💪😍",@zebbaismail,Zebba99 ,102,0,1d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
"Assalamualaikum selamat petang Datuk,
alhamdulillah tu lah yg terbaik sebab negara kita sudah lama hanyut kerana Rasuah!!",@buangbruno327,ct khadeeja ,194,4,2d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
Nurul ini kecerdikan dia lain daripada lain. Cuba menonton youtube video2 lama atau pun baru semasa Nurul on the stage.👍👍👍,@kalai1969,KALAI ,15,1,22h ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
saya sokong Anuar chakap semua,@tehahhuat,uncle teh ah huat ,73,0,1d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
jgn dok dgr puok tu dsai....buat yg terbaik utk negata....zaman kita perintah ikut kita,@pokjoe38,pokjoe38 ,55,0,1d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
Alhamdullilah DSAI Pilihan Yang Terbaik Demi Negara. Semoga Allah Mudahkan Segala Urusan AMIN. 🥰🥰🥰🥰🥰🥰,@farahmohdtaib,farahmohdtaib ,33,1,1d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
"Alhamdulilah semoga 🇲🇾 terus di pimpin oleh pemimpin yang bertanggungjawab, Semoga DSAI Sentiasa di lindungi Allah SWT 🤲",@wuwysh,Ati ,74,1,1d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
"walaun xpernah knl erti lelah untuk memburukkkan kita,kita kasi deme panas lagi.",@cikartciko,Art Ciko ,46,2,1d ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
🥰🥰🥰terus kan..baru Negera Kita boleh lebih maju..you are the best...🥰🥰🥰,@iazhee,Iazhee ,5,0,20h ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
congratulations and best wishes for Malaysia,@maryhymee,Hymee A David ,0,0,51s ago ,2023-02-01 17:21:17.066897,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,10.9K,972,976,2023-1-30
