comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
kan.. cantik tu bonus utk dia. yg paling penting dia org yg bijak. salute keluarga dsai.🥰,@_selipar.putus,『 selipar - putus 』 ,3651,32,2022-11-13,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
Tudung dia mcmtu pun dia cantik. Aku ni jenuh lah letak lilin 😩😩,@itsayuniyun,Yun ,2392,52,2022-11-14,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
bakal menteri wanita🥰,@niktie_kekbuah,kek buah niktie ,1203,53,2022-11-13,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
selama aku pi kenduri pakai selipar xda pulak org nak rakam2 cakap sempoi 🥺,@kerandahitam,محمد صوفي ,56,6,2022-11-20,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
"cantik nya dia , PN tetap dihati 🥰",@krizawa555,💎 ,173,6,2022-11-16,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
insya Allah doa yg baik² akan berbalik pada kita 🥰,@eytie85,eytie ☺️ ,154,3,2022-11-13,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
Dia ni mcm wani hasrita,@ashaallyy,Teh ais ,22,0,2022-11-17,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
PN BEST,@eddy29k9,eddy ,253,15,2022-11-13,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
PN...terbaik...😁😁,@fathulabdrahman,fathulabdrahman ,222,13,2022-11-14,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
Nanti undi BN tau,@zacksparrow007,Zack Sparrow ,123,23,2022-11-13,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
she is very humble kind lovely person.she is from my home town know her very well.we are behind u nurul,@vijayasingaperuma,vijayasingaperuma ,337,4,2022-11-13,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
Ramai lagi yg cantik.....jalan daa..,@user1633957635870,master ,0,0,5d ago ,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
terbaik lha YB.,@andrewson045,andrewson045 ,0,0,1-24,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
orang jawa cakap rewang makcik🤣😂😅,@user37375111724,user37375111724 ,0,0,1-21,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
hader,@untungsaya1,untungsaya1 ,0,0,1-12,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
Singgah support 🙏,@musafirkelana75,Amalan tekun ,0,0,2022-12-3,2023-02-01 17:19:37.017202,https://www.tiktok.com/@eytie85/video/7165446285049220379,95.9K,3255,1359,2022-11-13
