comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
aku minat nurul izzah ni kat parlimen. tp aku pun confuse perjuangan dia ni.. utk rkyt ke utk bapak dia jadi PM.,@ricebowl177,ricebowl177 ,3731,151,2022-11-14,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
sebiji mcm kisah jiran aku.. abg dy dok permatang pauh.. apa yg dy ckp sebiji mcm mkcik ni ckp... mmg zero kt tmpt dorg...,@yaamairaaaa,❤️ ,1393,31,2022-11-14,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
"ada je perubahan kat permatang pauh sy tengok, tapi 5 tahun skali la tu pun bendara je penoh pastu hilang yg pelek tu dengan YB skali hilang😅",@mazzzzzzoan,......... ,82,3,2022-11-15,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
Saya pun dok permatang pauh.. takdak apa pun.. susah lagi ada 😏😏😏,@emmy_sayang80,꧁❀💜𝓔𝓶𝓶𝔂_𝓢𝓪𝔂𝓪𝓷𝓰80❀꧂ ,33,2,2022-11-16,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
FAKTA BETOL T.KAS8H MAKCIK PENJELASAN YG IKHLAS👍👍👍,@zam_iman66,Zamiman66 ,1324,4,2022-11-14,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
Nurul izah bagus kalo dlm parlimen.. Memang nk dia menang.. Tp org sana sndiri tahu.. Dia jarang sgt kt permatang pauh.,@koyoalfarabi85,Koyo Al farabi ,6,4,2022-11-16,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
orang tua dia cakap betul..Kali ni kita undi Pas pn,@petezafranzafran,petezafranzafran ,34,2,2022-11-14,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
"mata makcik berair, ya Allah🥺🥺 msti ikhlas dri hati makcik luah kn, maafkn kami klo ada undi dri kami yg buat mkcik nangis,",@comelnyaayam,Syahnasr ,7,0,2022-11-14,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
"TERBAIK makcik cerita hal sebenar utk kebaikan semua.
Undi PN pulak kali ni.",@user7716983580570,user7716983580570 ,42,0,2022-11-15,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
undi pH ye mcik😂😂😂😂,@ein604,ein ,42,5,2022-11-14,2023-02-01 17:27:34.258140,https://www.tiktok.com/@fatimahzahrah88/video/7165763758449609986,31.8K,3127,2977,2022-11-14
