comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
terbaik YB Nurul Izzah Anwar,@cutbrymerikan28,Cutbry Merikan28 ,887,10,2022-9-9,2023-02-01 17:13:48.882209,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
yg masukkn bapak die penjara mahathir bkn umno,@m4vius,Mevius ,234,14,2022-11-5,2023-02-01 17:13:48.882209,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
"betul kt Nurul Izzah,Umno x salah yg salah org yg pimpin negara rakus dgn wang dan pangkat",@zalizazainol74,zalizazainol475 ,207,4,2022-9-9,2023-02-01 17:13:48.882209,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
betul sangat nurulezah...semoga DSAI menjadi PM utk.bantu org2 miskin,@ipumko,ipumko ,306,23,2022-9-9,2023-02-01 17:13:48.882209,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
cara dia btudung..pakaian....humble..,@eim182,CEO Batu nisan ,15,0,2022-11-25,2023-02-01 17:13:48.882209,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
lembut je bahasa dia..,@zunnaidayusyazwan,Zunaidah binti Mohamad ,63,2,2022-9-9,2023-02-01 17:13:48.882209,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
kita support nurul ..,@bismillahmgani2,moks ,97,0,2022-9-9,2023-02-01 17:13:48.882209,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
ya. betul la tu.. sgt soft spoken dan teratur tutur kata nya👍,@fathiya_1612,user3264094406972 ,12,0,2022-11-25,2023-02-01 17:13:48.882209,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
ni setuju...bukan nya Mami daddy ckp rakyat adalah sebagai oksigen😂😂😂,@ardieira76,Arfah Ahmad273 ,23,2,2022-9-9,2023-02-01 17:13:48.890143,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
yes,@iera80_,NUR KASIH® ,12,0,2022-9-9,2023-02-01 17:13:48.890143,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
terbaik 🥰,@jusyungkung,Jus ,10,0,2022-9-9,2023-02-01 17:13:48.890143,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
"yea betul, kita x benci politik, kita benci orang2 atasan yg pentingkn diri sendiri.",@zamilamajlis,zamilamajlis ,5,1,2022-11-26,2023-02-01 17:13:48.890143,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
PAS PN Terbaik bersih dan stabil 👍🏼👍🏼👍🏼 Best PAS PN untuk semua 👍🏼👍🏼👍🏼☝🏻💚🤍💙,@loneranger7730,LoneRanger🕷️7730🕸️ ,0,0,2022-12-5,2023-02-01 17:13:48.890143,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
Terbaek,@musafirkelana75,Amalan tekun ,0,0,2022-12-3,2023-02-01 17:13:48.890143,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
Alhamdulillah.puteri keadilan rakyat,@mtfazil,mtfazil ,0,0,2022-12-1,2023-02-01 17:13:48.890143,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
Betul tuuu...,@norifar_mahmad,norifar ,0,0,2022-11-29,2023-02-01 17:13:48.890143,https://www.tiktok.com/@pinography/video/7141026781464759578,89.4K,2182,2405,2022-9-8
