comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"Nak percaya apa lagi dengan PMx cakap , semua prinsip dia gadai",@mhmirfan1,Muhammad Irfan ,1257,42,2d ago ,2023-02-01 17:16:03.528729,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
"pada pandangan saya,jangan mengata dekat orang lain nanti tuhan pulang kan balik dekat kita 😌😌",@kaiden1p,(⌐■-■) ,56,12,2d ago ,2023-02-01 17:16:03.528729,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
madani tu bermaksud masukkan anak dan bini,@imranizzahlovers,Laksamana Sunan ,976,95,2d ago ,2023-02-01 17:16:03.528729,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
10 ckp 10 jgn cayaaa...skrg lihat kebenarannya,@schipolsent,schipol ,13,0,1d ago ,2023-02-01 17:16:03.528729,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
"saya org kerajaan tapi pendirian saya mcm tuan, yg betul sokong yg bcanggah kita bantah",@zackyusef,Zack ,702,12,2d ago ,2023-02-01 17:16:03.528729,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
walau tak bayar gaji tu hanya alasan untuk menutup kronisme dan nepotisme...kalau bayar gaji lagi damage orang serang...#kerajaankeluarga,@mamu_aziz01,Mamu Aziz 💛🤍💙 ,433,49,2d ago ,2023-02-01 17:16:03.528729,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
Harini rambut tak pacak sebab jel dah habis 😂,@thaqibshaker,Thaqib Shaker ,100,14,2d ago ,2023-02-01 17:16:03.528729,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
Ni saya setuju walaupun saya penyokong dsai,@shahirahmdnor93,Shahirah Md Nor ,112,8,2d ago ,2023-02-01 17:16:03.528729,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
Lapiji mane..nyorok ke?atau tgh pikir formula lain..,@aimar2306,Aimar2306 ,69,6,2d ago ,2023-02-01 17:16:03.536692,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
betulah bnyak orang belajar bidang lain kerja bidang lain …contoh nya engineering ke penasihat kanan ekonomi😂,@zikribasir_,zikribasir_ ,47,7,2d ago ,2023-02-01 17:16:03.536692,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
Satu Malaysia kena game 😂,@meuzangelo,Zhongli ,43,2,1d ago ,2023-02-01 17:16:03.536692,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
Kerajaan keluarga 🤣,@damndanialll,Danial ,11,2,2d ago ,2023-02-01 17:16:03.536692,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
Parti anak beranak,@hulkmucho,Hulk Mucho ,0,0,1h ago ,2023-02-01 17:16:03.536692,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
Terbaik DSai,@rashidimohd0,rashidimohd74 ,0,0,1h ago ,2023-02-01 17:16:03.536692,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
👍👍👍,@rockkapak313,CDEE TCM ,0,0,2h ago ,2023-02-01 17:16:03.536692,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
😂😂😂,@zulkifflihusin,Zulkiffli Husin ,0,0,2h ago ,2023-02-01 17:16:03.538760,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
betul betul .........dah kalah dapat jawatan,@mamabapamamabapa,mamabapa mamabapa ,0,0,2h ago ,2023-02-01 17:16:03.538760,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
dye lupa kot😂😂😂,@amirunn91,Amirunn91 ,0,0,2h ago ,2023-02-01 17:16:03.538760,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
pandai2 ler kite sma2 fikir ya 😌😌😌,@wanysamah,Wany✌️ ,0,0,3h ago ,2023-02-01 17:16:03.538760,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
Tanya lah agong ko bang....,@asofijikan.official,HM tonyhawk ,0,0,3h ago ,2023-02-01 17:16:03.538760,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
wow one family 😳,@nongfirra,💚Nong🇲🇾firra💚 ,0,0,3h ago ,2023-02-01 17:16:03.538760,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
Anak branak jaga? 😳,@schaalidarus,Scha Basree ,0,0,3h ago ,2023-02-01 17:16:03.538760,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
klu Amno lagi jahanam don ckp manis .di blkang duit negra abik di kebas .,@user3613284768290,user3613284768290 ,0,0,3h ago ,2023-02-01 17:16:03.538760,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26K,4729,2491,2023-1-30
