comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
"Assalamualaikum selamat petang Datuk,
alhamdulillah tu lah yg terbaik sebab negara kita sudah lama hanyut kerana Rasuah!!",@buangbruno327,ct khadeeja ,229,5,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
alhamdulillah terbaik PMX...tanpa gaji Nurul Izzah berkhidmat... semoga Nurul Izzah murah rezeki 🤲,@putradanish2023,Hanya Pada mu™ ,237,16,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
keep going DSAI..pedulik kan lalat..,@izzrizizz,has ,290,6,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
Terbaik,@saharuddino79,Haziqi Saharuddino 267 ,58,0,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
Nurul ini kecerdikan dia lain daripada lain. Cuba menonton youtube video2 lama atau pun baru semasa Nurul on the stage.👍👍👍,@kalai1969,KALAI ,40,3,2d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
🥰🥰🥰terus kan..baru Negera Kita boleh lebih maju..you are the best...🥰🥰🥰,@iazhee,Iazhee ,12,0,2d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
DSAI terbaik utk hindar pembaziran.Walaun tetap hati hitam.,@krtcendana,CENDANA KRT ,162,16,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
"woww, Nurul professional Dan berpelajaran tinggi, terbaik💪💪💪😍",@zebbaismail,Zebba99 ,153,1,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
beruk kerja panjat pokok kelapa pun ada upah pisang. inikn pulak perdana menteri dn menteri kewangan. halahh halahh.,@nanann503,aikallo ,12,8,2023-2-2,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
saya sokong Anuar chakap semua,@tehahhuat,uncle teh ah huat ,96,1,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
"Sokong pmx melantik Nurul Izzah sebagai penasihat pejabat menteri,Dato' Sri mesti menyiasat kes geran tanah pusaka telah di curi di pulau Pinang.",@mohdkamalkamal267,mohdkamalkamal267 ,11,0,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
"walaun xpernah knl erti lelah untuk memburukkkan kita,kita kasi deme panas lagi.",@cikartciko,Art Ciko ,50,4,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
jgn dok dgr puok tu dsai....buat yg terbaik utk negata....zaman kita perintah ikut kita,@pokjoe38,pokjoe38 ,70,0,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
Alhamdullilah DSAI Pilihan Yang Terbaik Demi Negara. Semoga Allah Mudahkan Segala Urusan AMIN. 🥰🥰🥰🥰🥰🥰,@farahmohdtaib,farahmohdtaib ,48,1,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
"Alhamdulilah semoga 🇲🇾 terus di pimpin oleh pemimpin yang bertanggungjawab, Semoga DSAI Sentiasa di lindungi Allah SWT 🤲",@wuwysh,Ati ,82,2,3d ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
Trbaik nepotisme masih lg brlku,@jojaburgerempire,@jojaBurgerEmpire ,1,0,26m ago ,2023-02-03,https://www.tiktok.com/@dsai.pmx/video/7194339476141804826,15.6K,1391,1242,2023-1-31
