comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
soal bayar k tidak ..tu bukan soalnya .....banyak jnji d mungkiri..jng cari masaalah nt bermasaalah,@hnabila10,NABILA ,417,149,4d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
cerita p ramlee dulu tuan penasihat xdak gaji tapi dapt 20% 🤣🤣🤣,@freelancedesign3r,azha san ,751,58,4d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
dulu hang kata tun m.. la ni hang buat...dsai rethink this move..jgn banding dgn parti lain...,@azrimtheguns,Azrim ,51,49,4d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
Stju prlntikn Nurul Izah.,@wartaaaaaaaaaaaaa,warta ,178,18,4d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
hahaha smua kja free ada lg ka zman la ni...😂😂😂😂 sapa nk kja free dgn aku weiii,@hasrihasri09,Hasri Hasri ,137,79,4d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
Nurul Izzah qualify for the position🥰,@radenhata,Rayden_Ghazi ,219,48,4d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
"Dsai dan keluarganya memang satu teladan yang paling mantap Dan ikhlas di dalam sejarah politics negara ini, so....so proud to have you as our Pm 10",@chianngotan,Chianngo Tan ,4,0,2d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
soal nya skrg kami nk duit kami...KWSP,@user98215881525881,user98215881525881 ,1,0,3d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
"Tiga Abdul
Qhasidah,Hamidah,Rasyidah,Nurul Izzah ....Jalan Daaaa",@shamsoib,AkulahTopan ,1,0,3d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
"Klau dia byar pn,tp ckp xbyar,sapa tau? 😅😅😅",@ezrifaizal5,Irwan@84.. ,3,1,3d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
Yb nurul izzah terbaik..mai la hampa berjalan kt pmtg pauh ni amat2 maju di tangan beliau😂😂,@shahrezza787,Anak_Rantau90 ,1,0,2d ago ,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
kami tak fikir pasal bayar ke tak..yg kami fikir pengeluaran kwsp 2.0,@daddynapi,𝒟𝒶𝒹𝒹𝓎 🐉 ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@jason.yew/video/7194059149716507930,13.1K,5858,1646,2023-1-30
