comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
MADANI - Menteri Anwar Datin Azizah Nurul Izzah. Inilah kabinet dapur. Advisor ni sbb menteri ekonomi busy.,@farid.adli,farid.adli ,44,3,3d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
"Bang yg ni aku sokong bang.. Kita sokong kalau betul, tolak kalau salah.. Jangan buta hati jd pentaksub",@jackpot9988,Jackpot888 ,7,0,2d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
ya btl tu.. 😁,@miesevens,Mie ,0,0,2d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
aku setuju dengan pandangan saudara ni. kenapa tak lantik yang lebih pakar ?? jika ada keperluan disitu...,@misz_nina_,MiSZ NiNA ,10,1,3d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
"tak slh kasi ak,dia boleh bljr dari ayahnya,cara uruskan ekonomi..PM bukan makin muda...tak kn suruh lobai dan Midin 😂😂",@pemerikumang,Pemeri Kumang ,88,107,4d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
i think y not appoint you @Nazri Hamdan for that position... 😂😂😂 y not kan? 😁,@wahida.nor,Adeenda.Shop ,25,5,4d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
luar tabie ni,@drzulkafperi,Zulkafperi Hanapi ,89,14,4d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
pro bono tapi ada semua elaun ada atas jawatan tu,@hakim_masterpiece75,mrHakim_masterpiece ,45,24,4d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
"camni, pasni beli je mesin popcorn yg besar tu. byk movie nak kuar ni bang.. tunguuuuuu😂😂",@timemaster18,Time Master427 ,70,2,4d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
"gaji x amik, tp dr segi kuasa?",@shin_kaf_ro_ya,Shin_Kaf_Ro_Ya ,13,3,3d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
tolong lantik saya utk jadi PA abg..saya ada sijil UPSR.,@mohd_bc,Mohd Bc zain ,87,5,4d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
family planning😂😂😂,@fatah1_7,pota ,99,3,4d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
anak beranak .,@bangjat03,bangjat03 ,115,10,4d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
Saya lantik isteri saya sebagai finance advisor...kawalan baik,@amronman,Amronman ,325,21,4d ago ,2023-02-03,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9417,2873,659,2023-1-30
