comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
tahniah buat nurul izzah🥰🥰,@nita_erissa,Nita Erissa ,84,0,3d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
Sebagai penasihat je elok juga utk Nurul Izzah belajar utk menimba pengalaman satu masa nanti pengalaman yg didapati boleh digunakan utk kerjayanya,@bakiahmohdtahir,BAKIAH MOHD TAHIR ,40,1,3d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
"Terbaik setuju sgt,kluarga yg baik dan jujur dlm melakukan kerja🥰🥰🥰💪",@zulieavon,Zulie Avon ,274,46,4d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
org bersatu takut Nurul tolong selogkar rasuah2..pasal Anwar tak sempat nk cek semua sekali..Anwar tak percayakn org lain takut Ada pegkianat.,@joepower1988,Wan Intan Iskandar ,14,2,3d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
senang ank dia ikut ke mana2.. kan mahram tu... ank dia pn boleh jg pmx..,@zmy232,zmy232 ,191,12,4d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
betul sy sokong nurul izah sebagai penasihat PMX,@dierazie,YaMuhaimin ,37,0,3d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
DSAI terbaik...,@amanahsrigading2022,Amanah Sri Gading ,116,4,4d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
PMX TERBAIK SEMOGA SIHAT SELALU🤲,@razifsapura,💥𝗿𝗮𝘇𝗶𝗳 𝘀𝗮𝗽𝘂𝗿𝗮💥 ,20,0,3d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
terbaik👍👍👍yang panas ni PN jer😂😂😂😂😂,@aduka2270,aduka ,23,1,3d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
biase klau kte pon sama..klau nk lantik selain dari keluarga mustahil mereka nk kerja tanpa gaji..baik lantik anak..nk surh lebih masa pon tk segan...,@fathifarid05,mohd farid649 ,9,2,3d ago ,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
Goreng,@anip89,user1896229219819 ,0,0,2023-2-3,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
"Still, tetap ada unsur conflict of interest... Tak perlu manipulate sgt konon tak bergaji... kalau rahsia kerajaan bocor, dia blh disabit...",@1__abgchik__1,DaDDyChuPi ,0,0,2023-2-3,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
tahniah Nurul,@adukapablo,Aduka Pablo ,1,0,2023-2-3,2023-02-03,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9594,1800,834,2023-1-30
