comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
Al-Fatihah almarhum p ramlee..semua dlm cerita die byk terjadi..,@topekahmad,Topekahmad ,411,11,2d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
boleh pakai utk kerajaan kelantan x? anak MB kelantan pun dlm kerajaan kelantan..hehe,@budakmentah75,budakmentah ,338,124,2d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
p.ramlee dah lakonkan anwar dan family lakonkan kembali😂😂,@pejuangnafkah24434,ค๖คຖງ คฯค๓ ,5,1,2d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
nasib baik anak pm x ambik gaji klu puak lebai dulu wajib 20k lebih la kena bayo gaji buta alhamdulillah DSAI terbaik,@norizmanyus,user86710966912 ,50,43,2d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
penasihat ni la akan bongkarkan segala salah laku kerajaan pn,@user7467092786158,Ahmad Azmi 84 ,192,96,1d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
buat baju penuhkn tin milo. pndai walaun niaga. dulu padang merbok.😂😂,@farhan_hasan86,Farhan Hasan86 ,30,4,1d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
"nk order buat baju duta timur bai, tulis dekat sana walaun panas",@zulproton85,Zulkarnain Salla ,25,0,1d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
tak ambik gaji dan elaun. walaun koyak. hahahaha,@johndo3555,Johnkau ,19,3,1d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
Kalau tukar jadi PUAN PENASIHAT boleh ke,@zakikhashoggi8,Zaki Wahab20 ,12,1,2d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
"tahniah...saham utk akhirat skli ni...
#pmxthebest
#DemiPertiwi
#MalaysiaMadani",@sweet_ida86,Sweet_Ida🥰 ,178,27,2d ago ,2023-02-03,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.3K,1432,560,2023-1-31
