comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date
PN Masih meroyan Masih belum ckup jumolah 😂😂,@lang4943,ucukakiincat@lang ,29,3,2d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
terbaik Nurul terus kan perjuangan,@abuhasan922,Abu Hasan ,29,1,3d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
Terbaik Nurul..👍👍,@hemry2620,Henryomar2620@ ,13,0,4d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
walaun da mula kluar gua hahahahahaha,@hishamgani74,hishamgani74 ,12,0,2d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
Ingat Allah swt.. Insya Allah tenang jiwa tu.. Islam mengajak kebaikan.,@adibadio,Cucu Ngah Bogoh ,14,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
Terbaik DSAI janji jangan sakau,@user659210781,Tik Toker ,18,0,2d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
geng tebuk dh lupa ke ketua geng tebuk lantik timbalan geng tebuk sbg penasihat vertaraf menteri bergaji 18k.😁😁😁,@zaidiokok123,ooo ,12,2,4d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
Alhamdulilah negara byk perubahan pimpinan DSAI,@razaqxaq,Razak Zak595 ,22,1,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
benda yang baik jangan lah dinafikan semata kerana dendam dan hasad dengki,@55571863qmy,jn ,0,0,2023-2-2,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
"kesian,,frust tahap gaban ni",@azlinda_73,Azlinda73 ,1,0,2023-2-2,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
PH terbaik bagi aku la.Bagi walaun yg nk meroyan xblh nk ckp apa..Ingt Allah maha mengetahui segala² nya,@lubuk_duit,halimunan ,1,0,2023-2-2,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
hahahahahhahaa sudah cukulop jumlohhhh,@jannapoik28,jann apoik ,1,0,2023-2-2,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
PN meroyan. tak cukup yg di sakau😂,@user4128365687508,sEliNgKuH UiH dIRuH ,2,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
"Hati2 dlm buat konten,jgn sampai nyesal",@tec4240,ProbossMarshall@88 ,2,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
ini koyak teruk ni😂,@sabriyaacob68,sabriyaacob68 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
terbaik Dsai pm10 janji tak sakau duit rakyat🥰🥰🥰,@mummy_apple,Mummy_Apple🍎💪🏻 ,2,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
Terbaik Nurul Ezzah,@rinakarina767,rinakarina767 ,1,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
Like father like douther.kurban jiwa demi rakyat dan negara .,@user4081243810057,user4081243810057 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
semoga Allah merahmati keluarga Dsai. Aamiin,@kujalil62,user1402161075697 ,1,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
terbaik brooo keno undi PAS PN kerana Allah,@roslanroslan08,Roslan Roslan ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
"masyaallah...PM tu
tk takut kena saman ke",@kingjoe367,Tuan Joe367dato ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
Alhamdulillah....terbaik puteri reformasi,@mohdazharabdhamid,mohdazharabdhamid ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
mb tmb ok? bergaji,@shamsuizani46,shamsuizani46 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
sakit Hati xde ubatnya..kecuali meroyan terus😂😂😂😂😂,@achanmus0,Dua Kali lima ,1,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
hahaha..marah tu...sbar or orng sblah..5 tahun lgi kita lawan😂😂😂,@aminking5034,#jiwa kacau ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
dsai terbaik,@awie2335,awie1669 aiman ,1,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
"tetap,,kami tetap sokong dsai",@walleslyjal,walleslyjal ,1,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
org ni masih belum move on lagi..,@mamacathousegombak,MAMACATHOUSEGOMBAK ,1,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
Ni baru politik. Ni org panggilan demokrasi terpimpin ha ha ha ha ha ha ha ha ha ha ha,@joekaduk81,joekaduk81 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
"Ya Allah, bln Rejab yg mulia ni, cuba2 bwk istighfar bnyk2, takut tak sempat nak minta maaf nanti.",@noorazidamaarof,Noor Azida Maarof ,3,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
ishhh2...awat kata gitu...,@papacool43,Papacool44 ,0,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
Azmin Ali kat mana yer sekarang ... org yg dipuja2 oleh PN 😁,@amir30330,Amir Ismail ,4,4,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
baguslah lantik anak. lantik org lain nanti kena perangkap n di tuduh peliwat,@zalinakhatim,zalina khatim ,4,2,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
astarafirullah...takutkan.Allah...,@yati_cun50,yatie ,3,0,1d ago ,2023-02-03,https://www.tiktok.com/@zorojr963/video/7194022286431767834,141,171,14,2023-1-30
