comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
🥰🥰🥰,@jalilahibrahim54,Jalilah Ibrahim859 ,0,0,3d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
"tanpa gji jaa,,komesyen,elaun tetap dpt jgk,,,lbih bnyk dri dpt gaji,,,sbb tu tak kesah tanpa gji,,nk politik kena licik..😌😌",@muhd_shafiq2211,Shafiq Fazli508 ,0,2,4d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
😁😁😁😁😁😁😂😂😂,@anuaranuar1795,anuaranuar1795 ,0,0,4d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
"Alhamdulillah,,,,,terbaik,,,, memang betul pun dulu ade gaji cakap je lebih,,,kerja x jalan...🤣",@yopazizi,yopazizi ,1,0,5d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
Terbaik DSAI SHARE,@kjuhari,KhirJuhari ( KJ ) ,0,0,5d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
terbaik nurul izzah..teruskan demi bangsa malaysia,@user5918422682656,user5918422682656 ,2,0,5d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
🥰,@munirmaktar,Munir Maktar ,0,0,5d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
Alhmdullah.. Trbaik 🥰🥰🥰,@hanifahshooter,Hanifah6821 ,0,0,5d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
👍👍👍,@jacca00,Jacca Jack ,0,0,5d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
reformasi.. nepotisma kronisma..myanak ma😁😁,@ujangku73,ujangku73 ,2,1,5d ago ,2023-02-04,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-1-30,1102,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675530000&x-signature=K%2FczYQpoFMb7GwxkoYIWH6HeGYM%3D
