comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
terbaik nurul.jgn peduli apa org kata.3 penggal jd mp.10 thn dlm PAC.Anda sememangnya layak pegang jawatan ini.,@azmi_0366,Azmi_0366 ,116,7,2d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
jgn peduli apa org nak cakap yg penting Nurul izzah terbaik,@hariadifirdanlala3,hariadi firdan lala ,9,0,2d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
kecian geng abah meroyan tak sudah😂😂😂😂😂,@halim_2182,halim_2182 ,112,12,3d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
baik pecat semua menteri tinggal mereka 3 beranak😂,@hajimefath4,FathiAjime ,104,38,3d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
terbaik Nurul bekerja tanpa dibayar,@hashim127768,hashimahmed ,58,6,3d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
dia tau anak dia xkan jatuhkan dia SBB Tu dia lantik anak dia...,@cikanis65,❤️Cik anis 💞 ,31,3,2d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
memamg dia layak...Terbaik Nurul,@sofianaisy76,SC sofian ,7,0,3d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
Alhamdulillah kerajaan perpaduan. Segala puji bagi Allah,@maggun7,MagGun7 ,7,0,3d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
mari rakyat Malaysia kita sokong Anwar dan Nurul itu yang terbaik buat Malaysia.,@_nannn46,nan rempit 🚀⚡ ,9,0,2d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
ok lah trkawal sgalanya..dan RASUAH pun dpat dbendung dgn sbaiknya..itu yg DSA nkkn agar MALAYSIA bersih dari virus ni..,@zainabisa63,Zainab Isa ,9,0,2d ago ,2023-02-04,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,2691,643,264,2023-2-1,172.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675530000&x-signature=b8IUWMZ8QiPxs4vrROK1e%2BT1d2M%3D
