comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
Al-Fatihah almarhum p ramlee..semua dlm cerita die byk terjadi..,@topekahmad,Topekahmad ,422,11,3d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
nasib baik anak pm x ambik gaji klu puak lebai dulu wajib 20k lebih la kena bayo gaji buta alhamdulillah DSAI terbaik,@norizmanyus,user86710966912 ,51,44,3d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
penasihat ni la akan bongkarkan segala salah laku kerajaan pn,@user7467092786158,Ahmad Azmi 84 ,217,110,3d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
buat baju penuhkn tin milo. pndai walaun niaga. dulu padang merbok.😂😂,@farhan_hasan86,Farhan Hasan86 ,33,6,3d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
"nk order buat baju duta timur bai, tulis dekat sana walaun panas",@zulproton85,Zulkarnain Salla ,30,1,2d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
tak ambik gaji dan elaun. walaun koyak. hahahaha,@johndo3555,Johnkau ,19,3,3d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
Kalau tukar jadi PUAN PENASIHAT boleh ke,@zakikhashoggi8,Zaki Wahab20 ,13,1,3d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
"tahniah...saham utk akhirat skli ni...
#pmxthebest
#DemiPertiwi
#MalaysiaMadani",@sweet_ida86,Sweet_Ida🥰 ,191,28,4d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
walaun xleh terima ank anwar x trima gaji..dia nak mcm tok guru depa..mkn gaji buta x buat kerja🤣,@mohdsofianmatdali,mohdsofianmatdali ,5,0,2d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
walaun's dgn fitnah berpisah tiada.,@abeykaytujuh,abg kay7 ,5,1,1d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
ejah baju duta timur tgh skali boh.ambo ambik skali dgn baju penasihat skali ni.,@nyomari_angin,pokyuh ,116,30,4d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
buat tshirt 'dalil rasyuwah jadi sedeqah plak',@mdkamarulhisham,Mohd Kamarul Kamarod ,7,0,2d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
Bju walaun hadi bawang ade x,@syazan_ajan80,Ajan_syazan80 ,14,26,3d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
Blh la hnta kt MB & TMB Kelantan sorang selai no.... 😂,@shimosutaki64,Shimosutaki ,11,1,3d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
p.ramlee dah lakonkan anwar dan family lakonkan kembali😂😂,@pejuangnafkah24434,ค๖คຖງ คฯค๓ ,7,1,3d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
😂😂😂segan la nak pakai baju ni,@abdghani698,abdghani698 ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
bongkar PN dan BN sekali.. atau BN dah suci,@abiharaz_channel,abiharaz channel ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
🗣🗣🗣 jom dsai je like 👍,@sheilltox,may the force be with you ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
buat tshirt 'dalil rasyuwah jadi sedeqah plak',@aliffaris__,Aliffaris__ ,1,0,2023-2-4,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
UP 50%😂😂😂😂😂😂😂😂😂😂😂,@abas_towing_melaka,Jebat ,1,0,2023-2-4,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
betul apa 25%😂😂,@ruhaimibinabghani,Ruhaimi Bin AB Ghani ,0,0,2023-2-3,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
"Ada jual ke baju ni,,",@atankahal535,atankahal535 ,0,0,2023-2-3,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
"kalah bertanding pom dapat job dlm kerajaan, job duk sbelah PM plk tu..",@carperfumehp,M.Adam44 ,2,0,1d ago ,2023-02-04,https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,12.9K,1490,573,2023-1-30,297.2K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D
