comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
PN Masih meroyan Masih belum ckup jumolah 😂😂,@lang4943,ucukakiincat@lang ,32,3,3d ago ,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
terbaik Nurul terus kan perjuangan,@abuhasan922,Abu Hasan ,32,1,4d ago ,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
Terbaik Nurul..👍👍,@hemry2620,Henryomar2620@ ,14,0,5d ago ,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
Ingat Allah swt.. Insya Allah tenang jiwa tu.. Islam mengajak kebaikan.,@adibadio,Cucu Ngah Bogoh ,15,0,3d ago ,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
walaun da mula kluar gua hahahahahaha,@hishamgani74,hishamgani74 ,13,0,3d ago ,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
Terbaik DSAI janji jangan sakau,@user659210781,Tik Toker ,20,0,4d ago ,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
geng tebuk dh lupa ke ketua geng tebuk lantik timbalan geng tebuk sbg penasihat vertaraf menteri bergaji 18k.😁😁😁,@zaidiokok123,ooo ,12,2,5d ago ,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
Alhamdulilah negara byk perubahan pimpinan DSAI,@razaqxaq,Razak Zak595 ,23,1,3d ago ,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
Terbaik nurul... Walaun lagi meroyan la. Klu ada ank saudara bok p kmentrian kwangan,@joorejab7906,joorejab7906 ,5,0,4d ago ,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
Mahayidin ckp x serupa bikin,@mochaaaaaa3,miyyzz ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@zorojr963/video/7194022286431767834,143,184,14,2023-1-29,10.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ok6YByWhKnzt7Yr7ToAyzI86EAmxlDzKuvShfA?x-expires=1675530000&x-signature=sW4jF1%2BN0%2F4ViKxuQqUgNY%2BqAsY%3D
