comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
jgn risau..mak cik..dorg xmitak duit makcik buat bayor gaji..relek je..santai..😁,@samsampoji,sampoji ,13,0,2023-2-1,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
ceceh x pasal2,@roslanaman672,roslanaman672 ,0,0,2023-2-6,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
"kesian mak cik ni, diperalat kn",@nurhanisahmohdros,Nur Hanisah Mohd Ros ,0,0,2023-2-5,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
brg dapuf lg melambung tggi lg.ayam sekor pun 19 rgt.dulu 15 rgt,@noriezaaaa,norieza ,0,0,2023-2-2,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
kesiannya mak cik ni..,@rohanahnaim836,rohanahnaim836 ,3,0,2023-2-2,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
kesian mk sapa la ni...jgn brsangka buruk..brsangka baik la..semoga d lindungi Allah semua ye..,@salasyunus,Salas Yunus ,2,1,2023-2-2,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
Dah kluar dh mk cik ni,@bibyjean,BiByJean ,0,0,2023-2-1,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
anwar sepatutnya melantik makcuk ni,@_master999,user1093706309490 ,0,0,2023-2-1,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
ow😳😳,@kinjoanphilip,Kin Joan Philip ,0,0,2023-2-1,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣kn,@nurkartini3,Nur Kartini ,0,0,2023-2-1,2023-02-07,https://www.tiktok.com/@edirich769/video/7194481455081213210,278,69,23,2023-1-31,68.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675767600&x-signature=ElLGUZ%2FdRPpIpftnpP5seyhFJpk%3D
