comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
"Nak percaya apa lagi dengan PMx cakap , semua prinsip dia gadai",@mhmirfan1,Muhammad Irfan ,1294,44,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
"pada pandangan saya,jangan mengata dekat orang lain nanti tuhan pulang kan balik dekat kita 😌😌",@kaiden1p,(⌐■-■) ,56,12,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
madani tu bermaksud masukkan anak dan bini,@imranizzahlovers,Laksamana Sunan ,999,97,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
10 ckp 10 jgn cayaaa...skrg lihat kebenarannya,@schipolsent,schipol ,15,0,2023-1-31,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
"saya org kerajaan tapi pendirian saya mcm tuan, yg betul sokong yg bcanggah kita bantah",@zackyusef,Zack ,713,13,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
walau tak bayar gaji tu hanya alasan untuk menutup kronisme dan nepotisme...kalau bayar gaji lagi damage orang serang...#kerajaankeluarga,@mamu_aziz01,Mamu Aziz 💛🤍💙 ,443,50,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
Harini rambut tak pacak sebab jel dah habis 😂,@thaqibshaker,Thaqib Shaker ,101,15,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
Ni saya setuju walaupun saya penyokong dsai,@shahirahmdnor93,Shahirah Md Nor ,120,10,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
Lapiji mane..nyorok ke?atau tgh pikir formula lain..,@aimar2306,Aimar2306 ,71,7,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
Satu Malaysia kena game 😂,@meuzangelo,Zhongli ,48,3,2023-1-31,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
betulah bnyak orang belajar bidang lain kerja bidang lain …contoh nya engineering ke penasihat kanan ekonomi😂,@zikribasir_,zikribasir_ ,48,7,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
Kerajaan keluarga 🤣,@damndanialll,Danial ,11,2,2023-1-29,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
"Sbbtu walaun tntut apa kata2 anwar. Mnyk, rasuah, nepotism. Bile dh brkuasa. Lari prnsip dia slama ni. Bile walaun tgur, macai koyak",@pichmi,Ahmad Riyadh Fizmy ,0,0,2023-2-7,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
hukum allah saja yang kita tak bolih ubah.... hukum manusia...bila2 pun bolih,@ambunyobahmad,ambunyobahmad ,0,0,2023-2-5,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
