comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
setuju kak.. masa kempen dulu banyak isu yg dia pertikai tp sekarang dia yg buat.lepas ni xtau apa plak,@jango1391,husseni ,8,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2b3391357414b0f9baed6d828f53e280~c5_100x100.jpg?x-expires=1675918800&x-signature=d2ZOjUEuUlCDVydqPuXrj%2FZrf%2Bc%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
klu orang kena bayar pm10 nak jimat duit,@norazah177,norazah177 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/90e0d828c28aea5d77af0ffa64ef244d~c5_100x100.jpg?x-expires=1675918800&x-signature=VcNeqEw5NcSRdQNiNCaJkS6BZts%3D,2023-02-07,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
betul-betul sy setuju apa awak ckp,@sinaranmentari193,sinaranmentari193 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7142387002476855323~c5_100x100.jpg?x-expires=1675918800&x-signature=cCrgqCI%2FhndJrmaK4eVTSweu%2FBA%3D,2023-02-07,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
Saya x nampak lg team dsai ni buat apa,@rosemohd71,Rose Mohd ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/d6568fb63eb8c0680fce00f6df96476a~c5_100x100.jpg?x-expires=1675918800&x-signature=jynmdzBkSuHRzzL%2FjmbfIc%2B%2Ffxo%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
"Sangat setuju N Izzah dilantik sebagai penasihat, save kos, pola fikir, penyelesaian, baikpulih, intagriti, kreatif dan masi muda dpt bantu bapanya",@ahmadjasnijas,Ahmad Jasni Jas ,1,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7043357733289984027.jpg?x-expires=1675918800&x-signature=ahwCsXqsOhyfxW74HOD%2FTGF9FjQ%3D,2023-02-05,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
cant agree more 🙂,@marlinkhalid,marlinkhalid ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/77b33b63e5b519eadf34a46a5c647a7e~c5_100x100.jpg?x-expires=1675918800&x-signature=FQofpKpy2p%2FTMGS3EOt2%2BTHiXDE%3D,2023-02-05,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
Kak part berlakon “Izzah… papa “ tu comel 😂😂,@mymyrul,mymyrul ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/00d69d212f16e28ced86710addf7bdd6~c5_100x100.jpg?x-expires=1675918800&x-signature=K1XOpElRgGuM6qNk6Mz6c4tvV9E%3D,2023-02-05,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
betul tu.....,@lahhassan33,Abdullah Hassan ,0,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675918800&x-signature=5Ftb%2FD2PMOXp7gOPlm1i3oFlbCk%3D,2023-02-05,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
betul sangat,@ruhainitamohdnor,Ruhainita Mohd nor ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7086828523993710619~c5_100x100.jpg?x-expires=1675918800&x-signature=PbxLv1BZ0fDOyfqqJL3tlR3uUAk%3D,2023-02-04,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
setuju sgt..,@faridahibrahim18,Faridahibrahim ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/393ebc0751d665023669c216ecb816be~c5_100x100.jpg?x-expires=1675918800&x-signature=cx2nUEe40eYDHy5q1wKXT99Cf6U%3D,2023-02-04,2023-02-08,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,313,152,96,2023-02-02,12.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675854000&x-signature=KTM0toPymAqJpBhLLKxsJX%2B5uRY%3D,
