comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
jgn risau..mak cik..dorg xmitak duit makcik buat bayor gaji..relek je..santai..😁,@samsampoji,sampoji ,13,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/9ae96490fc1821db252e3ef7174dac79~c5_100x100.jpg?x-expires=1675918800&x-signature=AchHPnX6%2B%2Ft6rdOLWp816%2BeCMbs%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
ceceh x pasal2,@roslanaman672,roslanaman672 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7160555110857179162~c5_100x100.jpg?x-expires=1675918800&x-signature=Sr5It1ERp9ogVLFV0mulyACAu6o%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
"kesian mak cik ni, diperalat kn",@nurhanisahmohdros,Nur Hanisah Mohd Ros ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/79e98b1c1f3870928ca0aa623f6d71dc~c5_100x100.jpg?x-expires=1675918800&x-signature=98F86RzpN8N5CoPgvAf2kwMR%2F90%3D,2023-02-05,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
brg dapuf lg melambung tggi lg.ayam sekor pun 19 rgt.dulu 15 rgt,@noriezaaaa,norieza ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/6c23a57243962bf64cae3e5e299ef9c0~c5_100x100.jpg?x-expires=1675918800&x-signature=Jjn03XhDkoAXpJaLFe%2BR%2B6NEpKo%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
kesiannya mak cik ni..,@rohanahnaim836,rohanahnaim836 ,3,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7159754117249695771~c5_100x100.jpg?x-expires=1675918800&x-signature=UCGuJcE%2Bps5wygID8A4im6aGHFY%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
kesian mk sapa la ni...jgn brsangka buruk..brsangka baik la..semoga d lindungi Allah semua ye..,@salasyunus,Salas Yunus ,2,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7064734063826829339~c5_100x100.jpg?x-expires=1675918800&x-signature=NDzTv8rtvJg2FGPzgNQYYDZwfKg%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
Dah kluar dh mk cik ni,@bibyjean,BiByJean ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/3afe18f55817e3a96a9d761934cadecf~c5_100x100.jpg?x-expires=1675918800&x-signature=45B%2BZ%2FiG8Z7YuKXAwZdv7tbCnPg%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
anwar sepatutnya melantik makcuk ni,@_master999,user1093706309490 ,0,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675918800&x-signature=5Ftb%2FD2PMOXp7gOPlm1i3oFlbCk%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
ow😳😳,@kinjoanphilip,Kin Joan Philip ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1667252846060546.jpg?x-expires=1675918800&x-signature=%2FlPZnQQlosLzbkcWGIS8ONuhydo%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣kn,@nurkartini3,Nur Kartini ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1686870191559681.jpg?x-expires=1675918800&x-signature=a06EVIktoZfWqQniC11L3Nu7pFc%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@edirich769/video/7194481455081213210,280,69,23,2023-01-31,68.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oAjEPuXjwB9EfAfVNDZIDs8BZ1C6Q6tDVc7zhU?x-expires=1675854000&x-signature=h55xz5ch2O1myxrhtXifsOilRjo%3D,
