comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
😂😂😂😂,@ujangku73,ujangku73 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7159222371495182363~c5_100x100.jpg?x-expires=1675918800&x-signature=iH3WOsd6Egw36RaTJkWukJjKrCE%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
"jgn risau, ni pmx dh bncg dgn menteri kewangan sblum ni. konfem keje free 😂",@m4na23,Turtle Rabbit Kay ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/2f573b627cc2a055a804d6be6f671677~c5_100x100.jpg?x-expires=1675918800&x-signature=ST9n%2B6nYQWP4pfCCuw4N%2BR9uUCs%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
Ohhh ini rupanya reformasi yg d prjuangkn selama ini... Reform kpd family government,@khairuzamankadir,Khairuzaman Kadir ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7074567918561787930~c5_100x100.jpg?x-expires=1675918800&x-signature=d8hH5cXAe2KeQvpOiZFbFx5sqXg%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
x dibayar elaun .. faktq tuh.,@mhfkawakib,mhfkawakib ,0,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/f8a6617203bb459c5b502cf018b15ece~c5_100x100.jpg?x-expires=1675918800&x-signature=bxLa4PqSBqd5WmlahIhC9O9tdWE%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
Alhmdullah.. Amanah n brakal mula Trbaik 🥰🥰🥰🥰🥰,@hanifahshooter,Hanifah6821 ,1,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e20ad4d50db9a2c545539fe8392f10f6~c5_100x100.jpg?x-expires=1675918800&x-signature=qMPcrk8P6XGKYTuO2dVC24LTh6A%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
itu mata2 ayahnya...hahaha...terbaikk DSAI,@lamanidaman,zahirrazali ,2,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/55b0c6ff61616771b2e6a4ecd2b9e1f1~c5_100x100.jpg?x-expires=1675918800&x-signature=%2B534k3hmjccBc8cmx7TKZd%2B3xb8%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
Madani.. Melantik anak dan bini😂😂😂,@mie_mohd,miemohd ,3,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2bb2c91ca8de8410929dbeb24ac1d660~c5_100x100.jpg?x-expires=1675918800&x-signature=L%2BNKLRrgaUMPVXheI1GPVdYlA0M%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
saya ulammmmm,@roslanabrahman525,roslanabrahman525 ,2,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7119458535246659610~c5_100x100.jpg?x-expires=1675918800&x-signature=FWmSJ3ISMONUcnTg6X1Jw7qAdrM%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
Untunglah..sayang papa..,@trueseekersi,trueseeker1 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7192727689952755739~c5_100x100.jpg?x-expires=1675918800&x-signature=UcY0t7Gmv2%2B3oI56foDTQb4U21A%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
kerajaan anak berank😂😂😂😂😂😂😂,@pokwan12345,pokwan ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/485ebb927e8198760e85f249e2ea2663~c5_100x100.jpg?x-expires=1675918800&x-signature=vwkndtT6f0XKVYTgjwpSZ3nVZoI%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@ibnurrahmat81/video/7194086802112728346,36,28,Share,2023-01-29,1106,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oQwXsuhIEhoxng6tkhfnWvjwj9Pz7BAmzA0KAN?x-expires=1675854000&x-signature=rI15kt5krjtBufxQelvOtE0APyQ%3D,M.A.D.A.N.I  MY ANAK DAN BINI…#fypシ゚viral  #kroni  #pnbest  #pas  #pobm  #ph  #umnomalaysia  #sembangkencang  #tolakpakatanhancing👎  
