comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
🤣🤣🤣 kelakor tgok PKR Parti Kencing Rakyat niii,@redhawk714,REDHAWK ,31,18,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/6aee743178e8aab57805b4153bd254ce~c5_100x100.jpg?x-expires=1675918800&x-signature=X75a32oBqy8ifhoZLStbK3wve8o%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
nepotisma anak bapak plus bini....dn penyamun kita geng gak..😃😃😃😃,@hairie1972,hairie1972 ,12,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c782d51a48b36dfa37b9c9510da1a5fd~c5_100x100.jpg?x-expires=1675918800&x-signature=WMn8JjAZi6CsBxh5BZvNU1XkR14%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
kerajaan ydpa dh jadi kerajaan papanon...lepas ni lantik ajijah jd menteri kiri ekonomi..lengkapla,@nset2022,NS Engineering & Trading ,34,13,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/69d02eb7ef0f5242a0ccc068cb4e18d1~c5_100x100.jpg?x-expires=1675918800&x-signature=AUDmyZUNtGNQGW1Lyr4bfvTGqmc%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
Apa nak herankan kuasa PM melantik yg dia fikirkan layak...sama juga mcm PM8 dahulu yg lantik penasihat dia Azumo.,@mkshah.official,MK Shah ,14,8,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2ff56ce1145188b5a7c7f1714e5c8c75~c5_100x100.jpg?x-expires=1675918800&x-signature=F2JR0MpXUbiqNOJavhm1nAJoVUc%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
xtgok berita ke..xde gaji pun..knpe peja d lantik penasihat PM8 bertaraf menteri dpt gaji lg..xbising pun 🤣🤣,@zbr121576,jangan sentap 😎 ,25,17,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/98440095e2ec4b5ea102e6852724e158~c5_100x100.jpg?x-expires=1675918800&x-signature=fvINfbv4TS9mcSniqzELnOl0Otc%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
"Kalau tak bayar gaji tak jadi masalah pun bantu,kalau kerajaan 33 bulan tu semua ambil gaji mcm2 jawatan di wujudkan utk perkukuhkan sokongan.",@fawfez,FawFaz ,32,22,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675918800&x-signature=5Ftb%2FD2PMOXp7gOPlm1i3oFlbCk%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
ini bukan soal gaji..tapi prinsip.. rakyat nakkan kerajaan yang lebih baik,@eddy541978,Eddy541978 ,10,3,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1667021314405377.jpg?x-expires=1675918800&x-signature=6OAX2eDqWpiW8jfYIQHp6QzTUp8%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
"M=melantik
A=anak
D=datuk seri
A=anwar
N=nurul
I=izzah",@cahaya_hayati74,CahayaHayati ,10,7,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/adc395964b1e31edcb1cddc82fccfa4a~c5_100x100.jpg?x-expires=1675918800&x-signature=BOxR33ABtnRmdKzooEtByWLEMfM%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
"tkpa stgi geng nu kata kami percaya dengan tindakan bang non lagipon bang non kan berucap tak pakai teks, jalan laju, haaa apa lagi",@nabilbinahmad,naben ,6,4,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/b99994aecc72d4502125c725c81adade~c5_100x100.jpg?x-expires=1675918800&x-signature=6OfgRQf%2B96dv%2F0XyyQTjW7XP%2BOg%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
3 jan dh dilntik rupanyer.lntik snyap2 ke tu😂,@she.1806,NOr.S ,6,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/45551e7cb9f29a773beb335005018f35~c5_100x100.jpg?x-expires=1675918800&x-signature=KV8vgZp6kCybwsxkcarQ9v7Nbzs%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@kakirepott/video/7194018817687719194,343,490,42,2023-01-29,31.5K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEEBWfxoyA1rhWzbItWyFnAohVSmn6Pt3vRAKg?x-expires=1675854000&x-signature=%2BYKk18JWqCuAqn4BhtYsQV6IfWM%3D,untung anak papa #anwarzahid  #nurulizzahanwar  #fyp  #fyphoiyahoi  
