comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
🥰🥰🥰,@jalilahibrahim54,Jalilah Ibrahim859 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/ee2f0ec622b263c95845907c3a5c5c46~c5_100x100.jpg?x-expires=1675918800&x-signature=bvEq%2B%2FH9VWf%2B%2BX3pcYelWsHR%2BPY%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
"tanpa gji jaa,,komesyen,elaun tetap dpt jgk,,,lbih bnyk dri dpt gaji,,,sbb tu tak kesah tanpa gji,,nk politik kena licik..😌😌",@muhd_shafiq2211,Shafiq Fazli508 ,0,2,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7046037369367035930.jpg?x-expires=1675918800&x-signature=AF12HPcLcyjoUBlY6FdvtHqGTtE%3D,2023-01-31,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
😁😁😁😁😁😁😂😂😂,@anuaranuar1795,anuaranuar1795 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/56e34b02a5b4f0e521624644daaeddbd~c5_100x100.jpg?x-expires=1675918800&x-signature=mklSt4Fpc0WXtxwUA5DpHsDCa0c%3D,2023-01-31,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
"Alhamdulillah,,,,,terbaik,,,, memang betul pun dulu ade gaji cakap je lebih,,,kerja x jalan...🤣",@yopazizi,todaklaut@@ ,1,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7180053469212966938~c5_100x100.jpg?x-expires=1675918800&x-signature=NHdLA5kX11DVCrfzoP26VsF1QXg%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
Terbaik DSAI SHARE,@kjuhari,KhirJuhari ( KJ ) ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/eed54de506d675171ffe3dff6671ecce.jpg?x-expires=1675918800&x-signature=%2B1RYt2Dx2gzEGwOjENjY9Kw1n30%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
terbaik nurul izzah..teruskan demi bangsa malaysia,@user5918422682656,user5918422682656 ,2,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/dbc64c680b68f9417572d57627e2b8ff~c5_100x100.jpg?x-expires=1675918800&x-signature=VjA%2Fe%2BL8ZaBsnA5QD7ZguUo5DYY%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
🥰,@munirmaktar,Munir Maktar ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/a9ab463a82e350a2be2e130a3962f561~c5_100x100.jpg?x-expires=1675918800&x-signature=0Rl0xn%2F642fdnEJ8PP8u9JodsXo%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
Alhmdullah.. Trbaik 🥰🥰🥰,@hanifahshooter,Hanifah6821 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e20ad4d50db9a2c545539fe8392f10f6~c5_100x100.jpg?x-expires=1675918800&x-signature=qMPcrk8P6XGKYTuO2dVC24LTh6A%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
👍👍👍,@jacca00,Jacca Jack ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/6086fbd93b49edaf44d8474c1fdeb911~c5_100x100.jpg?x-expires=1675918800&x-signature=hgAcYBosOSaD%2BTONdNR2dlL6uwA%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
reformasi.. nepotisma kronisma..myanak ma😁😁,@ujangku73,ujangku73 ,2,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7159222371495182363~c5_100x100.jpg?x-expires=1675918800&x-signature=iH3WOsd6Egw36RaTJkWukJjKrCE%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@kenmohamadofficial/video/7194325314808319258,163,30,10,2023-01-30,1143,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oQj1X3lYI62eBGACEktXpDAyAV8MUPbeIQGnBD~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/fc94f58c7e574c20950493f86fd43f5a.image?x-expires=1675854000&x-signature=O6W4CWnnmfRFUgKc1aW2IYG0CQ0%3D,Nurul Izzah Anwar jadi Penasihat PM tanpa gaji. Ada yang bergaji pun tak buat apa 🤣🤣🤣 #Malaysia  #DemiPertiwi  #KitaKawan  #MalaysiaMadani  #Perpaduan  
