comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Memang ptut dpt jawatan tinggi anak dia tuu. Tengok prjuangan mereka sekeluarga tak henti2. Lagi pun dari isteri sampai ke anak memang pandai/bijak.,@flexxy3k,PV・FLEXXY¹ ,737,111,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/ad9351bc965e1cede464cd8e2894373d~c5_100x100.jpg?x-expires=1675918800&x-signature=KbC4D4bA11Vve5ka%2B32X%2B5XaBMg%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
madani - malaysia anak bini🥰,@lyasz7,Muhd Ilyas ,416,14,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1678181079750674.jpg?x-expires=1675918800&x-signature=FzHPuJmZIUkxvix0FqelLJiCPZw%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
2x5,@azamlymuhamad,azamlymuhamad ,35,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/bbd4662325cfc2a46ea15576c02f0b90~c5_100x100.jpg?x-expires=1675918800&x-signature=RecGMLummgvBQvpQVoeF99%2FrfnM%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
Hahahahahah makan kiri kanan dowhh,@amieyra.my,Amieyra.my ,34,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/f369ece45f4fd868132033d0d4043383~c5_100x100.jpg?x-expires=1675918800&x-signature=ZBJs3M9illbfHJZQ%2BH1i0hicLbA%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
madani......untuk anak dan bini😂😂😂😂,@user65601442,Reez Abdullah ,136,27,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1666918575326210.jpg?x-expires=1675918800&x-signature=R1taV%2F%2BqPwYUJPf%2BXpS6uPouob0%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
Abg non....saya ulanggg😂😂,@ziyadzihnih,ziyadzihnih ,38,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/99cfd4cf3352f3c32dce252cfa3ae6a9~c5_100x100.jpg?x-expires=1675918800&x-signature=%2FYtWJvTFRHaImGrw0GVcCyKI6qQ%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
"M=melantik
A=anak
D=datuk seri
A=anwar
N=nurul
I=izzah",@eeiykola,eeiy's ,298,11,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/32fe5cf1403b9d85203dbf0206216cd4~c5_100x100.jpg?x-expires=1675918800&x-signature=H3XANt%2FbZ561UFr4hzCZDTI9MQw%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
Tak abih2 umum tk ambek gaji😂pasnk bini plk,@paktam1990,Paktam90 ,558,43,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/cddb297ca56816712a793c50e39c4a7c~c5_100x100.jpg?x-expires=1675918800&x-signature=Z6XQxfpsrqImnS5%2BAyCUH16shKA%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
"pmx..pm trbaik krn mngutamakan kluarga sblom owg lain..keutamaan
1.. bini
2..anak
3..mak
4..adik bradik
5..bru org
apa lagi..tepokkkk👏👏👏👏👏",@bondanaufal1,HATIKU CUMA ADA SATU💝 ,123,15,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/d3151e1e049f3a520b887e38b8334d85~c5_100x100.jpg?x-expires=1675918800&x-signature=KI7yw04qSHWpgLVjA%2BqhtLLUwE4%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
aku ingat ada game menteri kewangan plus perdana menteri... sekali tambah anak anwar,@eleyanosa,El Eyanosa ,44,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/657cd4cb4372000718f975f871e63d53~c5_100x100.jpg?x-expires=1675918800&x-signature=zOFHXJOhvf5z7mu5Yb6Ny45XTdA%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,12.7K,1904,666,2023-01-29,766.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675854000&x-signature=4cHaQ7ZfvDb%2FQGpzRKbdi9qlmeU%3D,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  
