comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
Betul ramai yg berkelayakan akan tetapi ada ke yang nak kerja free sebab semua nak bergaji 😁,@mardianahanipah,Titisan Aroma💙Raindroptherapy ,89,43,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/d2dbd0935101e9ab1ea69fbd7eb6bf9c.jpg?x-expires=1675918800&x-signature=xUlgHoXBzyI1eins8J1fi%2Fn4kCk%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
MADANI - Menteri Anwar Datin Azizah Nurul Izzah. Inilah kabinet dapur. Advisor ni sbb menteri ekonomi busy.,@farid.adli,farid.adli ,59,3,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/8077443f196e47536a35b3bccbb0334d~c5_100x100.jpg?x-expires=1675918800&x-signature=u77MM7nUhzWCyukFyadZG%2FylSuo%3D,2023-01-31,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
"tak slh kasi ak,dia boleh bljr dari ayahnya,cara uruskan ekonomi..PM bukan makin muda...tak kn suruh lobai dan Midin 😂😂",@pemerikumang,Pemeri Kumang ,88,107,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/dd1e20f592183708b3076f0551adeb1b~c5_100x100.jpg?x-expires=1675918800&x-signature=ihJS8xabCBJrc%2FOCprPNVNtOjbU%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
Saya lantik isteri saya sebagai finance advisor...kawalan baik,@amronman,Amronman ,337,22,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/646fa31705984eb8cdb9bbb0a615dcb0.jpg?x-expires=1675918800&x-signature=skgOv5k%2BMCCAw5rO8uC4Xk5%2BTTE%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
"gaji x amik, tp dr segi kuasa?",@shin_kaf_ro_ya,Shin_Kaf_Ro_Ya ,14,3,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/6960706909221453825.jpg?x-expires=1675918800&x-signature=Gg6ag4TZ0S7pEHG10qH%2BwTY3RpQ%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
"Walau tak bergaji pun, mesti, semua urusan kena guna kemudahan dan liabiliti pejabat kementerian kan!??",@tengkushawal,Tengku Shawal ,69,6,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/9911f5f7d5c7c2e4d369a9493a723533.jpg?x-expires=1675918800&x-signature=%2FkocL%2BtWgk4oKkhkn650Z%2FS8a%2F0%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
luar tabie ni,@drzulkafperi,Zulkafperi Hanapi ,89,14,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/57bd7ad034468bcdc72adad9ed02cad7~c5_100x100.jpg?x-expires=1675918800&x-signature=KxsOKzNAzaiLxvVyqz8MKT1%2FI9A%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
akan ada conflict of interest bang,@dolahkacak123,dolahkacak128 ,189,10,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/30db5418695a60e85b1c228dacb6480a~c5_100x100.jpg?x-expires=1675918800&x-signature=a%2FODA8EqfqJmHMw9pa88IYCcfBQ%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
"Bang yg ni aku sokong bang.. Kita sokong kalau betul, tolak kalau salah.. Jangan buta hati jd pentaksub",@jackpot9988,Jackpot888 ,8,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675918800&x-signature=5Ftb%2FD2PMOXp7gOPlm1i3oFlbCk%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
"camni, pasni beli je mesin popcorn yg besar tu. byk movie nak kuar ni bang.. tunguuuuuu😂😂",@timemaster18,Time Master427 ,70,2,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1688606627287042.jpg?x-expires=1675918800&x-signature=W4UO2um2rJMPOvCUMT%2FIai90tjU%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,9800,2951,668,2023-01-29,146.6K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675854000&x-signature=K5h9rVsZH4Grb83OYVIIa1y%2FUk8%3D,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  
