comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
x amek gaji...Tapi ada Kuasa...dgn Kuasa yg ada boleh dapat apa saja termasuk wang...,@ayuariesar,ariesayu💞 ,198,23,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/671d8075254e4ea00ccddc38712f7148~c5_100x100.jpg?x-expires=1675918800&x-signature=ZGwrpkZxCJptQpTYyZ7FUTcemnk%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
Bila kantoi baru nak umum kat media ckp x dibyr gaji sdgkan jawatan tu dh mula awal January lg .. terus penyokongnya impressed,@roses1125,roses ,89,6,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/fd60dc5740f67a3f7ad148c17792cd0a~c5_100x100.jpg?x-expires=1675918800&x-signature=BRjFL9ihyycr%2F%2B0ikoxY2laJkgU%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
kera jaan anak bini😂🤣,@zulaszulas66,zulas6670 ,64,5,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/6978017721774669825.jpg?x-expires=1675918800&x-signature=6rA1gdHwuvYrhEnmcmmQTN4JxNg%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
papa non kn hri ni ckp lain esok ckp lain plk ckp x mbik gji tpi bkn ade htam ptih pn bkti yg dia xambk n x bg ank2 dia gji,@itaita1648,che ta ,67,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c78b8bcba544fdf7e60de898203ca350~c5_100x100.jpg?x-expires=1675918800&x-signature=5uWJoWKUk2I8F%2Fw68vaVXbS6gA4%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
baitulmal yg byr gaji,@letop82,letop82 ,77,11,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/3cfc2c060417d1db315a6db307845fe3~c5_100x100.jpg?x-expires=1675918800&x-signature=n6HiNCY2hhCsCmLKEVWjdvjdbDY%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
kerajaan anak beranak kak 😂😂😂spin slagi boleh,@wanierazalbetta,wanierazalbetta ,36,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/bf39a48897fa0989e1fb48b0439b33bd~c5_100x100.jpg?x-expires=1675918800&x-signature=9eNMzv7cHbhzLGX87vf7BIjgBwI%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
kannn.. secara logik nak pakai APA bayaq gaji pegawai 😂😂,@wr_atiqueen,WR@WATIE RAMLI ,21,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f76e34039d2bb8305039f1fefa68a855~c5_100x100.jpg?x-expires=1675918800&x-signature=6rRAvePX2BtIYNAuWbZhHQbbpSg%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
😂😂😂...lawak mereka nie,@takrawchampionsleague,TCL ,21,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/a2960655689a6379dcee333349902c13~c5_100x100.jpg?x-expires=1675918800&x-signature=XqPxC%2BFa8t4JCw3N4aAnGa%2FI%2Bow%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
follow,@miorshamsuddin715,mior    shamsuddin ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/63daec797f7a630b17c91faaabbdd3d4~c5_100x100.jpg?x-expires=1675918800&x-signature=29wiB8u90eBKuIzyq0y4wff9LfQ%3D,2023-02-07,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
sabar itu indah.,@ifadm8,aarifJfhan ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7182203904326729754~c5_100x100.jpg?x-expires=1675918800&x-signature=QqaRySBb2%2Ff98d1Mvk%2B6ZyVuYn0%3D,2023-02-07,2023-02-08,https://www.tiktok.com/@ratunaga/video/7194729114736151834,9609,1199,778,2023-02-01,265.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675854000&x-signature=vErcCm0BXQanvnhwtval3DKmPZg%3D,
