comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
baik pecat semua menteri tinggal mereka 3 beranak😂,@hajimefath4,FathiAjime ,175,58,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/1b9413082a818513134e2994f52020de~c5_100x100.jpg?x-expires=1675918800&x-signature=%2BvQHgw5k8vZslzVgYajzp45uDoI%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
terbaik nurul.jgn peduli apa org kata.3 penggal jd mp.10 thn dlm PAC.Anda sememangnya layak pegang jawatan ini.,@azmi_0366,Azmi_0366 ,149,20,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/0578d6f55329ee78d02eaed1a911c898~c5_100x100.jpg?x-expires=1675918800&x-signature=E38g4K1n4Y5HP%2BRJmiETiGsNU%2BM%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
kecian geng abah meroyan tak sudah😂😂😂😂😂,@halim_2182,halim_2182 ,114,12,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7015883207618854939.jpg?x-expires=1675918800&x-signature=HefKpXR5QGSg3oWH9nx3Dinm0bo%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
terbaik Nurul bekerja tanpa dibayar,@hashim127768,hashimahmed ,65,11,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/32b55a57df255279c4efbc914440bb29~c5_100x100.jpg?x-expires=1675918800&x-signature=myukHuCDIgs3FMu3mnQg2rDjnag%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
jgn peduli apa org nak cakap yg penting Nurul izzah terbaik,@hariadifirdanlala3,hariadi firdan lala ,20,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/bd70dc43b8f625326dd87043e1491e30~c5_100x100.jpg?x-expires=1675918800&x-signature=oBJdDYpP1ZwVUNsLyYMUmhQMNDk%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
dia tau anak dia xkan jatuhkan dia SBB Tu dia lantik anak dia...,@cikanis65,❤️Cik anis 💞 ,31,3,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/76faa4ef9e5a92fc12df4f4fca2ef956.jpg?x-expires=1675918800&x-signature=26RrbEnZbiM548QDxQ5Y%2FNeXP5k%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
"terbaik Dsai ..teruskan usaha membangun negara..
tahniah Nurul Izzah..selamat berkhidmat",@ummirosspink,LamanImpian ,107,8,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/97d469f888d0d6c878c503b544125bc7~c5_100x100.jpg?x-expires=1675918800&x-signature=09f8SMeS0V913e5QRhrIWBy5FcU%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
ok lah trkawal sgalanya..dan RASUAH pun dpat dbendung dgn sbaiknya..itu yg DSA nkkn agar MALAYSIA bersih dari virus ni..,@zainabisa63,Zainab Isa ,11,3,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1685208736265218.jpg?x-expires=1675918800&x-signature=YriBxFUN3PzjM2M5X8UT2zQQwmE%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
mari rakyat Malaysia kita sokong Anwar dan Nurul itu yang terbaik buat Malaysia.,@_nannn46,nan rempit 🚀⚡ ,13,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/ed6043e971a963be883c214725ec93bd~c5_100x100.jpg?x-expires=1675918800&x-signature=qqqTsoHqRYfjLf9XKm2EInTHB7c%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
memamg dia layak...Terbaik Nurul,@sofianaisy76,SC sofian ,7,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1610601872429377.jpg?x-expires=1675918800&x-signature=LJ0Xl2UCGDBSo%2FxrX%2FLcZcXt6MU%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@sara.bakri2/video/7195055045472226586,3318,872,334,2023-02-02,237.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o4oZH40ZArdWAQ7HPzgWDX4AJeNz8e2eExBkPe?x-expires=1675854000&x-signature=xC8fpwQHc1%2Fdb4lAGwE%2B10hKHT8%3D,Padunya kuasa anak Papa #kerajaanluartabii  #papaanwar  #phsayangzahid  #fyphoiyahoi  #puterireforbasi  #nurulizzah  
