comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
"Terbaik setuju sgt,kluarga yg baik dan jujur dlm melakukan kerja🥰🥰🥰💪",@zulieavon,Zulie Avon ,274,46,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/d0d981aece8cd9e9fd59369d13c36086~c5_100x100.jpg?x-expires=1675918800&x-signature=b0N69x5n3HtsN6YqK%2BpQLNO5Ivg%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
tahniah buat nurul izzah🥰🥰,@nita_erissa,Nita Erissa ,95,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/907ad49cc3494b0cb2172f3e1d81ef73.jpg?x-expires=1675918800&x-signature=gXgMr80fO6ropZ3sk4pCUY68gmk%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
betul sy sokong nurul izah sebagai penasihat PMX,@dierazie,YaMuhaimin ,44,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2ffcb9da0bb84e7d6e83e7761508137a~c5_100x100.jpg?x-expires=1675918800&x-signature=pmV57YgP9FZVTIFtkJMxpUTZBJA%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
Sebagai penasihat je elok juga utk Nurul Izzah belajar utk menimba pengalaman satu masa nanti pengalaman yg didapati boleh digunakan utk kerjayanya,@bakiahmohdtahir,BAKIAH MOHD TAHIR ,50,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7078842461690265627~c5_100x100.jpg?x-expires=1675918800&x-signature=E5b78ADAeuTe6P16yZ1gg%2Fbo4do%3D,2023-01-31,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
org bersatu takut Nurul tolong selogkar rasuah2..pasal Anwar tak sempat nk cek semua sekali..Anwar tak percayakn org lain takut Ada pegkianat.,@joepower1988,Wan Intan Iskandar ,20,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f7c87e31e959d9e61a0c31ce8fd211f2~c5_100x100.jpg?x-expires=1675918800&x-signature=DBtdgyt%2FKShkr4RerJUBkCU2uP0%3D,2023-01-31,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
senang ank dia ikut ke mana2.. kan mahram tu... ank dia pn boleh jg pmx..,@zmy232,zmy232 ,191,12,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/5a662063923c28b00ffefebd433be56e~c5_100x100.jpg?x-expires=1675918800&x-signature=Oa6XY84OTSqtEyw7%2FlLbukTjeYI%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
PMX TERBAIK SEMOGA SIHAT SELALU🤲,@razifsapura,💥𝗿𝗮𝘇𝗶𝗳 𝘀𝗮𝗽𝘂𝗿𝗮💥 ,24,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7bd71701b8495959c3b299f71efa79a3~c5_100x100.jpg?x-expires=1675918800&x-signature=t0UwkCdcNVYLYdL2GKCpW1Sq%2FRE%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
terbaik👍👍👍yang panas ni PN jer😂😂😂😂😂,@aduka2270,aduka ,28,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/8085dd8e21d91742f12469911a00c321~c5_100x100.jpg?x-expires=1675918800&x-signature=URng3MgQ%2BsatO7pxvpxWP43yx6c%3D,2023-01-31,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
DSAI terbaik...,@amanahsrigading2022,Amanah Sri Gading ,116,4,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-gcp-obj-giso/5ba0676a8ed7f1c8daf5394107c621f8.jpg?x-expires=1675918800&x-signature=USbyQlcs%2FWJDVhbN7LYkmU9ZTx0%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
biase klau kte pon sama..klau nk lantik selain dari keluarga mustahil mereka nk kerja tanpa gaji..baik lantik anak..nk surh lebih masa pon tk segan...,@fathifarid05,mohd farid649 ,11,4,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/737a32e05a4350a1dffddef18a47f69a~c5_100x100.jpg?x-expires=1675918800&x-signature=CohMoEN%2B9%2BsGKL2XuMvx5o1jNOE%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@saudagar7store/video/7194103553718258970,9933,1848,854,2023-01-29,383.9K,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675854000&x-signature=4coRj%2B%2FXdV0oPuKKEKyo6tPEMTs%3D,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  "
