comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
😂😂😂 lawakla anak beranak ni,@norshafiqahsazali,norshafiqahsazali ,228,8,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7105801193116401690~c5_100x100.jpg?x-expires=1675918800&x-signature=A0mwHDUnaIXdbdHj7TYBe5E5VYQ%3D,2023-01-31,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
😂😂😂😂😂walaun koyak😁,@royeffendie,royeffendie ,17,6,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/d94424c947c94347f7db4bac9f1d4189~c5_100x100.jpg?x-expires=1675918800&x-signature=89YQ%2Fevb45XWsjt2ULcMTBQ39Sg%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
tah dahi mana la kita nak tahu dia xambil gaji.bukti xde .ke tiap2 bulan nulu ijah siakan dalam tv slip gaji dia.pmx putar alam,@bea_jue,BeA JuE🪶 ,35,20,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/b3cd44f4993eb193f66747d16989985d~c5_100x100.jpg?x-expires=1675918800&x-signature=Ou9xL6eDn9zgbNWg3ev8nFLCqDs%3D,2023-01-31,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
btul jugak kn😅 tp xpalah..dia merancang..kita doa baik2…sbb dah langgar prinsip dia sndri..,@g_bolah,GengBOLAH ,45,4,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-aiso/bcefd37ef3fb4cacbd277e141374d4c6~c5_100x100.jpg?x-expires=1675918800&x-signature=RIvRGxX93fWLdyZnzDQkX%2FnOAos%3D,2023-01-31,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
"ok la tu tdk bergaji, jimat juga, tiada pembeziran, Anuar memang terbaik,..",@batrisyahbalqis,Den ,19,9,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/6528186f399a9575bc9c328fe3d8562f~c5_100x100.jpg?x-expires=1675918800&x-signature=LZ62ZcoY61gIZ28Kz8VbmVCn4vU%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
meroyan..terus walauuun..😅,@shahrir6,ayob ,13,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e28d659cf1fbe6ef4bde2ddf40d05596~c5_100x100.jpg?x-expires=1675918800&x-signature=vhARALRZq2vK2S%2FK740y%2B%2BVzoOE%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
jujur sgt statement ini....ini lah kebenaran 😂,@mashimashi82,Mashi Mashi82 ,105,2,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1692206481350657.jpg?x-expires=1675918800&x-signature=kXW%2FpZE%2FIVFOQ8HhEPd36rHJR1A%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
RAMAI WALAUN TAKUT NURUL IZZAH TLG ANWAR SBB SEGALA KEBOCORAN ZAMAN PN ADA DLM KEMENTERIAN ITUUU....kita tgguuuuu hasilnyaaa.,@fahrin2928,fahrin2928 ,23,22,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d7b17d44c4cdba62f9f5c23174442c7d~c5_100x100.jpg?x-expires=1675918800&x-signature=kkGF8GJ%2BsBYLwXmVxmhiL25Wt3E%3D,2023-02-02,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
Alhamdulillah Allah kurnia kerajaan terbaik DSAI,@rosleeabdkadir,rosleeabdkadir ,47,23,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7145049661110222874~c5_100x100.jpg?x-expires=1675918800&x-signature=Zl61a5xzsLYSBzBl%2FpO4U%2FVbdTc%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
aku y xundi die pn trse M.A.L.U...😅,@linwall91,pajaminang ,23,5,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/5d016c0cd207f357bb4d6b770adfd851~c5_100x100.jpg?x-expires=1675918800&x-signature=xnGSomgkQoZHG6vOQiMC0oX9szM%3D,2023-02-01,2023-02-08,https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,4898,1262,439,2023-01-31,77.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675854000&x-signature=oEiDzGJ4pnaB%2FbopcUo5LtL%2FCvs%3D,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak
