comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
"Nak percaya apa lagi dengan PMx cakap , semua prinsip dia gadai",@mhmirfan1,Muhammad Irfan ,1298,44,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/4fce1aeb1707a56200f3082ff2ea4708.jpg?x-expires=1675918800&x-signature=AJYd%2BOeo3xipftDDHBD5PCfkqWg%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
"saya org kerajaan tapi pendirian saya mcm tuan, yg betul sokong yg bcanggah kita bantah",@zackyusef,Zack ,713,13,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/9c7b333c269126af55f3bd1c2db8e9c0~c5_100x100.jpg?x-expires=1675918800&x-signature=6qiruCKs1raMwXtd9XsKbzqXWsU%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
walau tak bayar gaji tu hanya alasan untuk menutup kronisme dan nepotisme...kalau bayar gaji lagi damage orang serang...#kerajaankeluarga,@mamu_aziz01,Mamu Aziz 💛🤍💙 ,443,46,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/74960c010001036655559f9289ae5dd9~c5_100x100.jpg?x-expires=1675918800&x-signature=I4Cq1DWsk4ZMZB5GTuusoRrxLow%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
10 ckp 10 jgn cayaaa...skrg lihat kebenarannya,@schipolsent,schipol ,15,1,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/c209158e35013c5021331429078d296a~c5_100x100.jpg?x-expires=1675918800&x-signature=ByhMHZSL9ULk6AvhTlOGySam6Gc%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
Ni saya setuju walaupun saya penyokong dsai,@shahirahmdnor93,Shahirah Md Nor ,120,10,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/67f1c483f3ec57128171d5e8ebe486c0~c5_100x100.jpg?x-expires=1675918800&x-signature=oT5Fe6YtMKcJLKkS8muM%2FGOQLQ8%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
Satu Malaysia kena game 😂,@meuzangelo,Zhongli ,48,3,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/0b5034d7d3f6a4ede20edd9bc7b42455.jpg?x-expires=1675918800&x-signature=ykwZlKaQj6DhDX%2FzdJOLRj%2Btvk0%3D,2023-01-30,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
Lapiji mane..nyorok ke?atau tgh pikir formula lain..,@aimar2306,Aimar2306 ,71,7,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/329095b444db800a3e631b0aa3fe3c60~c5_100x100.jpg?x-expires=1675918800&x-signature=SvLrH0HlGsIYy9B8TPKIEIoWuxg%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
Harini rambut tak pacak sebab jel dah habis 😂,@thaqibshaker,Thaqib Shaker ,101,15,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/b9391d3332451437cf6f078449ae1812~c5_100x100.jpeg?x-expires=1676005200&x-signature=0%2FhOEQM68Aa6oaN2ZRwoKvLjjHM%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
betulah bnyak orang belajar bidang lain kerja bidang lain …contoh nya engineering ke penasihat kanan ekonomi😂,@zikribasir_,zikribasir_ ,48,7,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/425b048c5be72fdea97e02b48697bfcd~c5_100x100.jpg?x-expires=1675918800&x-signature=hAo%2B9Jj6gI418sHw49hXMGhAJ5s%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
Kerajaan keluarga 🤣,@damndanialll,Danial ,11,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/b436398c62f4a4362d2b98153d24de07~c5_100x100.jpg?x-expires=1675918800&x-signature=4fWADe5%2FVdSijqRO%2FS82O05R5eQ%3D,2023-01-29,2023-02-08,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.7K,4834,2541,2023-01-29,488.7K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675854000&x-signature=0i0OpUUe7LhbxFulP4YiL8s%2BoXU%3D,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  
